"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Amazon Web Services (AWS)","Amazon Jobs","Cleared Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Plain City, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10511911/cleared-engineering-operations-technician-adc-infraops-dceo","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Aurora, CO","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10428309/engineering-operations-technician-adc-infraops-dceo","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Cleared Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Plain City, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10412406/cleared-engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","New Albany, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10484808/engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Dublin, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10511914/engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","New Albany, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10504000/engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Cleared Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Plain City, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10410473/cleared-engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Dublin, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10506764/engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Cleared Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Hilliard, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10412460/cleared-engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","Principal, Tech Delivery , Global Government Delivery Organization (GDDO)","team-us-security-clearance-jobs-primary","","Jessup, MD","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10425530/principal-tech-delivery-global-government-delivery-organization-gddo","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Cleared Engineering Operations Technician, ADC InfraOps DCEO","team-us-security-clearance-jobs-primary","","Hilliard, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/3169739/cleared-engineering-operations-technician-adc-infraops-dceo","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","ADC Technical Customer Service Specialist , Amazon Dedicate Cloud (ADC) Customer Service","team-us-security-clearance-jobs-primary","","Herndon, VA","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10411859/adc-technical-customer-service-specialist-amazon-dedicate-cloud-adc-customer-service","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Infra Delivery Technician, ADC InfraOps Decom","team-us-security-clearance-jobs-primary","","Jessup, MD","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10398027/infra-delivery-technician-adc-infraops-decom","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Data Center Technician, ADC InfraOps DCO","team-us-security-clearance-jobs-primary","","Severn, MD","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10473209/data-center-technician-adc-infraops-dco","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Data Center Technician, ADC InfraOps DCO","team-us-security-clearance-jobs-primary","","San Antonio, TX","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10449030/data-center-technician-adc-infraops-dco","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Data Center Technician, ADC InfraOps DCO","team-us-security-clearance-jobs-primary","","San Antonio, TX","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10459011/data-center-technician-adc-infraops-dco","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Data Center Technician, ADC InfraOps DCO","team-us-security-clearance-jobs-primary","","Fairfax, VA","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10494839/data-center-technician-adc-infraops-dco","cleared","ts/sci"
"Amazon Web Services (AWS)","Amazon Jobs","Data Center Technician, ADC InfraOps DCO Tech","team-us-security-clearance-jobs-primary","","Plain City, OH","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10437606/data-center-technician-adc-infraops-dco-tech","cleared","top secret"
"Amazon Web Services (AWS)","Amazon Jobs","System Development Engineer, Platform Engineering & Emerging Technology - CloudTrail & Service Quotas","team-us-security-clearance-jobs-primary","","Arlington, VA","US (CONUS)","Full-time","","","","","https://www.amazon.jobs/en/jobs/10499153/system-development-engineer-platform-engineering-emerging-technology-cloudtrail-service-quotas","cleared","ts/sci"
