Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
Anduril,Greenhouse,2026 Early Career Electrical Engineer,Hardware Platform : Hardware Engineering Services,,"Costa Mesa, CA; Fort Collins, CO",US (CONUS),Full-time,90000,110000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/4802172007?gh_jid=4802172007
Anduril,Greenhouse,2026 Early Career Firmware Engineer,Templates : Intern,,"Costa Mesa, CA",US (CONUS),Full-time,112000,149000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5167865007?gh_jid=5167865007
Anduril,Greenhouse,"2026 Early Career Flight Test Engineer, Mission Autonomy",Hardware Platform : Hardware Test Operations,,"Costa Mesa, CA",US (CONUS),Full-time,86000,114000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5185089007?gh_jid=5185089007
Anduril,Greenhouse,2026 Early Career Manufacturing Engineer,Manufacturing,,"Costa Mesa, CA; Irvine, CA; Santa Ana, CA",US (CONUS),Full-time,86000,114000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5176254007?gh_jid=5176254007
Anduril,Greenhouse,2026 Early Career Mechanical Engineer,Hardware Platform : Core Technology Products ,,"Costa Mesa, CA",US (CONUS),Full-time,100000,110000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/4802167007?gh_jid=4802167007
Anduril,Greenhouse,2026 Early Career Software Engineer,Software,,"Atlanta, GA; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Seattle, WA",US (CONUS),Full-time,115000,135000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/4802146007?gh_jid=4802146007
Anduril,Greenhouse,2026 Early Career Test & Evaluation Systems Integrator,Hardware Platform : Hardware Test Operations : Test & Evaluation,,"Costa Mesa, CA",US (CONUS),Full-time,86000,114000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5185888007?gh_jid=5185888007
Anduril,Greenhouse,2027 Early Career Electrical Engineer,Hardware Platform : Hardware Engineering Services,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Reston, VA; Seattle, WA",US (CONUS),Full-time,86000,114000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5136925007?gh_jid=5136925007
Anduril,Greenhouse,2027 Early Career Manufacturing Engineer,Manufacturing : Manufacturing Engineering,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Seattle, WA",US (CONUS),Full-time,86000,114000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5136970007?gh_jid=5136970007
Anduril,Greenhouse,2027 Early Career Mechanical Engineer,Hardware Platform : Core Technology Products ,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Reston, VA; Seattle, WA",US (CONUS),Full-time,86000,114000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5136984007?gh_jid=5136984007
Anduril,Greenhouse,2027 Early Career Software Engineer,Software,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Reston, VA; Seattle, WA",US (CONUS),Full-time,112000,149000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5162263007?gh_jid=5162263007
Anduril,Greenhouse,2027 Electrical Engineer Intern,Hardware Platform : Hardware Engineering Services,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Reston, VA; Seattle, WA",US (CONUS),Internship,30,45,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5148101007?gh_jid=5148101007
Anduril,Greenhouse,2027 Manufacturing Engineer Intern,Manufacturing : Manufacturing Engineering,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Seattle, WA",US (CONUS),Internship,30,40,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5153218007?gh_jid=5153218007
Anduril,Greenhouse,2027 Mechanical Engineer Intern,Hardware Platform : Core Technology Products ,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Reston, VA; Seattle, WA",US (CONUS),Internship,30,45,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5153187007?gh_jid=5153187007
Anduril,Greenhouse,2027 Software Engineer Intern,Software,,"Atlanta, GA; Boston, MA; Broomfield, CO; Colorado Springs, CO; Costa Mesa, CA; Fort Collins, CO; Irvine, CA; Reston, VA; Seattle, WA",US (CONUS),Internship,40,55,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5148079007?gh_jid=5148079007
Anduril,Greenhouse,2nd Shift Quality Inspector,Hardware Engineering : Quality : Quality Engineering,,"Atlanta, GA",US (CONUS),Full-time,,,,,https://boards.greenhouse.io/andurilindustries/jobs/5201654007?gh_jid=5201654007
Anduril,Greenhouse,"Acceptance Test Procedure Technician, Roadrunner",Manufacturing : Manufacturing ,,"Ashville, OH",US (CONUS),Full-time,26,38,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5116801007?gh_jid=5116801007
Anduril,Greenhouse,"Account Director, Maritime",Manufacturing : Undersea Dominance - Production : Production Operations,,"Sydney, New South Wales, Australia",International,Full-time,,,,,https://boards.greenhouse.io/andurilindustries/jobs/5210043007?gh_jid=5210043007
Anduril,Greenhouse,"Account Director, Maritime",Manufacturing : Undersea Dominance - Production : Production Operations,,"Canberra, Australian Capital Territory, Australia",International,Full-time,,,,,https://boards.greenhouse.io/andurilindustries/jobs/5210045007?gh_jid=5210045007
Anduril,Greenhouse,"AD&S, Air Vehicle Software Systems Engineer",Air Dominance & Strike : Autonomous Airpower Engineering ,,"Costa Mesa, CA",US (CONUS),Full-time,166000,220000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5131822007?gh_jid=5131822007
Anduril,Greenhouse,"Aerodynamics Engineer, Air Vehicles",Air Dominance & Strike : Air Dominance & Strike Hardware : Aerodynamics & Performance,,"Costa Mesa, CA",US (CONUS),Full-time,146000,194000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5000486007?gh_jid=5000486007
Anduril,Greenhouse,"Aerodynamics Engineer, Hypersonic Air Vehicles",Air Dominance & Strike : Air Dominance & Strike Hardware : Aerodynamics & Performance,,"Costa Mesa, CA",US (CONUS),Full-time,146000,194000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5032351007?gh_jid=5032351007
Anduril,Greenhouse,"AFSIM Operations Analyst, Mission Engineering, Air Dominance & Strike, Active Clearance",Air Dominance & Strike : Mission Engineering : Operations Analysis,,"Ashville, OH; Costa Mesa, CA",US (CONUS),Full-time,166000,200000,per-year-salary,PhD,https://boards.greenhouse.io/andurilindustries/jobs/5103907007?gh_jid=5103907007
Anduril,Greenhouse,Air Vehicle Lead,Maritime & Maneuver Dominance : Maneuver Dominance Engineering : MD - ME,,"Costa Mesa, CA",US (CONUS),Full-time,191000,253000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5221660007?gh_jid=5221660007
Anduril,Greenhouse,"Air Vehicle Lead, High Speed Missiles",Air Dominance & Strike :  Air Dominance & Strike Hardware,,"Costa Mesa, CA",US (CONUS),Full-time,175000,205000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5211965007?gh_jid=5211965007
Anduril,Greenhouse,"Air Vehicle Lead, Thunder",Maritime & Maneuver Dominance : Maneuver Dominance Engineering : Program Management,,"Costa Mesa, CA",US (CONUS),Full-time,146000,253000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5175758007?gh_jid=5175758007
Anduril,Greenhouse,Air-Vehicle Multidisciplinary Design Analysis and Optimization (MDAO) Engineer,Air Dominance & Strike : Autonomous Airpower Engineering : Chief Engineering,,"Costa Mesa, CA",US (CONUS),Full-time,166000,220000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5132442007?gh_jid=5132442007
Anduril,Greenhouse,"Air Vehicle Systems Engineer, Hardware Verification, Integration & Validation",Air Dominance & Strike : Autonomous Airpower Engineering ,,"Costa Mesa, CA",US (CONUS),Full-time,166000,220000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5131979007?gh_jid=5131979007
Anduril,Greenhouse,Air Vehicle Systems Verification Lead,Air Dominance & Strike : Autonomous Airpower Engineering ,,"Costa Mesa, CA",US (CONUS),Full-time,191000,253000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5131984007?gh_jid=5131984007
Anduril,Greenhouse,"AI Solutions Engineer, Talent Acquisition",People : Talent Acquisition : TA Operations,,"Costa Mesa, CA",US (CONUS),Full-time,129000,171000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5171942007?gh_jid=5171942007
Anduril,Greenhouse,"AI Solutions Engineer, Talent Acquisition",People : Talent Acquisition : TA Operations,,"Boston, MA",US (CONUS),Full-time,129000,171000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5173388007?gh_jid=5173388007
Anduril,Greenhouse,"AI Solutions Engineer, Talent Acquisition",People : Talent Acquisition : TA Operations,,"Seattle, WA",US (CONUS),Full-time,129000,171000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5173534007?gh_jid=5173534007
Anduril,Greenhouse,AI Systems Engineer,Programs : Deployments : Technical Publications,,"Santa Ana, CA",US (CONUS),Full-time,191000,253000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5225164007?gh_jid=5225164007
Anduril,Greenhouse,"Algorithm Developer, Battlespace Awareness",Mission Systems : Battlespace Awareness Engineering,,"Broomfield, CO; Fort Collins, CO",US (CONUS),Full-time,126000,167000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5207731007?gh_jid=5207731007
Anduril,Greenhouse,"Algorithm Engineer, Battlespace Awareness",Mission Systems : Battlespace Awareness Engineering,,"Broomfield, CO; Fort Collins, CO",US (CONUS),Full-time,126000,167000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5207732007?gh_jid=5207732007
Anduril,Greenhouse,"Analytics Engineer, Hardware Test",Business Operations : Business Operations : Analytics,,"Costa Mesa, CA",US (CONUS),Full-time,146000,194000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/4768437007?gh_jid=4768437007
Anduril,Greenhouse,"Analytics Lead, Manufacturing Quality",Quality Reliability & System Safety : Quality Engineering : Quality Systems Engineering,,"Ashville, OH",US (CONUS),Full-time,165000,218000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5198870007?gh_jid=5198870007
Anduril,Greenhouse,"Analytics Lead, Manufacturing Quality",Hardware Engineering : Quality,,"Atlanta, GA",US (CONUS),Full-time,143000,191000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5167749007?gh_jid=5167749007
Anduril,Greenhouse,Android Engineer,Air Dominance & Strike : Mission Autonomy Engineering : MFX Coordinated Effects,,"Costa Mesa, CA; Seattle, WA; Washington, DC",US (CONUS),Full-time,166000,220000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5158239007?gh_jid=5158239007
Anduril,Greenhouse,Applied LLM Systems Engineer,Programs : Deployments : Technical Publications,,"Costa Mesa, CA",US (CONUS),Full-time,191000,253000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5197253007?gh_jid=5197253007
Anduril,Greenhouse,Arsenal-1 Operations Lead,Manufacturing : Manufacturing : Manufacturing,,"Costa Mesa, CA",US (CONUS),Full-time,146000,194000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5216938007?gh_jid=5216938007
Anduril,Greenhouse,"ASNT/NAVSEA NDT Inspector, UT Level III, Maritime",Manufacturing : Heavy Metal - Production,,"Santa Ana, CA",US (CONUS),Full-time,146000,194000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5167576007?gh_jid=5167576007
Anduril,Greenhouse,Asset Improvement Lead,Core Operations : Real Estate & Facilities : Design & Construction,,"Costa Mesa, CA",US (CONUS),Full-time,99000,130000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5156364007?gh_jid=5156364007
Anduril,Greenhouse,Assistant Contractor Special Security Officer,Core Operations : Security : Industrial and Special Program Security,,"Costa Mesa, CA",US (CONUS),Contract,112000,149000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5203761007?gh_jid=5203761007
Anduril,Greenhouse,"Associate, Business & Revenue Operations, Air Defense",AFS : Air Defense Engineering : Business Operations,,"Irvine, CA",US (CONUS),Full-time,112000,149000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5214320007?gh_jid=5214320007
Anduril,Greenhouse,"Associate Director, Army Mission Operations",Connected Warfare,,"Fort Bragg, NC",US (CONUS),Full-time,165000,206000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5195961007?gh_jid=5195961007
Anduril,Greenhouse,"Associate Director, Army Mission Operations",Connected Warfare,,"Washington, DC",US (CONUS),Full-time,191000,239000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5195955007?gh_jid=5195955007
Anduril,Greenhouse,"Associate Director, Army Mission Operations",Connected Warfare,,"Seattle, WA",US (CONUS),Full-time,191000,239000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5188188007?gh_jid=5188188007
Anduril,Greenhouse,"Associate Director, International Project Logistics",Programs : Deployments : Global Logistics,,"Ashville, OH",US (CONUS),Full-time,143000,191000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5201948007?gh_jid=5201948007
Anduril,Greenhouse,"Associate Director, International Project Logistics",Programs : Deployments : Global Logistics,,"Costa Mesa, CA",US (CONUS),Full-time,166000,220000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5201946007?gh_jid=5201946007
Anduril,Greenhouse,"Associate Director of Finance, Maritime",Finance & Accounting : Finance : Finance,,"Costa Mesa, CA",US (CONUS),Full-time,193000,220000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5208200007?gh_jid=5208200007
Anduril,Greenhouse,"Associate Director, Space Growth",AFS : Space Engineering : Space Capture,,"Chantilly, VA",US (CONUS),Full-time,191000,253000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5133374007?gh_jid=5133374007
Anduril,Greenhouse,"Associate Director, Strategic Execution - International",Sales and Marketing : Business Development : Maneuver Dominance Capture,,"London, England, United Kingdom",International,Full-time,,,,,https://boards.greenhouse.io/andurilindustries/jobs/5220149007?gh_jid=5220149007
Anduril,Greenhouse,"Associate Director, Strategic Execution - TRS",Sales and Marketing : Business Development : Maneuver Dominance Capture,,"Costa Mesa, CA",US (CONUS),Full-time,166000,220000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5222624007?gh_jid=5222624007
Anduril,Greenhouse,"Associate General Counsel, Policy",Legal and Business Affairs : Legal : Legal,,"Washington, DC",US (CONUS),Full-time,253000,336000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5169153007?gh_jid=5169153007
Anduril,Greenhouse,Associate People Business Partner,People : People Business Partners : People Business Partners,,"Costa Mesa, CA",US (CONUS),Full-time,113000,149000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/4855853007?gh_jid=4855853007
Anduril,Greenhouse,Associate Workplace Manager,Core Operations : Real Estate & Facilities : Facilities,,"Costa Mesa, CA",US (CONUS),Full-time,86000,114000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5156606007?gh_jid=5156606007
Anduril,Greenhouse,"Automation Engineer, Manufacturing Automation",Manufacturing : Manufacturing Engineering : Manufacturing Automation,,"Costa Mesa, CA",US (CONUS),Full-time,129000,171000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5201063007?gh_jid=5201063007
Anduril,Greenhouse,Automation & Torque Tooling Technician,Manufacturing : Manufacturing Operations : Production Operations,,"Costa Mesa, CA",US (CONUS),Full-time,48,57,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5183582007?gh_jid=5183582007
Anduril,Greenhouse,Autonomy Lead,Maritime & Maneuver Dominance : Heavy Metal - Engineering & Operations,,"Costa Mesa, CA",US (CONUS),Full-time,253000,336000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5167055007?gh_jid=5167055007
Anduril,Greenhouse,Aviation Maintenance Engineer,Maritime & Maneuver Dominance : Maneuver Dominance Engineering : Field Test Engineering,,"Phoenix, AZ",US (CONUS),Full-time,,,,,https://boards.greenhouse.io/andurilindustries/jobs/5115028007?gh_jid=5115028007
Anduril,Greenhouse,AV Systems Administrator,Corporate Technology : IT : AV Systems,,"Costa Mesa, CA",US (CONUS),Full-time,33,43,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5134986007?gh_jid=5134986007
Anduril,Greenhouse,AV Systems Administrator,Corporate Technology : IT : IT Service,,"Washington, DC",US (CONUS),Full-time,33,43,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5190224007?gh_jid=5190224007
Anduril,Greenhouse,Badging Access Control Lead,Core Operations : Security : Corporate Physical Security,,"Ashville, OH",US (CONUS),Full-time,126000,167000,per-year-salary,,https://boards.greenhouse.io/andurilindustries/jobs/5221014007?gh_jid=5221014007
Anduril,Greenhouse,Battery Mechanical Engineer,Hardware Platform : Core Technology Products : Battery Engineering,,"Costa Mesa, CA",US (CONUS),Full-time,129000,171000,per-year-salary,Bachelor's,https://boards.greenhouse.io/andurilindustries/jobs/5200203007?gh_jid=5200203007
