"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"BAE Systems","BrassRing","Welder II ($29.80)","Manufacturing & Maintenance","","Anniston, AL","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298990","prime",""
"BAE Systems","BrassRing","ACV Program Manager II","Project & Program Management","","York, PA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299749","prime",""
"BAE Systems","BrassRing","Engineer Principal - FPGA Design - $10K Sign On Bonus","Engineering & Technology","","Chantilly, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298874","prime",""
"BAE Systems","BrassRing","Engineer Principal – Systems","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298855","prime",""
"BAE Systems","BrassRing","Senior Facility Engineer","Engineering & Technology","","Maple Grove, MN","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298559","prime",""
"BAE Systems","BrassRing","Electrical/Mechanical Technician (B1 Weekend)","Manufacturing & Maintenance","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299513","prime",""
"BAE Systems","BrassRing","CNC MILLING OPERATOR 3","Manufacturing & Maintenance","","Aiken, SC","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299724","prime",""
"BAE Systems","BrassRing","Engineer II - Mission Operations Sustainment Systems Engineer-10k Sign-On Bonus","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298699","prime",""
"BAE Systems","BrassRing","Senior Principal II Engineer – FPGA Design - $20K Sign On Bonus","Engineering & Technology","","Chantilly, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298878","prime",""
"BAE Systems","BrassRing","Manufacturing Engineer","Engineering & Technology","","Anniston, AL","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300011","prime",""
"BAE Systems","BrassRing","Program Manager III - Software Programs of Record (CONTINGENT)","Project & Program Management","","WP AFB, OH","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299496","prime",""
"BAE Systems","BrassRing","Weld Production Supervisor - 2nd Shift (Weekends) Value Stream","Manufacturing & Maintenance","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=297579","prime",""
"BAE Systems","BrassRing","Engineer II – Systems – Launch Systems Integration","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299160","prime",""
