Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
Castelion,careers-page.com,Avionics Reliability Engineer,,,"Torrance, CA",US (CONUS),Full-time,140000,180000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W3647W96
Castelion,careers-page.com,Automation and Controls Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/RY6X46WX
Castelion,careers-page.com,Development Test Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63344955
Castelion,careers-page.com,Electrical Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X5Y634V
Castelion,careers-page.com,Embedded Software Engineer (All Levels),,,"Torrance, CA",US (CONUS),Full-time,110000,240000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/QWWW39R9
Castelion,careers-page.com,Embedded Software Engineer Intern - Fall 2026,,,"Torrance, CA",US (CONUS),Internship,40,40,per-hour-wage,Bachelor's,https://www.careers-page.com/castelion-corporation/job/L43W9YX5
Castelion,careers-page.com,Energetics Safety Manager,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W3YXR3V
Castelion,careers-page.com,Facilities Manager,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4R84W777
Castelion,careers-page.com,Flight Test Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/RYYX5X66
Castelion,careers-page.com,Human Resources Business Partner,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/8X96W9V3
Castelion,careers-page.com,Human Resources Manager,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XV3RY95
Castelion,careers-page.com,Inventory and Cost Accounting Manager,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/7X44964X
Castelion,careers-page.com,Lead Avionics Engineer - Flight Termination System,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4RXRY845
Castelion,careers-page.com,Lead Flight Software Engineer,,,"Torrance, CA",US (CONUS),Full-time,190000,250000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/9349XYVY
Castelion,careers-page.com,Logistics and Materials Operations Lead,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/RY79848R
Castelion,careers-page.com,"Manager, Government and Community Affairs, Project Ranger",,,"Rio Rancho, NM",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/3W39R77V
Castelion,careers-page.com,"Manufacturing Engineer, Propellant",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W34W7VW9
Castelion,careers-page.com,"Manufacturing Engineer, Propellant",,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/X94XRW4Y
Castelion,careers-page.com,"Manufacturing Engineer, Propellant",,,"Midland, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/Y65WRRW9
Castelion,careers-page.com,"Manufacturing Engineer, Solid Rocket Motors",,,"Midland, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XW5YX83
Castelion,careers-page.com,Mission Integration Engineer,,,"Torrance, CA",US (CONUS),Full-time,150000,175000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/LR5W869X
Castelion,careers-page.com,Office Manager,,,"Washington, DC",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/X9Y8W3Y3
Castelion,careers-page.com,People Operations Specialist,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/3W68X6W8
Castelion,careers-page.com,Program Manager,,,"Torrance, CA",US (CONUS),Full-time,150000,190000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/RY69XW96
Castelion,careers-page.com,R&D Technician,,,"Midland, TX",US (CONUS),Full-time,,,,Associate's,https://www.careers-page.com/castelion-corporation/job/W383W986
Castelion,careers-page.com,Senior Avionics Systems Integration Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/QYY33389
Castelion,careers-page.com,Senior FPGA Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X3WVYYV
Castelion,careers-page.com,Senior GNC Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W654YYV
Castelion,careers-page.com,"Senior Legal Counsel, Government Contracts",,,"Washington, DC",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/RY7V673R
Castelion,careers-page.com,Senior Manufacturing Engineer - Machining,,,"Torrance, CA",US (CONUS),Full-time,140000,230000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/V6W4YY9R
Castelion,careers-page.com,Senior Mechanical Design Engineer,,,"Torrance, CA",US (CONUS),Full-time,140000,230000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W3XY5596
Castelion,careers-page.com,Senior Propulsion Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7X473XRX
Castelion,careers-page.com,Senior Propulsion Engineer,,,"Torrance, CA",US (CONUS),Full-time,140000,230000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63VXRY8W
Castelion,careers-page.com,Senior Radar Algorithm Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63V3RXY5
Castelion,careers-page.com,Senior RF Systems Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/V635XV68
Castelion,careers-page.com,"Senior Simulation Software Engineer, GNC",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4RR775RV
Castelion,careers-page.com,Senior Warhead Design Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4R8YYY87
Castelion,careers-page.com,Senior Warhead Design Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4R69R4Y5
Castelion,careers-page.com,Shipping and Receiving Specialist,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/7X548VY5
Castelion,careers-page.com,Shipping and Receiving Specialist,,,"Midland, TX",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/W3853846
Castelion,careers-page.com,Site Operations Manager,,,"Midland, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W34W3486
Castelion,careers-page.com,Staff Electrical Engineer - Flight Computers,,,"Torrance, CA",US (CONUS),Full-time,190000,240000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/L34WX3X8
Castelion,careers-page.com,"Systems Integration & Test Engineer, Avionics (All Levels)",,,"Torrance, CA",US (CONUS),Full-time,110000,200000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/L55RVWX3
Castelion,careers-page.com,Technical Recruiter,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/3WWRR3YW
Castelion,careers-page.com,Technical Recruiter,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/Y6R8W455
Castelion,careers-page.com,"Tooling, Automation & Controls Manager",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/Y6R8X49V
Castelion,careers-page.com,Accounts Payable (AP) Specialist,,,"Torrance, CA",US (CONUS),Full-time,30,35,per-hour-wage,,https://www.careers-page.com/castelion-corporation/job/5W8W78XR
Castelion,careers-page.com,Avionics/Electrical Quality Inspector,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/63X449YW
Castelion,careers-page.com,Avionics Hardware Engineer (All Levels),,,"Torrance, CA",US (CONUS),Full-time,110000,200000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W3579556
Castelion,careers-page.com,"Avionics Manufacturing Engineer, Electrical Integration",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/93795XX4
Castelion,careers-page.com,Avionics Manufacturing Specialist (PCBA),,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/8X3WXR43
Castelion,careers-page.com,Avionics Manufacturing Supervisor,,,,,Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/937345V4
Castelion,careers-page.com,Avionics R&D Tech II/Senior (Integration),,,"Torrance, CA",US (CONUS),Full-time,40,50,per-hour-wage,,https://www.careers-page.com/castelion-corporation/job/8X76X66R
Castelion,careers-page.com,Avionics R&D Tech II/Senior (PCBA),,,"Torrance, CA",US (CONUS),Full-time,40,50,per-hour-wage,,https://www.careers-page.com/castelion-corporation/job/V6YX6X8R
Castelion,careers-page.com,Build Reliability Engineer,,,,,Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/Y6R83W99
Castelion,careers-page.com,Chemical Technician - Wet Chemistry,,,"Torrance, CA",US (CONUS),Full-time,,,,Associate's,https://www.careers-page.com/castelion-corporation/job/W34463WW
Castelion,careers-page.com,CMM Inspector,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/X94RX73Y
Castelion,careers-page.com,CNC Machinist,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/Y6R4W9W5
Castelion,careers-page.com,Composites R&D Technician – Chemical Vapor Deposition (CVD),,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/63X798X5
Castelion,careers-page.com,Composites Specialist - Chemical Vapor Deposition (CVD),,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/W367W936
Castelion,careers-page.com,Composites Technician - Filament Winding,,,"Torrance, CA",US (CONUS),Full-time,,,,High School,https://www.careers-page.com/castelion-corporation/job/63V53V75
Castelion,careers-page.com,Construction Project Manager,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/RY748V56
Castelion,careers-page.com,Contracts Manager,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/5W8W4Y9R
Castelion,careers-page.com,"Deputy Program Engineer, Hypersonic Strike",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/93X54VR4
Castelion,careers-page.com,Dimensional/Mechanical Inspector,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/X96V337Y
Castelion,careers-page.com,"Director, Business Development – Air Force Programs",,,"Washington, DC",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W34R7WX6
Castelion,careers-page.com,Director of Manufacturing,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/Y6645X85
Castelion,careers-page.com,Electrical Engineer Intern - Fall 2026 (Avionics),,,"Torrance, CA",US (CONUS),Internship,35,35,per-hour-wage,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4R643WWV
Castelion,careers-page.com,EMI EMC Engineer,,,"Torrance, CA",US (CONUS),Full-time,160000,220000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XWY9V8X
Castelion,careers-page.com,Environmental Manager,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/636W54Y5
Castelion,careers-page.com,Facilities Coordinator,,,"Midland, TX",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/8X53VR3V
Castelion,careers-page.com,Facilities Coordinator,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/X986Y6VY
Castelion,careers-page.com,Flight Software Engineer (All Levels),,,"Torrance, CA",US (CONUS),Full-time,110000,240000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63V6V96W
Castelion,careers-page.com,"Furnace Technician, Ceramic Matrix Composites",,,"Torrance, CA",US (CONUS),Full-time,,,,High School,https://www.careers-page.com/castelion-corporation/job/RYR4XYYR
Castelion,careers-page.com,GNC Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/X9849933
Castelion,careers-page.com,GNC Engineer – Actuation Systems,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/937X3R66
Castelion,careers-page.com,Ground Software Engineer,,,"Torrance, CA",US (CONUS),Full-time,110000,240000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X996V5R
Castelion,careers-page.com,HITL Test Infrastructure Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W38X8V8W
Castelion,careers-page.com,HWIL FPGA Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W34R7346
Castelion,careers-page.com,Industrial Chemical Engineer - Wet Chemistry,,,,,Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63RRXXYW
Castelion,careers-page.com,Information System Security Officer (ISSO),,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/RYR7984X
Castelion,careers-page.com,Information Systems Security Manager (ISSM),,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/X95897YR
Castelion,careers-page.com,Instructional Designer,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/V645V7X6
Castelion,careers-page.com,Inventory Specialist,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/X986VY9Y
Castelion,careers-page.com,Inventory Specialist,,,"Midland, TX",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/Y68R68V5
Castelion,careers-page.com,Inventory Specialist,,,"Torrance, CA",US (CONUS),Full-time,,,,High School,https://www.careers-page.com/castelion-corporation/job/4RV778RV
Castelion,careers-page.com,IT Network Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,100000,135000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XV53435
Castelion,careers-page.com,Launch R&D Technician,,,"Torrance, CA",US (CONUS),Full-time,,,,High School,https://www.careers-page.com/castelion-corporation/job/8X3R8VVV
Castelion,careers-page.com,Lead Avionics Test Engineer,,,"Torrance, CA",US (CONUS),Full-time,190000,250000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XWR76Y5
Castelion,careers-page.com,Lead Integration & Test Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W36WWV59
Castelion,careers-page.com,Lead Integration & Test Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W36WWVX6
Castelion,careers-page.com,Lead Manufacturing Engineer - Avionics,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/5W8VX9X5
Castelion,careers-page.com,Lead Manufacturing Engineer - Motors,,,,,Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/3WW6484V
Castelion,careers-page.com,Lead R&D Technician,,,"Torrance, CA",US (CONUS),Full-time,,,,Associate's,https://www.careers-page.com/castelion-corporation/job/63VV5R35
Castelion,careers-page.com,"Machining Apprentice, Additive Manufacturing",,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/3W3R5R9V
Castelion,careers-page.com,"Manager, Development Test",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W35X4Y66
Castelion,careers-page.com,"Manager, Social Media & Strategic Communications",,,"Torrance, CA",US (CONUS),Full-time,100000,160000,per-year-salary,,https://www.careers-page.com/castelion-corporation/job/Y6R464V9
Castelion,careers-page.com,"Manufacturing Engineer, Chemical Vapor Deposition",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63RRX34R
Castelion,careers-page.com,"Manufacturing Engineer, Equipment",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XV68XXX
Castelion,careers-page.com,"Manufacturing Engineer, Harnessing",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4RVXWY75
Castelion,careers-page.com,"Manufacturing Engineer, Materials Manufacturing",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W833Y78
Castelion,careers-page.com,"Manufacturing Engineer, PCBA",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/V63W53VR
Castelion,careers-page.com,Manufacturing Specialist (Solid Rocket Motor Production),,,"Midland, TX",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/63X3W4WW
Castelion,careers-page.com,Materials Engineer - Chemist,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X94X8YR
Castelion,careers-page.com,Materials Engineer - Flight Vehicle Support,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W3VWY5W
Castelion,careers-page.com,Materials Engineer - High Temperature Composites,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/Y6R964Y5
Castelion,careers-page.com,Materials Engineering - Equipment Engineer (Automation & Controls),,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/5W9XW4VR
Castelion,careers-page.com,"Materials & Process, Program Support Manager",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/X9Y7R763
Castelion,careers-page.com,"Materials & Process Technician - CVD (Night Shift, 230pm to 1130pm)",,,"Torrance, CA",US (CONUS),Full-time,,,,Associate's,https://www.careers-page.com/castelion-corporation/job/W34V3RXW
Castelion,careers-page.com,Mechanical CAD Designer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/5W935755
Castelion,careers-page.com,Mechanical Engineer,,,"Torrance, CA",US (CONUS),Full-time,95000,150000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8XY6734R
Castelion,careers-page.com,Mechanical Engineer Fall 2026 Co-Op,,,"Torrance, CA",US (CONUS),Internship,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X7884XV
Castelion,careers-page.com,Mission Design Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/X948W4RR
Castelion,careers-page.com,PCB Librarian,,,"Torrance, CA",US (CONUS),Full-time,130000,160000,per-year-salary,,https://www.careers-page.com/castelion-corporation/job/3WWY8W5W
Castelion,careers-page.com,Principal Build Reliability Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/63R47YXW
Castelion,careers-page.com,Production Coordinator,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/63359YWW
Castelion,careers-page.com,Production Scheduler,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/93RV8Y44
Castelion,careers-page.com,Production Supervisor – R&D,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/X9Y9WX33
Castelion,careers-page.com,"Product Security Architect, Embedded Systems",,,"Torrance, CA",US (CONUS),Full-time,200000,250000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/V6379RRR
Castelion,careers-page.com,Quality Systems Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/Y658XR55
Castelion,careers-page.com,R&D Technician – Structural Welding,,,"Torrance, CA",US (CONUS),Full-time,,,,High School,https://www.careers-page.com/castelion-corporation/job/5WY4VR7R
Castelion,careers-page.com,Recruiting Coordinator,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3WRX485V
Castelion,careers-page.com,SEM (Scanning Electron Microscopy) Characterization Technician,,,"Torrance, CA",US (CONUS),Full-time,,,,Associate's,https://www.careers-page.com/castelion-corporation/job/RYR3Y48X
Castelion,careers-page.com,Senior Accountant,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W8W78X8
Castelion,careers-page.com,Senior Autonomous Flight Termination System Hardware Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/4R8YXXR5
Castelion,careers-page.com,Senior Autonomous Flight Termination System Hardware Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X7467RR
Castelion,careers-page.com,Senior Avionics Systems Engineer,,,"Torrance, CA",US (CONUS),Full-time,150000,200000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/V645Y456
Castelion,careers-page.com,Senior Avionics Test Engineer,,,"Albuquerque, NM",US (CONUS),Full-time,150000,200000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/Y685638V
Castelion,careers-page.com,Senior Avionics Test Engineer,,,"Torrance, CA",US (CONUS),Full-time,150000,200000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/934YVXY6
Castelion,careers-page.com,Senior Composites R&D Technician - Layup,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/W36WWVV9
Castelion,careers-page.com,Senior Control Electronics Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W67X58W
Castelion,careers-page.com,Senior Control Electronics Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X97838R
Castelion,careers-page.com,Senior Cybersecurity Analyst,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/3W6V6RR8
Castelion,careers-page.com,Senior Cybersecurity Architect,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/93RWWV6Y
Castelion,careers-page.com,Senior Electrical Engineer (PCB Layout),,,"Torrance, CA",US (CONUS),Full-time,140000,180000,per-year-salary,,https://www.careers-page.com/castelion-corporation/job/4RR94X3V
Castelion,careers-page.com,Senior Embedded Software Engineer,,,"Allen, TX",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/V635VWX8
Castelion,careers-page.com,Senior GNC Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/V6YXWW38
Castelion,careers-page.com,Senior GNC Engineer (Navigation),,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/5W94W97R
Castelion,careers-page.com,Senior GNC Engineer (Navigation),,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/934699X4
Castelion,careers-page.com,Senior Guidance Systems Engineer,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/W34V3X3W
Castelion,careers-page.com,Senior Integration & Test Engineer,,,"Torrance, CA",US (CONUS),Full-time,140000,230000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/7XX6V965
Castelion,careers-page.com,Senior Logistics Specialist,,,"Rio Rancho, NM",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/X986VY6Y
Castelion,careers-page.com,Senior Manager – Cybersecurity Operations,,,"Torrance, CA",US (CONUS),Full-time,,,,,https://www.careers-page.com/castelion-corporation/job/V64RY4VR
Castelion,careers-page.com,"Senior Manager, Physical Security",,,"Torrance, CA",US (CONUS),Full-time,150000,175000,per-year-salary,,https://www.careers-page.com/castelion-corporation/job/RY9Y745R
Castelion,careers-page.com,Senior Manufacturing Engineer,,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/8X7RW47V
Castelion,careers-page.com,Senior Manufacturing Engineer - Composites,,,"Torrance, CA",US (CONUS),Full-time,140000,230000,per-year-salary,Bachelor's,https://www.careers-page.com/castelion-corporation/job/QXX97R93
Castelion,careers-page.com,"Senior Manufacturing Engineer, Filament Winding",,,"Torrance, CA",US (CONUS),Full-time,,,,Bachelor's,https://www.careers-page.com/castelion-corporation/job/3W663X9V
