"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Cisco","Workday","2019369 Customer Delivery Consulting Engineer - Security","","","Herndon, VA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Herndon-Virginia-US/XMLNAME-2019369-Customer-Delivery-Consulting-Engineer---Security_2019369","cleared","ts/sci"
"Cisco","Workday","Solutions Engineer","","","Birmingham, AL","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Birmingham-Alabama-US/Solutions-Engineer_2020537","cleared","ts/sci"
"Cisco","Workday","Solutions Engineer","","","Fulton, MD","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Fulton-Maryland-US/Solutions-Engineer_2020539","cleared","ts/sci"
"Cisco","Workday","Cleared DevOps Lead Engineer Hybrid","","","Annapolis Junction, MD","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Annapolis-Junction-Maryland-US/Cleared-DevOps-Lead-Engineer-Hybrid_2015159","cleared","security clearance"
"Cisco","Workday","Director, Sales - Splunk Federal INTEL/Defense","","","Remote - Maryland","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Remote---Maryland-USA/Director--Sales---Splunk-Federal-INTEL-Defense_2011124","cleared","ts/sci"
"Cisco","Workday","Leader, Sales, Splunk - US Military Defense","","","Remote - Virginia","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Remote---Virginia-USA/Leader--Sales--Splunk---US-Military-Defense_2020044-1","cleared","ts/sci"
"Cisco","Workday","Account Executive - Splunk Commercial - SLED (Remote)","","","New York, NY","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/New-York-New-York-US/Account-Executive---Splunk-Commercial---SLED--Remote-_2021087-1","gov_customer","public sector"
"Cisco","Workday","Senior Site Reliability Engineer (FedRAMP) - ThousandEyes(Hybrid)","","","San Francisco, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Francisco-California-US/Senior-Site-Reliability-Engineer--FedRAMP----Cisco-ThousandEyes_2010474","gov_customer","govcloud"
"Cisco","Workday","Cloud Engineer","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/Cloud-Engineer_2019819","gov_customer","fedramp high"
"Cisco","Workday","Regional Sales Leader, Security (SLED)","","","San Francisco, CA","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Francisco-California-US/Leader--Sales_2022564","gov_customer","public sector"
"Cisco","Workday","Security Account Executive - Fed/Civ","","","Herndon, VA","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Herndon-Virginia-US/Federal-Civilian-Security-Account-Executive---Architecture_2017129","gov_customer","defense industrial base"
"Cisco","Workday","Account Executive - Splunk - Air Force","","","Remote - Virginia","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Remote---Virginia-USA/Account-Executive---Splunk---Air-Force_2017429-1","gov_customer","federal government"
"Cisco","Workday","Leader, Sales- Splunk SLED (Northwest Region)","","","Denver, CO","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Denver-Colorado-US/Leader--Sales--Splunk-SLED--Northwest-Region-_2019604-1","gov_customer","public sector"
"Cisco","Workday","Emulation Engineer","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/Emulation-Engineer_2010966","gov_customer","public sector"
"Cisco","Workday","ASIC Technical Leader- CAD","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/ASIC-DFT-CAD-Technical-Leader_2012616","gov_customer","public sector"
"Cisco","Workday","ASIC Core DFT Technical Lead","","","San Jose, CA","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/ASIC-Engineering-Technical-Leader_2006625","gov_customer","public sector"
"Cisco","Workday","ASIC Design Verification Engineer","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/ASIC-Design-Verification-Engineer_2010971-1","gov_customer","public sector"
"Cisco","Workday","Account Executive, Portfolio - SLED - Iowa","","","West Des Moines, IA","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/West-Des-Moines-Iowa-US/Account-Executive--Portfolio---SLED---Iowa_2024398","gov_customer","public sector"
"Cisco","Workday","Director, Physical Design (Silicon One)","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/Director--Physical-Design--Silicon-One-_2021574","gov_customer","public sector"
"Cisco","Workday","ASIC Engineer","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/ASIC-Engineer_2024546-1","gov_customer","public sector"
"Cisco","Workday","Account Executive - Splunk - Higher ED MidAtlantic","","","Remote - Virginia","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Remote---Virginia-USA/Account-Executive---Splunk---Higher-ED-MidAtlantic_2014922-1","gov_customer","public sector"
"Cisco","Workday","Account Executive - Portfolio","","","Syracuse, NY","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Syracuse-New-York-US/Account-Executive---Portfolio_2021198","gov_customer","public sector"
"Cisco","Workday","Account Executive - Portfolio","","","Syracuse, NY","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Syracuse-New-York-US/Account-Executive---Portfolio_2021863","gov_customer","public sector"
"Cisco","Workday","Leader, Sales - SLED","","","Rancho Cordova, CA","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Rancho-Cordova-California-US/Leader--Sales---SLED_2014339","gov_customer","public sector"
"Cisco","Workday","Sales Business Development Manager (SLED)","","","Washington, District of Columbia","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Washington-District-of-Columbia-US/Leader--Sales-Business-Development_2017155","gov_customer","public sector"
"Cisco","Workday","Solutions Engineer I&MI Routing and Optics","","","San Jose, CA","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/Solutions-Engineer-I-MI-Routing--Optical-and-Automation_2020809","gov_customer","public sector"
"Cisco","Workday","Senior Product Manager, Network Platform (Remote)","","","Chicago, IL","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Chicago-Illinois-US/Senior-Product-Manager--Network-Platform--Remote-_2021208-1","gov_customer","fedramp high"
"Cisco","Workday","Solutions Engineer","","","New York, NY","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/New-York-New-York-US/Solutions-Engineer_2019460-1","gov_customer","public sector"
"Cisco","Workday","Partner Alliance Manager -  Splunk PBST","","","Remote - Texas","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Remote---Texas-USA/Partner-Alliance-Manager----Splunk-PBST_2021222-1","gov_customer","public sector"
"Cisco","Workday","Partner Alliance Manager -  Splunk PBST","","","Remote - Virginia","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Remote---Virginia-USA/Partner-Alliance-Manager----Splunk-PBST_2021587-1","gov_customer","public sector"
"Cisco","Workday","Sr. Hardware Engineer (EDVT & PHY Qual)","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/Sr-Hardware-Engineer--EDVT---PHY-Qual-_2021083","gov_customer","public sector"
"Cisco","Workday","ASIC DFT Emulation Technical Lead","","","San Jose, CA","US (CONUS)","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/San-Jose-California-US/ASIC-DFT-Emulation-Technical-Lead_2019597","gov_customer","public sector"
"Cisco","Workday","Detection Engineering Technical Leader","","","Denver, CO","US/Remote","Full-time","","","","","https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Denver-Colorado-US/Detection-Engineering-Technical-Leader_2022041-1","gov_customer","fedramp high"
