"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"GCI","UltiPro","Intel Ops Support Sr - Night Shift  (TS/SCI with Poly Required)","Intelligence Operations and Analysis","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=92901139-5f2f-4fe5-a947-7496cfd8f9be","prime",""
"GCI","UltiPro","Data Exploiter (TS/SCI with Poly Required)","Data Science and Data Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=42d93a05-cd53-4cc5-ab42-5e49708d011e","prime",""
"GCI","UltiPro","Software Engineer (TS/SCI with Poly Required)","Software Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=ea5ad334-5701-4356-9fc6-e11d2d3987aa","prime",""
"GCI","UltiPro","Geospatial Analyst/Software Developer (TS/SCI with Poly Required)","Software Engineering","","McLean, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=485f4094-62ec-4384-9a9c-fbcc6b990a40","prime",""
"GCI","UltiPro","(Technical Targeter- General) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=d0cc6241-a849-4b49-91e9-1ac515c3046b","prime",""
"GCI","UltiPro","Cloud Engineer (Software Engineer) (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Herndon, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=3df211d8-cb54-4bab-9914-7c4323f17ca7","prime",""
"GCI","UltiPro","Sr. Project Integrator - (TS/SCI with Poly Required)","Program Delivery and Execution","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=73d964c9-5ca6-4b63-b70f-9297b0d4744b","prime",""
"GCI","UltiPro","Information Systems Security Engineer (ISSE) (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Tysons Corner, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=67a0299a-95cb-49e3-bf4b-3831f8aec749","prime",""
"GCI","UltiPro","Intelligence Operations Support Sr Principal (TS/SCI with Poly Required)","Intelligence Operations and Analysis","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=bf4b7fee-0e12-4bbe-b4c6-939c00799a18","prime",""
"GCI","UltiPro","Intelligence Operations Support Principal (TS/SCI with Poly Required)","Intelligence Operations and Analysis","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=e4502633-efd1-4a2d-a832-206e4df812ee","prime",""
"GCI","UltiPro","Intelligence Analyst Principal (TS/SCI with Poly Required)","Intelligence Operations and Analysis","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=86fb8962-a56a-44b6-8286-2155ff967f49","prime",""
"GCI","UltiPro","Cyber Technical Analyst Sr Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=de7f51b8-0766-4d3e-b996-8d2fa6e8e24c","prime",""
"GCI","UltiPro","HR Generalist Associate (Temp-to-Hire)","Human Resources","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=6a10bfce-db0a-4649-a683-535f23c559c3","prime",""
"GCI","UltiPro","Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=61ff41e2-b232-4412-b0f4-2f20372a96ce","prime",""
"GCI","UltiPro","Systems Engineer SME (TS/SCI with Poly Required)","IT Infrastructure and Operations","","McLean, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=5bfcbf79-b294-47c9-8d78-d117060e2f8c","prime",""
"GCI","UltiPro","Network Engineer Sr Principal (TS/SCI with Poly Required)","IT Infrastructure and Operations","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=dc4a9639-6f83-4d37-9932-c2e8d399a726","prime",""
"GCI","UltiPro","Tech Lead/Software Engineer (TS/SCI with Poly Required)","Software Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=5eeee33f-2ecf-4a10-97d1-f72d2c5e5b1e","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=db772536-841c-4c0a-8da9-3778da275d58","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=433372fb-f2f5-4a2c-b8bd-087605df4f48","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=321fa4fb-aa62-4dd5-8cf6-ea405be009f6","prime",""
"GCI","UltiPro","Database Engineer (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Tysons Corner, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=249e8dd6-d399-4798-b921-b96a93220669","prime",""
"GCI","UltiPro","Payroll Specialist","Finance","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=62fbd0b7-814a-465d-b02a-be9cbbdae4a9","prime",""
"GCI","UltiPro","Cloud Engineer Senior (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=044fac38-54e1-4f80-aa8c-c4af06a6442c","prime",""
"GCI","UltiPro","Software Engineer Senior (Secret Clearance Required)","Software Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=ae5967be-071e-4152-a6b4-03b1e6978760","prime",""
"GCI","UltiPro","Security Officer (TS/SCI with Poly Required)","Security Operations","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=d0392683-3b1d-4e6c-936b-7e9131e74e8a","prime",""
"GCI","UltiPro","AI/ML Data Engineer (TS/SCI with Poly Required)","Data Science and Data Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=77e811e8-f33d-488a-a8d7-58c6a13076b9","prime",""
