"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Dell Technologies","Oracle Recruiting","Director, Global Defense and Intelligence Security Programs","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/295052","cleared","top secret"
"Dell Technologies","Oracle Recruiting","Virtualization Administrator Consultant at Offutt AFB in Omaha, Nebraska (Remote, NE)","","","Nebraska City, NE","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/294209","cleared","top-secret"
"Dell Technologies","Oracle Recruiting","Network Automation Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296685","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Network Automation Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296677","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Unified Comms Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296684","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Information Systems Security Manager - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296618","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Logistician - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296679","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Warehouse Manager - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296619","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Consultant, Technical Account Manager","","","Draper, UT","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/294645","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Senior Advisor, Technical Account Manager","","","Omaha, NE","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/294644","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Senior Advisor, Technical Account Manager","","","Omaha, NE","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/294642","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Systems Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296672","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Integration Support - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296703","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Logistician 2: Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296675","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Integration, Automation Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296673","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Hardware, Mechanical Power Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296671","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Information Systems Security Officer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296668","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Systems Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296606","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Integration, Automation Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296613","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Facility Security & IT Specialist - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296678","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Information System Security Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296617","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Hardware, Mechanical Power Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296610","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Lead Unified Comms Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296612","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Lead Network Automation Engineer - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296702","cleared","ts/sci"
"Dell Technologies","Oracle Recruiting","Federal Customer Program Manager","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296302","gov_customer","public sector"
"Dell Technologies","Oracle Recruiting","Scrum Master - Federal Customer","","","Mclean, VA","US (CONUS)","","","","","","https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/296257","cleared","ts/sci"
