City,State,County,GeoType,IsCandidate,Latitude,Longitude,BoundaryGeoid
Cedar Rapids,IA,Linn,city,No,41.96419,-91.67917,1912000
Tewksbury,MA,Middlesex,city,No,42.626732613783,-71.269707434838,
Andover,MA,Essex,city,No,42.655672,-71.142244,2501430
Mckinney,TX,Collin,city,No,33.201125,-96.664161,4845744
East Hartford,CT,Capitol,city,No,41.760695,-72.607646,0922700
Marlborough,MA,Middlesex,city,No,42.349617,-71.547214,2538715
Woburn,MA,Middlesex,city,No,42.488703,-71.154383,2581035
Aurora,CO,Arapahoe,city,No,39.709537,-104.720509,0804000
El Segundo,CA,Los Angeles,city,No,33.910367,-118.425079,0622412
Aguadilla,PR,Aguadilla,city,No,18.453719479399,-67.155458526964,7200745
Middletown,CT,Lower Connecticut River Valley,city,No,41.548611,-72.656784,0947290
North Berwick,ME,York,city,No,43.296215,-70.730953,2350290
Richardson,TX,Dallas,city,No,32.972291,-96.708069,4861796
Windsor Locks,CT,Capitol,city,No,41.92779,-72.651616,0987140
Clayville,NY,Oneida,city,No,42.977963,-75.250681,3616111
Largo,FL,Pinellas,city,No,27.908685,-82.774174,1239425
Portsmouth,RI,Newport,city,No,41.516932469651,-71.299789973457,4450140
Melbourne,FL,Brevard,city,No,28.110438,-80.662717,1243975
Plano,TX,Collin,city,No,33.050769,-96.747944,4858016
Jupiter,FL,Palm Beach,city,No,26.918551,-80.11694,1235875
Rockford,IL,Winnebago,city,No,42.2593,-89.063478,1765000
Santa Isabel,PR,Isabela,city,No,18.492779486247,-67.027535985763,7236478
Sterling,VA,Loudoun,city,No,39.004733,-77.405368,5175376
Winston-Salem,NC,Forsyth,city,No,36.102863,-80.260829,3775000
Fullerton,CA,Orange,city,No,33.885716,-117.928025,0628000
Lenexa,KS,Johnson,city,No,38.965268,-94.803937,2039350
Springdale,AR,Washington,city,No,36.191438,-94.155062,0566080
Foley,AL,Baldwin,city,No,30.397068,-87.66846,0126992
York,NE,York,city,No,40.869389,-97.592739,3154045
Fulton,MD,Howard,city,No,39.15311,-76.911629,2431025
Chesapeake,VA,Chesapeake,city,No,36.679376,-76.301788,5116000
