Slug,City,State,CbsaGeoid,CbsaSource,OnsiteHybrid
ia-cedar-rapids,Cedar Rapids,IA,16300,county_crosswalk,187
ma-tewksbury,Tewksbury,MA,14460,county_crosswalk,185
ma-andover,Andover,MA,14460,county_crosswalk,180
tx-mckinney,Mckinney,TX,19100,county_crosswalk,172
ma-marlborough,Marlborough,MA,14460,county_crosswalk,135
ma-woburn,Woburn,MA,14460,county_crosswalk,80
co-aurora,Aurora,CO,19740,county_crosswalk,67
ca-el-segundo,El Segundo,CA,31080,county_crosswalk,67
pr-aguadilla,Aguadilla,PR,10380,county_crosswalk,61
me-north-berwick,North Berwick,ME,38860,county_crosswalk,43
tx-richardson,Richardson,TX,19100,county_crosswalk,43
ny-clayville,Clayville,NY,46540,county_crosswalk,31
fl-largo,Largo,FL,45300,county_crosswalk,31
ri-portsmouth,Portsmouth,RI,39300,county_crosswalk,30
fl-melbourne,Melbourne,FL,37340,county_crosswalk,29
tx-plano,Plano,TX,19100,county_crosswalk,28
fl-jupiter,Jupiter,FL,33100,county_crosswalk,24
il-rockford,Rockford,IL,40420,county_crosswalk,24
pr-santa-isabel,Santa Isabel,PR,10380,county_crosswalk,20
va-sterling,Sterling,VA,47900,county_crosswalk,20
nc-winston-salem,Winston-Salem,NC,49180,county_crosswalk,20
ca-fullerton,Fullerton,CA,31080,county_crosswalk,19
ks-lenexa,Lenexa,KS,28140,county_crosswalk,18
ar-springdale,Springdale,AR,22220,county_crosswalk,18
al-foley,Foley,AL,19300,county_crosswalk,17
md-fulton,Fulton,MD,12580,county_crosswalk,13
va-chesapeake,Chesapeake,VA,47260,county_crosswalk,12
ca-carlsbad,Carlsbad,CA,41740,county_crosswalk,11
fl-miramar,Miramar,FL,33100,county_crosswalk,11
ia-west-des-moines,West Des Moines,IA,19780,county_crosswalk,11
va-arlington,Arlington,VA,47900,county_crosswalk,10
pa-middletown,Middletown,PA,25420,county_crosswalk,10
ma-westford,Westford,MA,14460,county_crosswalk,10
nc-wilson,Wilson,NC,48980,county_crosswalk,10
nc-charlotte,Charlotte,NC,16740,county_crosswalk,9
ca-chula-vista,Chula Vista,CA,41740,county_crosswalk,9
