Slug,City,State,CbsaGeoid,OnsiteHybrid
va-dulles,Dulles,VA,47900,12
co-buckley-sfb,Buckley Sfb,CO,19740,11
fl-opa-locka,Opa Locka,FL,33100,7
md-hanover,Hanover,MD,12580,2
nh-merrimack,Merrimack,NH,31700,2
pa-cranberry-township,Cranberry Township,PA,38300,1
al-fort-novosel,Fort Novosel,AL,37120,1
hi-fort-shafter,Fort Shafter,HI,46520,1
ak-jber,JBER,AK,11260,1
md-linthicum-heights,Linthicum Heights,MD,12580,1
md-millersville,Millersville,MD,12580,1
fl-patrick-air-force-base,Patrick Air Force Base,FL,37340,1
co-peterson-afb,Peterson Afb,CO,17820,1
