Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
Epirus,Greenhouse,"Associate Test Engineer, Electromagnetic Laboratory",Growth,,"Lawton, OK",US (CONUS),Full-time,88800,101800,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6113129004
Epirus,Greenhouse,Corporate Development Manager,Strategy and Markets,,"Torrance, CA",US (CONUS),Full-time,118700,166600,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6018689004
Epirus,Greenhouse,EEE Senior Procurement Agent (Contract),Supply Chain,,"Torrance, CA",US (CONUS),Contract,126000,159000,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5837114004
Epirus,Greenhouse,Field Service Representative III (FSR III) - Future Opportunities,Field Services,,"Torrance, CA",US (CONUS),,99000,120900,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5979030004
Epirus,Greenhouse,Field Support Logistician IV,Field Services,,"Torrance, CA",US (CONUS),Full-time,121400,142700,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6104359004
Epirus,Greenhouse,Future Opportunities - Electrical Engineering,,,"Torrance, CA",US (CONUS),,,,,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5633502004
Epirus,Greenhouse,Future Opportunities - Manufacturing,,,"Torrance, CA",US (CONUS),,,,,,https://www.epirusinc.com/open-roles?gh_jid=5633561004
Epirus,Greenhouse,Future Opportunities - Mechanical Engineering,,,"Torrance, CA",US (CONUS),,,,,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5633523004
Epirus,Greenhouse,Future Opportunities- Software Engineering,,,"Torrance, CA",US (CONUS),,,,,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5633540004
Epirus,Greenhouse,Future Opportunities - Supply Chain,,,"Torrance, CA",US (CONUS),,,,,,https://www.epirusinc.com/open-roles?gh_jid=5778014004
Epirus,Greenhouse,Future Opportunities - Systems Engineer,,,"Torrance, CA",US (CONUS),,,,,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5633454004
Epirus,Greenhouse,Future Opportunities - Technicians,,,"Torrance, CA",US (CONUS),,,,,,https://www.epirusinc.com/open-roles?gh_jid=5766073004
Epirus,Greenhouse,Future Opportunities – Warehouse Associate,,,"Torrance, CA",US (CONUS),,,,,,https://www.epirusinc.com/open-roles?gh_jid=5690613004
Epirus,Greenhouse,Global Trade Compliance Manager,Legal Department,,"Torrance, CA",US (CONUS),Full-time,129600,165200,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6118236004
Epirus,Greenhouse,Legal Operations Manager,Legal Department,,"Torrance, CA",US (CONUS),Full-time,140000,159400,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6118234004
Epirus,Greenhouse,Manufacturing Manager,Manufacturing,,"Torrance, CA",US (CONUS),Full-time,127700,161000,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6134858004
Epirus,Greenhouse,Master Integrated Scheduler,Corporate Office,,"Torrance, CA",US (CONUS),Full-time,171800,200600,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=6141589004
Epirus,Greenhouse,Principal Cost Engineer,Field Services,,"Torrance, CA",US (CONUS),Full-time,138000,164500,per-year-salary,Bachelor's,https://www.epirusinc.com/open-roles?gh_jid=5858160004
