"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Fantom Corporation","Lever","Data Engineer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","McLean, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/d96d792a-67f2-4276-80b4-fe9b231d7a53","prime",""
"Fantom Corporation","Lever","Data Scientist","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/d093541b-9085-44cd-b5cd-b3158ccef469","prime",""
"Fantom Corporation","Lever","DevOps Engineer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/25c067a4-c426-4af2-980a-88846311e324","prime",""
"Fantom Corporation","Lever","DevOps Engineer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Hanover, MD","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/d41adbba-80cc-45a8-b6c9-a48d3ecba4ba","prime",""
"Fantom Corporation","Lever","DSP Algorithm Developer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Hanover, MD","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/6dce55ed-fccd-4102-acfe-27829a5a0bc8","prime",""
"Fantom Corporation","Lever","Full Stack Developer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/2cd13c1a-a206-4c1d-a4fb-54ba9e46c667","prime",""
"Fantom Corporation","Lever","Full Stack Software Engineer, AI","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/ef7904f5-7a8f-45f3-a5f2-9f3a932d9897","prime",""
"Fantom Corporation","Lever","Jr Data Engineer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/8731ec64-c77e-4897-99f1-6968de3e1557","prime",""
"Fantom Corporation","Lever","Jr DevOps Engineer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Hanover, MD","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/82a9211c-f2f3-4e61-927c-3c0ab1b0e9f2","prime",""
"Fantom Corporation","Lever","Jr Linux Engineer","Cleared Opportunities","Cleared Opportunities","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/4f9649b5-95da-4078-bf60-dd3aaa6aed21","prime",""
"Fantom Corporation","Lever","Jr Software Engineer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Hanover, MD","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/cadde118-07a1-468c-adf2-73092441d9ed","prime",""
"Fantom Corporation","Lever","Jr Software Integration Engineer","Cleared Opportunities","Cleared Opportunities","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/160901e0-b5d7-400e-a54f-85c035dd232c","prime",""
"Fantom Corporation","Lever","Jr Systems Engineer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Hanover, MD","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/bf1da3f8-2521-44a7-9818-e0ad1b8bde98","prime",""
"Fantom Corporation","Lever","Multi-Cloud Engineer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/d196be33-da54-41ee-b909-5716302c82ee","prime",""
"Fantom Corporation","Lever","Platform Engineer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/1201c592-3003-4162-9fc8-73e5c2a355d0","prime",""
"Fantom Corporation","Lever","Salesforce Developer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","McLean, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/a2e380e3-d5da-4b5c-b77e-15602016321d","prime",""
"Fantom Corporation","Lever","Senior Software Developer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Tysons, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/7fed9d1e-a378-4139-a3fb-256ad9478aef","prime",""
"Fantom Corporation","Lever","Senior Systems Engineer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Fort Meade, Maryland","International","","","","","","https://jobs.lever.co/fantom-corporation/b04a2e7e-afa4-49c6-a620-a2e61c75d5a5","prime",""
"Fantom Corporation","Lever","ServiceNow Developer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/85a84282-e48e-420e-b0c6-26e69b5f879a","prime",""
"Fantom Corporation","Lever","Software Engineer","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/54c9d7e9-bf07-45f8-b2bd-9103859ba4a2","prime",""
"Fantom Corporation","Lever","Software Engineer SME","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/1fde6b2b-76bc-42ac-8808-313b8422dc68","prime",""
"Fantom Corporation","Lever","Software Engineer, Elasticsearch","Fully Cleared Opportunities- Virginia","Fully Cleared Opportunities- Virginia","Chantilly, VA","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/243c977a-967b-40bf-97e4-2e4903fe5443","prime",""
"Fantom Corporation","Lever","Sr DevOps Engineer","Fully Cleared Opportunities- Maryland","Fully Cleared Opportunities- Maryland","Hanover, MD","US (CONUS)","","","","","","https://jobs.lever.co/fantom-corporation/2024ad27-eed6-4d22-b2bd-f5f856956c70","prime",""
