Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
Hermeus,Lever,Aerodynamics Engineer,Engineering,Vehicle Analysis,"Los Angeles, CA",US (CONUS),Full-time,91800,140250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/c9187245-a6b2-415a-ae4c-14aa18bb4207
Hermeus,Lever,Airworthiness Manager,Test,Flight Operations,Remote,US/Remote,Full-time,165000,220000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/2d8f8684-1cb4-47bd-913d-72d4ab90505b
Hermeus,Lever,Associate Facilities Manager,Internal Operations,Facilities,"Los Angeles, CA",US (CONUS),Full-time,100000,125000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/50a06e36-406a-48ce-a4a5-b60239137834
Hermeus,Lever,Autonomy Software Engineer,Engineering,Flight Software,"Los Angeles, CA",US (CONUS),Full-time,110000,160000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/4b1f62d7-4a70-4d79-b83d-f8a6cae6ccaa
Hermeus,Lever,Avionics Electrical Engineer,Engineering,Avionics Hardware,"Atlanta, GA",US (CONUS),Full-time,91800,140250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/64350d64-adbe-4129-9dae-b1de6f0f1d24
Hermeus,Lever,Avionics Electrical Engineer,Engineering,Avionics Hardware,"Los Angeles, CA",US (CONUS),Full-time,91800,140250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/9ad6f012-cabb-439f-bd6c-fe967a278bed
Hermeus,Lever,Avionics Manufacturing Engineer,Manufacturing,Manufacturing Engineering,"Atlanta, GA",US (CONUS),Full-time,110000,180000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/6a817380-3349-41ee-bcc7-6bca6c63648d
Hermeus,Lever,Avionics Shop Manager,Engineering,Avionics Hardware,"Los Angeles, CA",US (CONUS),Full-time,138125,220000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/5ffd7b96-64f2-4038-8abf-ae908117b9be
Hermeus,Lever,Avionics Systems Engineer – Flight Safety Systems (FTS / AFSS),Engineering,Avionics Hardware,"Los Angeles, CA",US (CONUS),Full-time,91800,224250,per-year-salary,,https://jobs.lever.co/hermeus/2657e7b0-bfae-4f24-afe3-0f1bc573c721
Hermeus,Lever,Build Engineer,Engineering,Vehicle Systems,"Los Angeles, CA",US (CONUS),Full-time,91800,140250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/ca83685d-3471-4d6e-aee5-5372e13e3b92
