Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
HII,successfactors,"K46/X11 FITTER FOREMAN- 2ND SHIFT- $5,000 SIGN-ON BONUS",Operations,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-K46X11-FITTER-FOREMAN-2ND-SHIFT-%245%2C000-SIGN-ON-BONUS-Virg/1397135900/
HII,successfactors,WELDER/STRUCTURE EXPERIENCED,Production/Trades,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-WELDERSTRUCTURE-EXPERIENCED-Virg/1397169300/
HII,successfactors,PROD PLNG AND SCHEDULER 1,Planning,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-PROD-PLNG-AND-SCHEDULER-1-Virg/1424793000/
HII,successfactors,TRAINER PRODUCTION 3 / WELDING,Manufacturing,,"Goose Creek, SC",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Goose-Creek-TRAINER-PRODUCTION-3-WELDING-Sout/1424918900/
HII,successfactors,DATA DEVELOPMENT TECHNICIAN 3,Quality,,"Pascagoula, MS",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Pascagoula-DATA-DEVELOPMENT-TECHNICIAN-3-Miss/1424934500/
HII,successfactors,PROD PLNG AND SCHEDULER 1,Planning,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-PROD-PLNG-AND-SCHEDULER-1-Virg/1424795200/
HII,successfactors,MECH TECH C 2 (FITTER),Manufacturing,,"Goose Creek, SC",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Goose-Creek-MECH-TECH-C-2-%28FITTER%29-Sout/1424790700/
HII,successfactors,FACILITIES PLANNER 2,Facilities,,"Pascagoula, MS",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Pascagoula-FACILITIES-PLANNER-2-Miss/1424937400/
HII,successfactors,ENGINEER MECHANICAL 3,Quality,,"Goose Creek, SC",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Goose-Creek-ENGINEER-MECHANICAL-3-Sout/1424945100/
HII,successfactors,ENGINEER MECHANICAL 2,Engineering,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-ENGINEER-MECHANICAL-2-Virg/1424948700/
HII,successfactors,ENGINEER STRUCTURAL 2,Engineering,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-ENGINEER-STRUCTURAL-2-Virg/1424952800/
HII,successfactors,PRESS BRAKE OPERATOR,Manufacturing,,"Goose Creek, SC",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Goose-Creek-PRESS-BRAKE-OPERATOR-Sout/1424954400/
HII,successfactors,ENGINEER MECHANICAL 2,Engineering,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-ENGINEER-MECHANICAL-2-Virg/1424956400/
HII,successfactors,ENGINEER WELDING 1,Engineering,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-ENGINEER-WELDING-1-Virg/1425000500/
HII,successfactors,ENGINEER MECHANICAL 2,Engineering,,"Newport News, VA",US (CONUS),,,,,,https://careers.huntingtoningalls.com/job/Newport-News-ENGINEER-MECHANICAL-2-Virg/1425001900/
