EmployerSlug,Country,State,City,RegionLabel,LocationName,LocationType,Onsite,Hybrid,Remote,TotalPostings,SourceKind,SourceUrl,SourceRetrievedOn,IsFeatured,Notes
leidos,US,AL,Huntsville,,Leidos Huntsville,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AL,Anniston,,Leidos Anniston,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AL,Fort Novosel,,Leidos Fort Novosel,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AL,Hazel Green,,Leidos Hazel Green,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AK,Fairbanks,,Leidos Fairbanks,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AK,JBER,,Leidos JBER,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AK,Anchorage,,Leidos Anchorage,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AK,Fort Greely,,Leidos Fort Greely,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AZ,Tucson,,Leidos Tucson,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AZ,Phoenix,,Leidos Phoenix,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AZ,Sierra Vista,,Leidos Sierra Vista,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AZ,Marana,,Leidos Marana,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AZ,Chandler,,Leidos Chandler,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,AZ,Glendale,,Leidos Glendale,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,San Diego,,Leidos San Diego,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Vista,,Leidos Vista,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Barstow,,Leidos Barstow,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,El Segundo,,Leidos El Segundo,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Los Angeles,,Leidos Los Angeles,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Ridgecrest,,Leidos Ridgecrest,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Seaside,,Leidos Seaside,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Fairfield,,Leidos Fairfield,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Oxnard,,Leidos Oxnard,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Twentynine Palms,,Leidos Twentynine Palms,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Fremont,,Leidos Fremont,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Lompoc,,Leidos Lompoc,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Marysville,,Leidos Marysville,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Norco,,Leidos Norco,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Oakland,,Leidos Oakland,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Oceanside,,Leidos Oceanside,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Palmdale,,Leidos Palmdale,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Rancho Cordova,,Leidos Rancho Cordova,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Sacramento,,Leidos Sacramento,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,San Francisco,,Leidos San Francisco,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,San Jose,,Leidos San Jose,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CA,Santa Ana,,Leidos Santa Ana,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Colorado Springs,,Leidos Colorado Springs,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Aurora,,Leidos Aurora,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Denver,,Leidos Denver,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Englewood,,Leidos Englewood,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Boulder,,Leidos Boulder,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Fort Collins,,Leidos Fort Collins,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Pueblo,,Leidos Pueblo,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Centennial,,Leidos Centennial,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CO,Longmont,,Leidos Longmont,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CT,Hartford,,Leidos Hartford,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CT,Groton,,Leidos Groton,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,CT,Stamford,,Leidos Stamford,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,DC,Washington,,Leidos Washington,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,FL,Orlando,,Leidos Orlando,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,FL,Tampa,,Leidos Tampa,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
leidos,US,FL,Shalimar,,Leidos Shalimar,office,1,0,0,1,user_attested,,2026-08-25,N,"Leidos office/facility location. Footprint provided by maintainer 2026-08-25; Onsite=1 records attested presence, not a scraped opening total."
