Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
Lockheed Martin,Eightfold,Systems Engineer Sr - E3,Space,,"Littleton, CO",US (CONUS),Full-time,95900,178100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476658073
Lockheed Martin,Eightfold,Software Engineer Sr - E3,LM Aeronautics Co- Fort Worth,,"Fort Worth, TX",US (CONUS),Full-time,98100,182100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476621284
Lockheed Martin,Eightfold,Software Engineering Asc Manager (Spacecraft Test Systems),Space,,"Littleton, CO",US (CONUS),Full-time,135700,251900,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476208037
Lockheed Martin,Eightfold,SATCOM System Integration and Test Systems Engineering SME - Principle,Space,,"El Segundo, CA",US (CONUS),Full-time,178500,331500,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476207532
Lockheed Martin,Eightfold,"Electronic Equipment Specialist, 1st Class - 1st Shift",RMS Manufacturing,,"Moorestown, NJ",US (CONUS),Full-time,33.58,33.58,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476290632
Lockheed Martin,Eightfold,Electronic Test Technician - Second Shift,RMS Manufacturing,,"Moorestown, NJ",US (CONUS),Full-time,42.38,42.38,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476290644
Lockheed Martin,Eightfold,Electronic Test Technician - First Shift,RMS Manufacturing,,"Moorestown, NJ",US (CONUS),Full-time,42.38,42.38,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476290648
Lockheed Martin,Eightfold,Electronic Test Technician - 3rd Shift,RMS Manufacturing,,"Moorestown, NJ",US (CONUS),Full-time,42.38,42.38,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476210087
Lockheed Martin,Eightfold,"Electronic Equipment Specialist, 1st Class - 3rd Shift",RMS Manufacturing,,"Moorestown, NJ",US (CONUS),Full-time,33.58,33.58,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476290601
Lockheed Martin,Eightfold,Manufacturing Microcircuit Specialist - 1st Shift,RMS Manufacturing,,"Moorestown, NJ",US (CONUS),Full-time,37.3,37.3,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476318342
Lockheed Martin,Eightfold,"Director, Navy C6ISR Programs, San Diego Field Office",Corporate Headquarters,,"San Diego, CA",US (CONUS),Full-time,195000,350000,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476555131
Lockheed Martin,Eightfold,"Director, US Army Fires Portfolio",Corporate Headquarters,,"Arlington, VA",US (CONUS),Full-time,195000,350000,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476615529
Lockheed Martin,Eightfold,Data Scientist Senior,MFC-Primary,,"Grand Prairie, TX",US (CONUS),Full-time,98100,182100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476320468
Lockheed Martin,Eightfold,Electronics Engineer Stf - E4,LM Aeronautics Co- Fort Worth,,"Fort Worth, TX",US (CONUS),Full-time,104900,194700,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476620812
Lockheed Martin,Eightfold,Overhead Test/Implement Functional Lead,Enterprise Business Services,,"Littleton, CO",US/Remote,Full-time,118000,219100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476228055
Lockheed Martin,Eightfold,Systems Engineer Stf,Space,,"Colorado Springs, CO",US (CONUS),Full-time,131100,243500,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476614253
Lockheed Martin,Eightfold,2nd shift - Technician - Product Test Specialist,RMS Manufacturing,,"Owego, NY",US (CONUS),Full-time,50300,93300,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476507636
Lockheed Martin,Eightfold,Technician - Product Test Specialist,RMS Manufacturing,,"Owego, NY",US (CONUS),Full-time,50300,93300,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476551405
Lockheed Martin,Eightfold,Systems Integration Analyst Sr - E3,RMS Core,,"Liverpool, NY",US (CONUS),Full-time,85300,158300,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476547472
Lockheed Martin,Eightfold,Operations Engineer Senior - Level 3,LM Aeronautics Co- Fort Worth,,"Clarksburg, WV",US (CONUS),Full-time,76700,142500,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476586666
Lockheed Martin,Eightfold,Deputy Lead Software Engineer,RMS Core,,"Moorestown, NJ",US (CONUS),Full-time,0,0,per-hour-wage,,https://lockheedmartin.eightfold.ai/careers/job/996476510086
Lockheed Martin,Eightfold,Systems Engineer Sr - E3,RMS Core,,"Liverpool, NY",US (CONUS),Full-time,85300,158300,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476205401
Lockheed Martin,Eightfold,Software Engineer - E2,RMS Core,,"Liverpool, NY",US (CONUS),Full-time,81100,150500,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476218517
Lockheed Martin,Eightfold,Satellite Mission Engr Sr Stf - E5,Space LMOS,,"White Sands Missile Range, NM",US (CONUS),Full-time,129000,239600,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476541168
Lockheed Martin,Eightfold,Hardware Engineer Stf,Space,,"Bethesda, MD",US (CONUS),Full-time,118000,219100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476557658
Lockheed Martin,Eightfold,Systems Engineer Sr - E3,Space LMOS,,"Boulder, CO",US (CONUS),Full-time,95900,178100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476622635
Lockheed Martin,Eightfold,Procurement Rep - E2,MFC-SOFGLSS-LMOS,,"Lexington, KY",US (CONUS),Full-time,53900,100100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476616937
Lockheed Martin,Eightfold,Systems Engineer Sr - E3,Space LMOS,,"Boulder, CO",US (CONUS),Full-time,95900,178100,per-year-salary,,https://lockheedmartin.eightfold.ai/careers/job/996476622030
