"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Microsoft","Eightfold","Consulting Project Manager - CTJ - Poly","Consulting Project Management","","Annapolis Junction, MD","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556641773","cleared","top secret"
"Microsoft","Eightfold","Sr Exchange Cloud Solution Architecture-CTJ-Top Secret","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556916221","cleared","top secret"
"Microsoft","Eightfold","Sr Cloud Solution Architecture-CTJ-Top Secret/SCI","Cloud Solution Architecture","","Reston, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556952145","cleared","top secret"
"Microsoft","Eightfold","Sr Enterprise Cloud Solution Architect-CTJ-Top Secret","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982605","cleared","top secret"
"Microsoft","Eightfold","Cloud Solution Architect-Copilot & Agent-CTJ-Top Secret/SCI","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556952705","cleared","top secret"
"Microsoft","Eightfold","DevSecOps Technology Consultant-CTJ-Top Secret/SCI","Technology Consulting","","Springfield, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556978400","cleared","top secret"
"Microsoft","Eightfold","DevSecOps Solution Architecture-Top Secret/SCI","Solution Architecture","","Springfield, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556978414","cleared","top secret"
"Microsoft","Eightfold","Software Development Consultant - CTJ - TS/SCI","Technology Consulting","","Springfield, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556857973","cleared","ts/sci"
"Microsoft","Eightfold","Sr. Cloud Solution Architecture-Cloud & AI Data -CTJ-Top Secret","Cloud Solution Architecture","","Birmingham, AL","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982612","cleared","top secret"
"Microsoft","Eightfold","Networking Technology Consultant-CTJ-TS/SCI","Technology Consulting","","Springfield, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556865042","cleared","ts/sci"
"Microsoft","Eightfold","Senior Networking Project Manager - CTJ - TS/SCI","Consulting Project Management","","Springfield, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556868750","cleared","ts/sci"
"Microsoft","Eightfold","Principal Network Solution Architecture-CTJ-TS/SCI","Solution Architecture","","Springfield, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556824119","cleared","ts/sci"
"Microsoft","Eightfold","Sr. Software Development Technology Consultant-CTJ-Top Secret/SCI","Technology Consulting","","Reston, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556978413","cleared","top secret"
"Microsoft","Eightfold","Senior Cloud Solution Architect - CTJ - TS/SCI","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556950857","cleared","ts/sci"
"Microsoft","Eightfold","Critical Environment Technician - CTJ - Poly","Critical Environment Ops","","Fauquier County, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556864979","cleared","top secret"
"Microsoft","Eightfold","Senior Software Engineer - CTJ - Poly","Software Engineering","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556855969","cleared","top secret"
"Microsoft","Eightfold","Industry Advisor - CTJ - Secret","Industry Advisory","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556979728","cleared","security clearance"
"Microsoft","Eightfold","Software Engineer II - CTJ - Poly","Software Engineering","","Reston, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556938788","cleared","top secret"
"Microsoft","Eightfold","Critical Environment Technician - CTJ - Poly","Critical Environment Ops","","Annapolis Junction, MD","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556938957","cleared","top secret"
"Microsoft","Eightfold","Senior Data Center Logistics Technician - CTJ - Poly","Logistics Technician","","San Antonio, TX","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556876308","cleared","top secret"
"Microsoft","Eightfold","Data Center Technician - CTJ - Top Secret","Data Center Technicians","","Cheyenne, WY","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556957479","cleared","top secret"
"Microsoft","Eightfold","App Innovation Senior Cloud Solution Architect - CTJ - Top Secret","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982609","cleared","top secret"
"Microsoft","Eightfold","Sr Solution Engineer, Cloud & AI Infrastructure - CTJ - Top Secret","Solution Engineering","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556943774","cleared","top secret"
"Microsoft","Eightfold","Principal Cloud Solution Architect - CTJ - TS/SCI","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556950834","cleared","ts/sci"
"Microsoft","Eightfold","Sr. Software Engineer - CTJ - Secret","Software Engineering","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556942025","cleared","security clearance"
"Microsoft","Eightfold","Regional Security Operations Manager - CTJ - Poly","Security","","Annapolis Junction, MD","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556979169","cleared","top secret"
"Microsoft","Eightfold","Senior Software Engineer - CTJ - Poly","Software Engineering","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556986766","cleared","top secret"
"Microsoft","Eightfold","Software Engineer II - CTJ - Poly","Software Engineering","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556971567","cleared","top secret"
"Microsoft","Eightfold","Software Engineer II - CTJ -  Poly","Software Engineering","","Reston, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982727","cleared","top secret"
"Microsoft","Eightfold","Logistics Technician - CTJ - Top Secret","Logistics Technician","","Cheyenne, WY","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556874606","cleared","top secret"
"Microsoft","Eightfold","Principal Site Reliability Engineering Manager - CTJ -Secret","Site Reliability Engineering","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556981933","cleared","security clearance"
"Microsoft","Eightfold","Cloud Solution Architect Manager - CTJ - Top Secret","Cloud Solution Architecture","","Washington D.C., District of Columbia","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556978510","cleared","top secret"
"Microsoft","Eightfold","Senior Site Reliability Engineer - CTJ - Poly","Site Reliability Engineering","","Reston, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982129","cleared","top secret"
"Microsoft","Eightfold","Software Engineer - CTJ - Poly","Software Engineering","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556859432","cleared","top secret"
"Microsoft","Eightfold","Technology Consultant M365 - CTJ -POLY","Technology Consulting","","Reston, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556864698","cleared","top secret"
"Microsoft","Eightfold","Site Reliability Engineering- CTJ- Poly","Site Reliability Engineering","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556843673","cleared","top secret"
"Microsoft","Eightfold","Site Reliability Engineer II - CTJ - Secret","Site Reliability Engineering","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556981939","cleared","security clearance"
"Microsoft","Eightfold","Logistics Technician - CTJ - Top Secret","Logistics Technician","","Manassas, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556983019","cleared","top secret"
