EmployerSlug,Country,State,City,OnsitePostings,HybridPostings,RemotePostings,TotalPostings,SnapshotDate,SourceUrl
"collins-aerospace","US","IA","Cedar Rapids","170","20","2","199","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","TX","Richardson","41","10","0","51","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","PR","Santa Isabel","26","12","8","46","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","PR","Aguadilla","3","42","0","45","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CT","Windsor Locks","29","13","1","43","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","MA","Marlborough","32","6","0","38","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","FL","Melbourne","24","0","0","28","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IN","Fort Wayne","25","2","0","27","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","FL","Largo","24","1","0","25","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IL","Rockford","15","6","0","22","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","El Segundo","21","0","0","21","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","ND","Jamestown","20","0","0","20","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","AZ","Phoenix","16","3","1","20","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","VA","Sterling","19","0","1","20","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","MN","Burnsville","15","1","0","18","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","AL","Foley","18","0","0","18","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NE","York","17","0","0","17","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NC","Wilson","16","0","0","16","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","Fullerton","14","1","0","15","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CO","Aurora","14","0","0","14","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NC","Winston-Salem","12","0","0","14","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","Fairfield","12","0","0","12","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","MD","Fulton","11","0","1","12","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NC","Charlotte","0","10","1","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","KS","Lenexa","10","0","0","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NY","Rome","11","0","0","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IA","Coralville","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","San Jose","8","1","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","WA","Spokane","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","UT","West Valley City","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NY","Binghamton","8","0","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CT","Cheshire","8","0","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","OH","Troy","6","2","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IA","Des Moines","0","0","7","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","FL","Jacksonville","6","1","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","FL","Opa Locka","7","0","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","TX","San Marcos","7","0","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","WA","Everett","6","0","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","MT","Great Falls","6","0","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IA","Manchester","6","0","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IA","West Des Moines","6","0","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","Anaheim","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IA","Carroll","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","TX","Mckinney","3","2","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NC","Morrisville","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","TX","Austin","0","0","4","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","IA","Bellevue","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","Chula Vista","3","1","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CO","Colorado Springs","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NH","Durham","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","AL","Huntsville","2","2","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","FL","Miramar","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","NE","Omaha","3","1","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CO","Pueblo","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","Santa Fe Springs","3","1","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","WV","Union","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","MD","Annapolis","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","CA","Carlsbad","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","VA","Dulles","2","1","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"collins-aerospace","US","TX","Haltom City","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
