EmployerSlug,Country,State,City,OnsitePostings,HybridPostings,RemotePostings,TotalPostings,SnapshotDate,SourceUrl
"pratt-whitney","US","CT","East Hartford","127","16","4","149","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","GA","Midland","72","0","0","72","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","ME","North Berwick","48","1","0","49","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CT","Middletown","43","0","0","43","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","NC","Asheville","37","0","0","37","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","NY","Clayville","37","0","0","37","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","FL","Jupiter","31","0","0","31","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CT","Hartford","1","1","12","14","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","WV","Bridgeport","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","MI","Holt","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","TX","Irving","7","1","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","PA","Middletown","8","0","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","OK","Oklahoma City","7","0","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","AR","Springdale","7","0","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","MI","Lansing","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","OK","Tinker Afb","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CA","Carlsbad","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","TX","Grand Prairie","4","0","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","PR","Aguadilla","0","3","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","GA","Atlanta","1","0","2","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","NY","Middletown","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","MA","Boston","0","0","2","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","FL","Jacksonville","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","OH","Miamisburg","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","VT","South Burlington","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","FL","Tallahassee","0","0","2","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","TX","Wichita Falls","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","NY","Albany","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","TX","Austin","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","VA","Charlottesville","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","NC","Cherry Point","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","OH","Cincinnati","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CA","Cypress","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CA","Edwards Afb","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CT","Glastonbury","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","PA","Harrisburg","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","NV","Nellis Afb","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","MD","Patuxent River","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","CA","Sacramento","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","OR","Salem","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","PR","San Juan","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"pratt-whitney","US","OH","Wright-Patterson Afb","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
