EmployerSlug,Country,State,City,OnsitePostings,HybridPostings,RemotePostings,TotalPostings,SnapshotDate,SourceUrl
"raytheon","US","AZ","Tucson","500","36","0","540","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Tewksbury","171","32","0","203","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Andover","165","13","0","178","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Mckinney","114","21","0","137","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","AL","Huntsville","85","5","0","92","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Marlborough","89","3","0","92","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CO","Aurora","69","5","0","74","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Woburn","65","6","0","71","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","Goleta","67","3","0","70","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","El Segundo","59","0","0","59","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","IN","Fort Wayne","25","0","0","25","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Plano","22","0","0","22","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Richardson","21","1","0","22","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","RI","Portsmouth","17","1","0","18","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Dulles","16","0","0","16","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","PA","State College","16","0","0","16","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Westford","13","0","0","13","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CO","Buckley Sfb","12","0","0","12","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Boston","0","0","11","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MS","Forest","9","2","0","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NH","Pelham","11","0","0","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","AZ","Phoenix","1","0","9","10","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Chesapeake","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NM","Farmington","9","0","0","9","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Austin","0","1","7","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","San Diego","8","0","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","GA","Atlanta","7","0","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","El Paso","7","0","0","7","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","AR","Camden","6","0","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MD","Columbia","6","0","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","Fullerton","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MS","Pascagoula","5","0","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CO","Colorado Springs","3","1","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","IN","Indianapolis","3","1","0","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","AL","Montgomery","0","0","4","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Richmond","0","0","4","4","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Alexandria","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Fort Bliss","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Freer","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MD","Ft George G Meade","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","OK","Lawton","2","1","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","Lompoc","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NH","Manchester","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Springfield","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NM","White Sands","3","0","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MD","Andrews Afb","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Arlington","1","1","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","KY","Louisville","1","1","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NJ","Moorestown","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","Sacramento","0","0","2","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","San Miguel","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","GA","Warner Robins","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","ME","Bath","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","Beale Afb","0","1","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Cambridge","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","PA","Chambersburg","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Chantilly","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NC","Charlotte","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","TX","Dallas","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CT","East Hartford","0","1","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","Edwards Afb","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CA","El Dorado Hills","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CT","Farmington","0","1","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","KY","Fort Campbell","0","1","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CT","Hartford","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CO","Lafayette","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","FL","Largo","0","1","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","OK","Mcalester","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","NH","Merrimack","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","New Kent","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","VA","Newport News","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","CO","Peterson Afb","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"raytheon","US","MA","Pittsfield","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
