EmployerSlug,Country,State,City,OnsitePostings,HybridPostings,RemotePostings,TotalPostings,SnapshotDate,SourceUrl
"rtx-corporate","US","CT","Farmington","2","18","0","24","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","TX","Richardson","4","16","0","20","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","VA","Arlington","12","7","0","19","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","MA","Cambridge","14","4","0","18","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","TX","Austin","0","0","9","11","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","CT","East Hartford","6","4","0","10","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","CT","Hartford","0","0","9","10","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","RI","Middletown","9","1","0","10","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","MD","Columbia","7","1","0","8","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","MA","Boston","0","0","6","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","IA","Cedar Rapids","0","5","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","NC","Raleigh","0","0","6","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","AZ","Tucson","2","4","0","6","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","MA","Andover","4","1","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","TX","Dallas","0","5","0","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","CA","Sacramento","0","1","4","5","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","CT","East Granby","2","1","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","TX","Greenville","0","3","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","IL","Rockford","0","3","0","3","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","CA","Goleta","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","HI","Honolulu","0","1","1","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","AZ","Phoenix","0","0","2","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","MA","Tewksbury","2","0","0","2","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","NY","Albany","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","GA","Atlanta","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","CO","Aurora","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","ND","Bismarck","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","VA","Chesapeake","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","VA","Dulles","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","TX","El Paso","1","0","0","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","TN","Nashville","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","OR","Salem","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","IL","Springfield","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","FL","Tallahassee","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
"rtx-corporate","US","DC","Washington Dc","0","0","1","1","2026-07-10","https://careers.rtx.com/global/en/search-results"
