LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
7,Anchorage,AK,Alaska,matched_city_as_county,county,Alaska,Anchorage ,2005,302,25,56,151,257,44,0,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
8,Huntsville,AL,Madison,matched_county,county,Alabama,Madison,2005,364,46,90,133,209,134,21,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
9,Mobile,AL,Mobile,matched_county,county,Alabama,Mobile,2005,342,46,84,154,196,139,6,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
89,Camden,AR,Ouachita,unmatched,,,,2005,,,,,,,,,,,
10,Little Rock,AR,Pulaski,matched_county,county,Arkansas,Pulaski,2005,365,63,101,169,70,251,40,4,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
12,Phoenix,AZ,Maricopa,matched_county,county,Arizona,Maricopa,2005,365,79,126,177,47,229,78,11,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
69,Sierra Vista,AZ,Cochise,matched_county,county,Arizona,Cochise,2005,355,47,77,108,219,132,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
11,Tucson,AZ,Pima,matched_county,county,Arizona,Pima,2005,365,51,84,154,180,167,16,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
14,Costa Mesa,CA,Orange,matched_county,county,California,Orange,2005,365,61,94,157,81,256,27,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
91,Eureka,CA,Humboldt,matched_county,county,California,Humboldt,2005,37,32,69,93,26,11,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
71,Irvine,CA,Orange,matched_county,county,California,Orange,2005,365,61,94,157,81,256,27,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
73,San Diego,CA,San Diego,matched_county,county,California,San Diego,2005,365,69,111,159,59,251,50,5,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
13,Yuba City,CA,Sutter,matched_county,county,California,Sutter,2005,365,53,93,143,171,166,28,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
15,Colorado Springs,CO,El Paso,matched_county,county,Colorado,El Paso,2005,365,45,77,151,236,115,13,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
85,Pueblo,CO,Pueblo,matched_county,county,Colorado,Pueblo,2005,124,37,53,67,97,27,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
16,Bridgeport,CT,Fairfield,matched_county,county,Connecticut,Fairfield,2005,365,44,99,205,227,102,20,12,4,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
17,Wilmington,DE,New Castle,matched_county,county,Delaware,New Castle,2005,365,61,97,200,91,240,27,7,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
19,Malabar,FL,Brevard,matched_county,county,Florida,Brevard,2005,365,39,64,126,289,69,7,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
72,Orlando,FL,Orange,matched_county,county,Florida,Orange,2005,365,54,77,182,128,223,10,4,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
18,Pensacola,FL,Escambia,matched_county,county,Florida,Escambia,2005,364,60,100,154,73,257,33,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
20,Atlanta,GA,Fulton,matched_county,county,Georgia,Fulton,2005,365,64,105,209,45,277,38,4,1,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
77,Marietta,GA,Cobb,matched_county,county,Georgia,Cobb,2005,286,56,100,154,116,143,26,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
21,Honolulu,HI,Honolulu,matched_county,county,Hawaii,Honolulu,2005,365,26,43,174,343,19,2,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
83,Carroll,IA,Carroll,unmatched,,,,2005,,,,,,,,,,,
82,Decorah,IA,Winneshiek,unmatched,,,,2005,,,,,,,,,,,
22,Des Moines,IA,Polk,matched_county,county,Iowa,Polk,2005,365,52,77,134,170,185,10,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
24,Boise,ID,Ada,matched_county,county,Idaho,Ada,2005,365,44,74,147,226,131,8,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
23,Kuna,ID,Ada,matched_county,county,Idaho,Ada,2005,365,44,74,147,226,131,8,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
