LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,SourceDistanceMiles,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
7,Anchorage,AK,Alaska,matched_city_as_county,county,Alaska,Anchorage ,,2025,365,26,61,110,289,75,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
8,Huntsville,AL,Madison,matched_county,county,Alabama,Madison,,2025,365,42,57,78,263,102,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
9,Mobile,AL,Mobile,matched_county,county,Alabama,Mobile,,2025,363,43,55,80,260,103,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
89,Camden,AR,Ouachita,matched_nearest_county,nearest_county,Arkansas,Union County,31.2,2025,122,52,62,73,51,71,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
10,Little Rock,AR,Pulaski,matched_county,county,Arkansas,Pulaski,,2025,365,55,69,138,114,247,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
12,Phoenix,AZ,Maricopa,matched_county,county,Arizona,Maricopa,,2025,365,73,101,366,32,295,32,3,1,2,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
69,Sierra Vista,AZ,Cochise,matched_county,county,Arizona,Cochise,,2025,365,45,71,328,255,106,2,1,0,1,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
11,Tucson,AZ,Pima,matched_county,county,Arizona,Pima,,2025,365,54,80,357,123,234,3,3,1,1,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
14,Costa Mesa,CA,Orange,matched_county,county,California,Orange,,2025,365,53,79,159,138,214,11,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
91,Eureka,CA,Humboldt,matched_county,county,California,Humboldt,,2025,365,38,55,87,285,80,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
71,Irvine,CA,Orange,matched_county,county,California,Orange,,2025,365,53,79,159,138,214,11,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
73,San Diego,CA,San Diego,matched_county,county,California,San Diego,,2025,365,67,100,161,64,268,26,7,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
13,Yuba City,CA,Sutter,matched_county,county,California,Sutter,,2025,364,47,64,100,230,134,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
15,Colorado Springs,CO,El Paso,matched_county,county,Colorado,El Paso,,2025,365,46,67,97,249,116,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
85,Pueblo,CO,Pueblo,matched_county,county,Colorado,Pueblo,,2025,365,45,64,101,268,96,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
