"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US10doug006","01"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","01","99","99","    0.90"," ","R","13","     6.9"," ","P","14","     2.6"," ","P","14","     1.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.50"," ","R","13","    0.98"," ","R","13","    1.25"," ","R","13","    0.46"," ","R","13","    0.69"," ","R","13","    1.05"," ","R","13","    1.28"," ","R","13","    0.65"," ","R","13","    1.16"," ","R","13"
"US10doug006","02"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","02","99","99","    1.10"," ","R","13","     7.5"," ","P","14","     2.5"," ","P","14","     1.5"," ","P","14","     0.5"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.75"," ","R","13","    1.02"," ","R","13","    1.31"," ","R","13","    0.64"," ","R","13","    0.92"," ","R","13","    1.12"," ","R","13","    1.43"," ","R","13","    0.85"," ","R","13","    1.19"," ","R","13"
"US10doug006","03"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","03","99","99","    1.80"," ","R","11","     9.2"," ","P","14","     4.8"," ","P","14","     2.7"," ","P","14","     1.0"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.81"," ","R","11","    1.71"," ","R","11","    2.56"," ","R","11","    0.76"," ","R","11","    1.33"," ","R","11","    2.11"," ","R","11","    2.87"," ","R","11","    0.89"," ","R","11","    2.22"," ","R","11"
"US10doug006","04"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","04","99","99","    3.56"," ","R","14","    10.9"," ","P","14","     6.4"," ","P","14","     4.2"," ","P","14","     2.5"," ","P","14","     1.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    2.63"," ","R","14","    3.67"," ","R","14","    4.34"," ","R","14","    2.45"," ","R","14","    3.30"," ","R","14","    4.02"," ","R","14","    4.56"," ","R","14","    2.94"," ","R","14","    4.11"," ","R","14"
"US10doug006","05"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","05","99","99","    4.92"," ","R","14","    13.5"," ","P","14","     8.9"," ","P","14","     5.5"," ","P","14","     3.2"," ","P","14","     1.4"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    3.24"," ","R","14","    4.94"," ","R","14","    6.04"," ","R","14","    3.14"," ","R","14","    4.28"," ","R","14","    5.41"," ","R","14","    6.29"," ","R","14","    3.95"," ","R","14","    5.54"," ","R","14"
"US10doug006","06"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","06","99","99","    4.70"," ","R","13","    11.7"," ","P","14","     7.4"," ","P","14","     5.1"," ","P","14","     3.2"," ","P","14","     1.9"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","    2.87"," ","R","13","    3.90"," ","R","13","    6.66"," ","R","13","    2.47"," ","R","13","    3.51"," ","R","13","    4.72"," ","R","13","    7.43"," ","R","13","    3.06"," ","R","13","    5.14"," ","R","13"
"US10doug006","07"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","07","99","99","    3.49"," ","R","12","     8.6"," ","P","15","     5.0"," ","P","15","     3.8"," ","P","15","     2.3"," ","P","15","     0.7"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    2.55"," ","R","12","    3.06"," ","R","12","    4.06"," ","R","12","    2.44"," ","R","12","    2.87"," ","R","12","    3.56"," ","R","12","    4.36"," ","R","12","    2.81"," ","R","12","    3.85"," ","R","12"
"US10doug006","08"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","08","99","99","    4.30"," ","R","12","    10.7"," ","P","15","     7.1"," ","P","15","     4.9"," ","P","15","     3.4"," ","P","15","     1.6"," ","P","15","     0.6"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","    1.58"," ","R","12","    3.37"," ","R","12","    6.80"," ","R","12","    1.32"," ","R","12","    2.63"," ","R","12","    3.75"," ","R","12","    7.56"," ","R","12","    1.94"," ","R","12","    5.83"," ","R","12"
"US10doug006","09"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","09","99","99","    3.07"," ","R","14","     9.5"," ","P","15","     5.6"," ","P","15","     4.1"," ","P","15","     2.5"," ","P","15","     1.1"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    1.81"," ","R","14","    2.90"," ","R","14","    4.14"," ","R","14","    1.73"," ","R","14","    2.25"," ","R","14","    3.42"," ","R","14","    4.40"," ","R","14","    2.05"," ","R","14","    3.77"," ","R","14"
"US10doug006","10"," 41.2658"," -95.9927"," 366.1","OMAHA 2.9 W, NE US","10","99","99","    2.42"," ","R","14","    10.0"," ","P","15","     5.4"," ","P","15","     3.3"," ","P","15","     2.0"," ","P","15","     0.8"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    1.13"," ","R","14","    1.97"," ","R","14","    3.62"," ","R","14","    1.07"," ","R","14","    1.58"," ","R","14","    2.44"," ","R","14","    4.05"," ","R","14","    1.53"," ","R","14","    3.02"," ","R","14"
