"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US10hall001","01"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","01","99","99","    0.56"," ","R","10","     3.7"," ","P","13","     1.2"," ","P","13","     0.5"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.22"," ","R","10","    0.42"," ","R","10","    0.81"," ","R","10","    0.16"," ","R","10","    0.33"," ","R","10","    0.58"," ","R","10","    0.89"," ","R","10","    0.27"," ","R","10","    0.74"," ","R","10"
"US10hall001","02"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","02","99","99","    0.73"," ","R","11","     5.4"," ","P","12","     1.9"," ","P","12","     0.9"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    0.35"," ","R","11","    0.73"," ","R","11","    1.17"," ","R","11","    0.28"," ","R","11","    0.56"," ","R","11","    0.88"," ","R","11","    1.19"," ","R","11","    0.40"," ","R","11","    0.99"," ","R","11"
"US10hall001","03"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","03","99","99","    1.42"," ","R","13","     7.2"," ","P","14","     3.9"," ","P","14","     1.9"," ","P","14","     0.9"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.66"," ","R","13","    1.13"," ","R","13","    1.91"," ","R","13","    0.55"," ","R","13","    0.91"," ","R","13","    1.50"," ","R","13","    2.05"," ","R","13","    0.82"," ","R","13","    1.67"," ","R","13"
"US10hall001","04"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","04","99","99","    2.95"," ","R","13","     9.4"," ","P","14","     5.1"," ","P","14","     3.3"," ","P","14","     1.5"," ","P","14","     0.4"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.81"," ","R","13","    2.86"," ","R","13","    3.81"," ","R","13","    1.63"," ","R","13","    2.12"," ","R","13","    3.16"," ","R","13","    4.18"," ","R","13","    2.06"," ","R","13","    3.40"," ","R","13"
"US10hall001","05"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","05","99","99","    5.00"," ","R","13","    12.0"," ","P","15","     7.8"," ","P","15","     5.6"," ","P","15","     3.8"," ","P","15","     1.5"," ","P","15","     0.5"," ","P","15","     0.1"," ","P","15","     0.1"," ","P","15","    2.86"," ","R","13","    4.94"," ","R","13","    6.57"," ","R","13","    2.39"," ","R","13","    4.17"," ","R","13","    5.70"," ","R","13","    6.93"," ","R","13","    3.64"," ","R","13","    6.22"," ","R","13"
"US10hall001","06"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","06","99","99","    4.37"," ","R","13","    10.6"," ","P","15","     6.6"," ","P","15","     5.0"," ","P","15","     3.0"," ","P","15","     1.5"," ","P","15","     0.4"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    2.41"," ","R","13","    4.19"," ","R","13","    5.22"," ","R","13","    2.24"," ","R","13","    3.64"," ","R","13","    4.64"," ","R","13","    5.75"," ","R","13","    2.64"," ","R","13","    4.81"," ","R","13"
"US10hall001","07"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","07","99","99","    3.75"," ","R","12","     8.4"," ","P","16","     5.4"," ","P","16","     3.7"," ","P","16","     2.3"," ","P","16","     0.9"," ","P","16","     0.2"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","    2.12"," ","R","12","    3.66"," ","R","12","    4.67"," ","R","12","    2.00"," ","R","12","    2.74"," ","R","12","    4.23"," ","R","12","    5.04"," ","R","12","    2.47"," ","R","12","    4.38"," ","R","12"
"US10hall001","08"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","08","99","99","    3.39"," ","R","14","     8.3"," ","P","15","     5.5"," ","P","15","     4.0"," ","P","15","     2.8"," ","P","15","     1.0"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    2.03"," ","R","14","    2.89"," ","R","14","    4.62"," ","R","14","    1.51"," ","R","14","    2.60"," ","R","14","    3.48"," ","R","14","    4.89"," ","R","14","    2.38"," ","R","14","    3.92"," ","R","14"
"US10hall001","09"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","09","99","99","    2.02"," ","R","15","     6.8"," ","P","16","     4.5"," ","P","16","     2.9"," ","P","16","     1.5"," ","P","16","     0.2"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    1.09"," ","R","15","    1.57"," ","R","15","    2.72"," ","R","15","    0.98"," ","R","15","    1.47"," ","R","15","    2.34"," ","R","15","    2.86"," ","R","15","    1.24"," ","R","15","    2.47"," ","R","15"
"US10hall001","10"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","10","99","99","    2.28"," ","R","12","     6.8"," ","P","13","     4.1"," ","P","13","     2.7"," ","P","13","     1.6"," ","P","13","     0.8"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.36"," ","R","12","    1.99"," ","R","12","    2.99"," ","R","12","    1.17"," ","R","12","    1.91"," ","R","12","    2.13"," ","R","12","    3.26"," ","R","12","    1.67"," ","R","12","    2.33"," ","R","12"
"US10hall001","11"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","11","99","99","    1.16"," ","R","13","     3.1"," ","P","14","     1.9"," ","P","14","     1.0"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.41"," ","R","13","    0.99"," ","R","13","    1.77"," ","R","13","    0.38"," ","R","13","    0.70"," ","R","13","    1.30"," ","R","13","    1.83"," ","R","13","    0.60"," ","R","13","    1.49"," ","R","13"
"US10hall001","12"," 40.9294"," -98.3767"," 570.9","GRAND ISLAND 1.8 W, NE US","12","99","99","    0.95"," ","R","12","     5.0"," ","P","13","     2.3"," ","P","13","     1.2"," ","P","13","     0.8"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.25"," ","R","12","    0.71"," ","R","12","    1.37"," ","R","12","    0.20"," ","R","12","    0.44"," ","R","12","    0.91"," ","R","12","    1.64"," ","R","12","    0.38"," ","R","12","    0.98"," ","R","12"
