"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1ALMB0004","01"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","01","99","99","    5.99"," ","R","10","    10.1"," ","P","12","     6.7"," ","P","12","     4.6"," ","P","12","     3.0"," ","P","12","     1.4"," ","P","12","     0.5"," ","P","12","     0.2"," ","P","12","     0.2"," ","P","12","    3.43"," ","R","10","    4.56"," ","R","10","    7.20"," ","R","10","    3.24"," ","R","10","    3.80"," ","R","10","    5.54"," ","R","10","    7.72"," ","R","10","    3.71"," ","R","10","    6.09"," ","R","10"
"US1ALMB0004","02"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","02","99","99","    4.76"," ","R","12","    10.2"," ","P","12","     6.6"," ","P","12","     5.2"," ","P","12","     3.5"," ","P","12","     1.5"," ","P","12","     0.4"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.88"," ","R","12","    4.36"," ","R","12","    6.38"," ","R","12","    2.50"," ","R","12","    3.25"," ","R","12","    4.69"," ","R","12","    6.74"," ","R","12","    3.11"," ","R","12","    4.84"," ","R","12"
"US1ALMB0004","03"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","03","99","99","    5.63"," ","R","12","     8.7"," ","P","12","     6.0"," ","P","12","     4.3"," ","P","12","     2.9"," ","P","12","     1.9"," ","P","12","     0.6"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","    3.25"," ","R","12","    5.24"," ","R","12","    8.68"," ","R","12","    2.83"," ","R","12","    4.57"," ","R","12","    5.91"," ","R","12","    9.30"," ","R","12","    3.94"," ","R","12","    6.44"," ","R","12"
"US1ALMB0004","04"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","04","99","99","    6.17"," ","R","12","     8.3"," ","P","12","     6.2"," ","P","12","     4.5"," ","P","12","     3.3"," ","P","12","     2.0"," ","P","12","     0.9"," ","P","12","     0.2"," ","P","12","     0.1"," ","P","12","    3.33"," ","R","12","    5.37"," ","R","12","    7.25"," ","R","12","    2.80"," ","R","12","    4.26"," ","R","12","    6.27"," ","R","12","    8.22"," ","R","12","    4.04"," ","R","12","    6.54"," ","R","12"
"US1ALMB0004","05"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","05","99","99","    5.89"," ","R","12","     8.7"," ","P","12","     6.3"," ","P","12","     4.6"," ","P","12","     3.4"," ","P","12","     2.5"," ","P","12","     1.0"," ","P","12","     0.4"," ","P","12","     0.0"," ","P","12","    2.85"," ","R","12","    5.06"," ","R","12","    7.69"," ","R","12","    2.72"," ","R","12","    4.76"," ","R","12","    5.65"," ","R","12","    8.64"," ","R","12","    3.86"," ","R","12","    6.44"," ","R","12"
"US1ALMB0004","06"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","06","99","99","    8.57"," ","R","12","    12.5"," ","P","12","     9.2"," ","P","12","     6.4"," ","P","12","     4.9"," ","P","12","     2.5"," ","P","12","     1.1"," ","P","12","     0.3"," ","P","12","     0.1"," ","P","12","    4.45"," ","R","12","    7.07"," ","R","12","   10.25"," ","R","12","    4.08"," ","R","12","    6.74"," ","R","12","    7.93"," ","R","12","   11.21"," ","R","12","    5.02"," ","R","12","    8.73"," ","R","12"
"US1ALMB0004","07"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","07","99","99","    7.03"," ","R","13","    15.4"," ","P","13","    10.6"," ","P","13","     7.9"," ","P","13","     5.7"," ","P","13","     2.6"," ","P","13","     0.9"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    5.29"," ","R","13","    6.52"," ","R","13","    8.08"," ","R","13","    5.02"," ","R","13","    6.23"," ","R","13","    7.10"," ","R","13","    8.29"," ","R","13","    5.70"," ","R","13","    7.63"," ","R","13"
"US1ALMB0004","08"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","08","99","99","    8.58"," ","R","12","    15.6"," ","P","13","    11.3"," ","P","13","     9.0"," ","P","13","     6.0"," ","P","13","     3.3"," ","P","13","     0.8"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    7.49"," ","R","12","    8.10"," ","R","12","    9.80"," ","R","12","    7.35"," ","R","12","    7.70"," ","R","12","    8.88"," ","R","12","   10.18"," ","R","12","    7.54"," ","R","12","    9.47"," ","R","12"
"US1ALMB0004","09"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","09","99","99","    5.51"," ","R","13","    10.2"," ","P","13","     6.8"," ","P","13","     5.0"," ","P","13","     3.0"," ","P","13","     2.1"," ","P","13","     0.7"," ","P","13","     0.2"," ","P","13","     0.2"," ","P","13","    3.75"," ","R","13","    5.02"," ","R","13","    6.45"," ","R","13","    3.38"," ","R","13","    4.26"," ","R","13","    5.37"," ","R","13","    7.56"," ","R","13","    3.96"," ","R","13","    5.73"," ","R","13"
"US1ALMB0004","10"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","10","99","99","    4.40"," ","R","12","     6.5"," ","P","13","     4.0"," ","P","13","     3.2"," ","P","13","     2.5"," ","P","13","     1.6"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.2"," ","P","13","    2.00"," ","R","12","    3.37"," ","R","12","    5.66"," ","R","12","    1.67"," ","R","12","    2.79"," ","R","12","    4.46"," ","R","12","    6.07"," ","R","12","    2.41"," ","R","12","    4.91"," ","R","12"
"US1ALMB0004","11"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","11","99","99","    5.21"," ","R","13","     6.7"," ","P","13","     4.5"," ","P","13","     3.3"," ","P","13","     2.5"," ","P","13","     1.2"," ","P","13","     0.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    2.56"," ","R","13","    4.19"," ","R","13","    6.88"," ","R","13","    2.39"," ","R","13","    3.01"," ","R","13","    5.34"," ","R","13","    8.19"," ","R","13","    2.78"," ","R","13","    5.91"," ","R","13"
"US1ALMB0004","12"," 30.6900"," -88.1300","  30.5","MOBILE 2.6 WNW, AL US","12","99","99","    5.62"," ","R","12","    10.5"," ","P","13","     7.0"," ","P","13","     5.4"," ","P","13","     4.2"," ","P","13","     2.5"," ","P","13","     0.8"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","    3.77"," ","R","12","    4.43"," ","R","12","    7.48"," ","R","12","    3.61"," ","R","12","    4.08"," ","R","12","    4.90"," ","R","12","    8.15"," ","R","12","    3.98"," ","R","12","    5.47"," ","R","12"
