"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ALMD0059","01"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","01","99","99","    5.62"," ","E","12"
"US1ALMD0059","02"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","02","99","99","    5.25"," ","E"," 9"
"US1ALMD0059","03"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","03","99","99","    5.58"," ","E"," 9"
"US1ALMD0059","04"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","04","99","99","    5.28"," ","E"," 9"
"US1ALMD0059","05"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","05","99","99","    4.68"," ","E","12"
"US1ALMD0059","06"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","06","99","99","    4.69"," ","E","12"
"US1ALMD0059","07"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","07","99","99","    4.42"," ","E","12"
"US1ALMD0059","08"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","08","99","99","    3.98"," ","E"," 9"
"US1ALMD0059","09"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","09","99","99","    3.87"," ","E","11"
"US1ALMD0059","10"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","10","99","99","    3.61"," ","E","13"
"US1ALMD0059","11"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","11","99","99","    4.53"," ","E","10"
"US1ALMD0059","12"," 34.7856"," -86.7114"," 221.0","HARVEST 5.3 SSE, AL US","12","99","99","    6.08"," ","E","10"
