"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1AZMR0075","01"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","01","99","99","    1.32"," ","R","11","     3.0"," ","P","11","     2.0"," ","P","11","     1.5"," ","P","11","     0.9"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.14"," ","R","11","    0.90"," ","R","11","    2.09"," ","R","11","    0.06"," ","R","11","    0.52"," ","R","11","    1.17"," ","R","11","    2.27"," ","R","11","    0.28"," ","R","11","    1.36"," ","R","11"
"US1AZMR0075","02"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","02","99","99","    1.05"," ","R","11","     3.0"," ","P","11","     1.9"," ","P","11","     1.2"," ","P","11","     0.3"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.26"," ","R","11","    0.84"," ","R","11","    1.36"," ","R","11","    0.09"," ","R","11","    0.59"," ","R","11","    1.14"," ","R","11","    1.40"," ","R","11","    0.45"," ","R","11","    1.25"," ","R","11"
"US1AZMR0075","03"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","03","99","99","    0.79"," ","R","11","     1.8"," ","P","11","     1.6"," ","P","11","     0.6"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.15"," ","R","11","    0.58"," ","R","11","    1.25"," ","R","11","    0.11"," ","R","11","    0.44"," ","R","11","    0.83"," ","R","11","    1.32"," ","R","11","    0.30"," ","R","11","    1.11"," ","R","11"
"US1AZMR0075","04"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","04","99","99","    0.24"," ","R","11","     0.7"," ","P","11","     0.5"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.07"," ","R","11","    0.42"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.16"," ","R","11","    0.44"," ","R","11","    0.00"," ","R","11","    0.30"," ","R","11"
"US1AZMR0075","05"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","05","99","99","    0.16"," ","R","11","     0.6"," ","P","11","     0.4"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.07"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.01"," ","R","11","    0.13"," ","R","11","    0.00"," ","R","11","    0.03"," ","R","11"
"US1AZMR0075","06"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","06","99","99","    0.04"," ","R","11","     0.4"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.02"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.03"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11"
"US1AZMR0075","07"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","07","99","99","    0.98"," ","R","11","     3.6"," ","P","11","     2.0"," ","P","11","     1.5"," ","P","11","     0.7"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.73"," ","R","11","    0.88"," ","R","11","    1.07"," ","R","11","    0.71"," ","R","11","    0.81"," ","R","11","    0.93"," ","R","11","    1.22"," ","R","11","    0.80"," ","R","11","    0.95"," ","R","11"
"US1AZMR0075","08"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","08","99","99","    0.87"," ","R","10","     3.9"," ","P","11","     2.3"," ","P","11","     1.1"," ","P","11","     0.6"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.21"," ","R","10","    0.65"," ","R","10","    1.25"," ","R","10","    0.18"," ","R","10","    0.40"," ","R","10","    1.00"," ","R","10","    1.28"," ","R","10","    0.31"," ","R","10","    1.19"," ","R","10"
"US1AZMR0075","09"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","09","99","99","    0.99"," ","R","10","     2.6"," ","P","11","     1.8"," ","P","11","     1.4"," ","P","11","     0.7"," ","P","11","     0.4"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","    0.20"," ","R","10","    0.69"," ","R","10","    1.35"," ","R","10","    0.10"," ","R","10","    0.38"," ","R","10","    1.05"," ","R","10","    1.44"," ","R","10","    0.30"," ","R","10","    1.24"," ","R","10"
"US1AZMR0075","10"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","10","99","99","    0.35"," ","R","11","     1.8"," ","P","12","     0.9"," ","P","12","     0.6"," ","P","12","     0.4"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    0.00"," ","R","11","    0.07"," ","R","11","    0.33"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.14"," ","R","11","    0.41"," ","R","11","    0.00"," ","R","11","    0.23"," ","R","11"
"US1AZMR0075","11"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","11","99","99","    0.63"," ","R","11","     1.8"," ","P","12","     1.2"," ","P","12","     0.8"," ","P","12","     0.6"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    0.00"," ","R","11","    0.32"," ","R","11","    0.74"," ","R","11","    0.00"," ","R","11","    0.22"," ","R","11","    0.47"," ","R","11","    0.99"," ","R","11","    0.06"," ","R","11","    0.57"," ","R","11"
"US1AZMR0075","12"," 33.3741","-111.8053"," 373.4","GILBERT 3.8 NW, AZ US","12","99","99","    0.81"," ","R","12","     3.5"," ","P","12","     2.6"," ","P","12","     1.5"," ","P","12","     0.6"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    0.38"," ","R","12","    0.52"," ","R","12","    1.33"," ","R","12","    0.29"," ","R","12","    0.42"," ","R","12","    1.14"," ","R","12","    1.39"," ","R","12","    0.40"," ","R","12","    1.24"," ","R","12"
