"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1AZMR0343","01"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","01","99","99","    1.12"," ","E"," 6"
"US1AZMR0343","02"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","02","99","99","    1.14"," ","E"," 5"
"US1AZMR0343","03"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","03","99","99","    1.00"," ","E"," 6"
"US1AZMR0343","04"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","04","99","99","    0.30"," ","E"," 8"
"US1AZMR0343","05"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","05","99","99","    0.17"," ","E"," 6"
"US1AZMR0343","06"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","06","99","99","    0.04"," ","E"," 7"
"US1AZMR0343","07"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","07","99","99","    1.10"," ","E"," 6"
"US1AZMR0343","08"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","08","99","99","    1.24"," ","E"," 6"
"US1AZMR0343","09"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","09","99","99","    0.73"," ","E"," 5"
"US1AZMR0343","10"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","10","99","99","    0.66"," ","E"," 8"
"US1AZMR0343","11"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","11","99","99","    0.63"," ","E"," 5"
"US1AZMR0343","12"," 33.4912","-111.9993"," 366.1","PHOENIX 5.4 NE, AZ US","12","99","99","    0.89"," ","E"," 4"
