"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1CAFR0014","01"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","01","99","99","    2.44"," ","E"," 4"
"US1CAFR0014","02"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","02","99","99","    1.79"," ","E"," 7"
"US1CAFR0014","03"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","03","99","99","    2.34"," ","E"," 8"
"US1CAFR0014","04"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","04","99","99","    0.96"," ","E"," 8"
"US1CAFR0014","05"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","05","99","99","    0.44"," ","E"," 8"
"US1CAFR0014","06"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","06","99","99","    0.16"," ","E"," 8"
"US1CAFR0014","07"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","07","99","99","    0.03"," ","E"," 8"
"US1CAFR0014","08"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","08","99","99","    0.01"," ","E"," 8"
"US1CAFR0014","09"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","09","99","99","    0.08"," ","E"," 8"
"US1CAFR0014","10"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","10","99","99","    0.59"," ","E"," 8"
"US1CAFR0014","11"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","11","99","99","    0.87"," ","E"," 7"
"US1CAFR0014","12"," 36.8053","-119.8222","  97.2","FRESNO 2.4 NW, CA US","12","99","99","    1.70"," ","E"," 5"
