"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1CAOR0019","01"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","01","99","99","    3.47"," ","R","11","     6.3"," ","P","11","     4.1"," ","P","11","     2.7"," ","P","11","     1.6"," ","P","11","     1.1"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.70"," ","R","11","    1.89"," ","R","11","    5.16"," ","R","11","    0.53"," ","R","11","    1.17"," ","R","11","    2.46"," ","R","11","    6.42"," ","R","11","    1.06"," ","R","11","    3.57"," ","R","11"
"US1CAOR0019","02"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","02","99","99","    3.69"," ","R","11","     6.2"," ","P","11","     4.0"," ","P","11","     2.8"," ","P","11","     1.5"," ","P","11","     0.6"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.92"," ","R","11","    2.73"," ","R","11","    5.38"," ","R","11","    0.78"," ","R","11","    1.79"," ","R","11","    3.86"," ","R","11","    5.60"," ","R","11","    1.49"," ","R","11","    4.17"," ","R","11"
"US1CAOR0019","03"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","03","99","99","    1.98"," ","R","11","     6.9"," ","P","11","     3.8"," ","P","11","     2.5"," ","P","11","     1.3"," ","P","11","     0.4"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.46"," ","R","11","    1.81"," ","R","11","    2.64"," ","R","11","    0.36"," ","R","11","    1.36"," ","R","11","    2.22"," ","R","11","    3.13"," ","R","11","    1.15"," ","R","11","    2.28"," ","R","11"
"US1CAOR0019","04"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","04","99","99","    0.88"," ","R","10","     4.2"," ","P","11","     2.0"," ","P","11","     0.9"," ","P","11","     0.5"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.10"," ","R","10","    0.47"," ","R","10","    1.34"," ","R","10","    0.09"," ","R","10","    0.32"," ","R","10","    0.69"," ","R","10","    1.49"," ","R","10","    0.24"," ","R","10","    0.84"," ","R","10"
"US1CAOR0019","05"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","05","99","99","    0.45"," ","R","10","     5.0"," ","P","11","     1.6"," ","P","11","     0.6"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.07"," ","R","10","    0.13"," ","R","10","    0.58"," ","R","10","    0.07"," ","R","10","    0.12"," ","R","10","    0.28"," ","R","10","    0.65"," ","R","10","    0.10"," ","R","10","    0.33"," ","R","10"
"US1CAOR0019","06"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","06","99","99","    0.09"," ","R","11","     2.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.02"," ","R","11","    0.02"," ","R","11","    0.13"," ","R","11","    0.02"," ","R","11","    0.02"," ","R","11","    0.04"," ","R","11","    0.15"," ","R","11","    0.02"," ","R","11","    0.07"," ","R","11"
"US1CAOR0019","07"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","07","99","99","    0.07"," ","R","11","     1.2"," ","P","11","     0.3"," ","P","11","     0.3"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.01"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.03"," ","R","11","    0.00"," ","R","11","    0.01"," ","R","11"
"US1CAOR0019","08"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","08","99","99","    0.01"," ","R","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.01"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11"
"US1CAOR0019","09"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","09","99","99","    0.14"," ","R","11","     1.5"," ","P","11","     0.5"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.00"," ","R","11","    0.01"," ","R","11","    0.15"," ","R","11","    0.00"," ","R","11","    0.00"," ","R","11","    0.02"," ","R","11","    0.17"," ","R","11","    0.00"," ","R","11","    0.04"," ","R","11"
"US1CAOR0019","10"," 33.5954","-117.6442"," 214.6","MISSION VIEJO 1.3 SSE, CA US","10","99","99","    1.11"," ","R","11","     3.9"," ","P","11","     1.6"," ","P","11","     0.7"," ","P","11","     0.4"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.01"," ","R","11","    0.36"," ","R","11","    1.16"," ","R","11","    0.00"," ","R","11","    0.23"," ","R","11","    0.45"," ","R","11","    1.34"," ","R","11","    0.15"," ","R","11","    0.54"," ","R","11"
