"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL"
"US1COBO0002","01"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","01","99","99","    0.63"," ","R","16","     4.6"," ","P","16","     1.9"," ","P","16","     0.8"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.30"," ","R","16","    0.61"," ","R","16","    0.87"," ","R","16","    0.28"," ","R","16","    0.46"," ","R","16","    0.68"," ","R","16","    0.97"," ","R","16","    0.37"," ","R","16","    0.77"," ","R","16","     7.2"," ","P","16","     4.6"," ","P","16","     2.2"," ","P","16","     1.5"," ","P","16","     0.8"," ","P","16","     0.4"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     3.9"," ","P","16","     5.2"," ","P","16","     9.4"," ","P","16","     2.7"," ","P","16","     4.3"," ","P","16","     6.9"," ","P","16","    10.6"," ","P","16","     4.3"," ","P","16","     7.0"," ","P","16"
"US1COBO0002","02"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","02","99","99","    0.76"," ","R","16","     6.7"," ","P","16","     2.8"," ","P","16","     1.0"," ","P","16","     0.5"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.24"," ","R","16","    0.60"," ","R","16","    1.18"," ","R","16","    0.17"," ","R","16","    0.40"," ","R","16","    0.74"," ","R","16","    1.21"," ","R","16","    0.36"," ","R","16","    0.93"," ","R","16","    12.3"," ","P","15","     6.5"," ","P","16","     3.7"," ","P","16","     2.1"," ","P","16","     1.3"," ","P","16","     0.8"," ","P","16","     0.6"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     5.8"," ","P","15","     9.3"," ","P","15","    15.1"," ","P","15","     4.8"," ","P","15","     8.4"," ","P","15","    11.5"," ","P","15","    16.6"," ","P","15","     7.2"," ","P","15","    13.5"," ","P","15"
"US1COBO0002","03"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","03","99","99","    1.69"," ","R","14","     7.2"," ","P","15","     3.4"," ","P","15","     1.9"," ","P","15","     0.9"," ","P","15","     0.5"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.86"," ","R","14","    1.50"," ","R","14","    2.12"," ","R","14","    0.65"," ","R","14","    1.16"," ","R","14","    1.76"," ","R","14","    2.32"," ","R","14","    1.04"," ","R","14","    2.04"," ","R","14","    13.9"," ","P","15","     4.9"," ","P","15","     3.1"," ","P","15","     2.2"," ","P","15","     1.5"," ","P","15","     1.1"," ","P","15","     0.8"," ","P","15","     0.3"," ","P","15","     0.1"," ","P","15","     6.8"," ","P","15","    11.8"," ","P","15","    18.6"," ","P","15","     5.3"," ","P","15","    11.6"," ","P","15","    13.0"," ","P","15","    21.2"," ","P","15","    10.1"," ","P","15","    14.3"," ","P","15"
"US1COBO0002","04"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","04","99","99","    2.35"," ","R","15","     8.5"," ","P","18","     4.9"," ","P","18","     2.7"," ","P","18","     1.2"," ","P","18","     0.3"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    1.18"," ","R","15","    2.22"," ","R","15","    3.04"," ","R","15","    1.06"," ","R","15","    1.93"," ","R","15","    2.54"," ","R","15","    3.16"," ","R","15","    1.66"," ","R","15","    2.77"," ","R","15","     8.9"," ","P","13","     4.4"," ","P","18","     2.3"," ","P","18","     1.5"," ","P","18","     1.2"," ","P","18","     0.7"," ","P","18","     0.5"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     3.6"," ","P","13","     5.5"," ","P","13","    13.9"," ","P","13","     2.4"," ","P","13","     5.1"," ","P","13","     7.4"," ","P","13","    14.8"," ","P","13","     4.2"," ","P","13","     7.6"," ","P","13"
"US1COBO0002","05"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","05","99","99","    2.77"," ","R","16","    11.3"," ","P","18","     6.1"," ","P","18","     3.2"," ","P","18","     1.5"," ","P","18","     0.5"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    1.76"," ","R","16","    2.58"," ","R","16","    3.16"," ","R","16","    1.64"," ","R","16","    2.28"," ","R","16","    2.78"," ","R","16","    3.66"," ","R","16","    2.12"," ","R","16","    2.92"," ","R","16","     3.6"," ","P","15","     1.8"," ","P","17","     0.8"," ","P","17","     0.6"," ","P","17","     0.5"," ","P","17","     0.3"," ","P","17","     0.2"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.4"," ","P","15","     4.4"," ","P","15","     5.5"," ","P","15","     0.3"," ","P","15","     2.8"," ","P","15","     4.7"," ","P","15","     6.0"," ","P","15","     1.2"," ","P","15","     4.9"," ","P","15"
"US1COBO0002","06"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","06","99","99","    1.65"," ","R","17","     8.7"," ","P","18","     3.8"," ","P","18","     2.3"," ","P","18","     1.0"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.79"," ","R","17","    1.60"," ","R","17","    2.36"," ","R","17","    0.71"," ","R","17","    1.22"," ","R","17","    1.86"," ","R","17","    2.48"," ","R","17","    0.97"," ","R","17","    2.13"," ","R","17","     0.0"," ","P","15","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15"
"US1COBO0002","07"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","07","99","99","    2.17"," ","R","15","    10.0"," ","P","20","     4.7"," ","P","20","     2.4"," ","P","20","     1.0"," ","P","20","     0.4"," ","P","20","     0.0","X","P","20","     0.0"," ","P","20","     0.0"," ","P","20","    0.94"," ","R","15","    1.99"," ","R","15","    3.02"," ","R","15","    0.83"," ","R","15","    1.71"," ","R","15","    2.28"," ","R","15","    3.37"," ","R","15","    1.38"," ","R","15","    2.48"," ","R","15","     0.0"," ","P","13","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13"
"US1COBO0002","08"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","08","99","99","    1.58"," ","R","14","     8.6"," ","P","16","     3.0"," ","P","16","     1.5"," ","P","16","     1.0"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.51"," ","R","14","    1.35"," ","R","14","    2.61"," ","R","14","    0.45"," ","R","14","    0.88"," ","R","14","    1.64"," ","R","14","    2.84"," ","R","14","    0.75"," ","R","14","    2.11"," ","R","14","     0.0"," ","P","13","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13"
"US1COBO0002","09"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","09","99","99","    1.44"," ","R","15","     6.8"," ","P","18","     3.2"," ","P","18","     1.6"," ","P","18","     1.1"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.67"," ","R","15","    1.40"," ","R","15","    1.79"," ","R","15","    0.57"," ","R","15","    1.10"," ","R","15","    1.55"," ","R","15","    1.80"," ","R","15","    0.90"," ","R","15","    1.75"," ","R","15","     0.0"," ","P","14","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14"
"US1COBO0002","10"," 39.9350","-105.0845","1663.9","BROOMFIELD 1.2 NE, CO US","10","99","99","    1.18"," ","R","16","     7.1"," ","P","18","     3.7"," ","P","18","     2.2"," ","P","18","     0.9"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.54"," ","R","16","    1.27"," ","R","16","    1.61"," ","R","16","    0.47"," ","R","16","    0.84"," ","R","16","    1.34"," ","R","16","    1.79"," ","R","16","    0.63"," ","R","16","    1.38"," ","R","16","     4.9"," ","P","14","     2.2"," ","P","18","     1.6"," ","P","18","     1.4"," ","P","18","     0.8"," ","P","18","     0.5"," ","P","18","     0.2"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","14","     4.0"," ","P","14","     7.3"," ","P","14","     0.0"," ","P","14","     0.4"," ","P","14","     6.2"," ","P","14","     8.1"," ","P","14","     0.0"," ","P","14","     6.5"," ","P","14"
