"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL","MLY-SNWD-AVGNDS-GE001WI","meas_flag_MLY-SNWD-AVGNDS-GE001WI","comp_flag_MLY-SNWD-AVGNDS-GE001WI","years_MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE002WI","meas_flag_MLY-SNWD-AVGNDS-GE002WI","comp_flag_MLY-SNWD-AVGNDS-GE002WI","years_MLY-SNWD-AVGNDS-GE002WI","MLY-SNWD-AVGNDS-GE003WI","meas_flag_MLY-SNWD-AVGNDS-GE003WI","comp_flag_MLY-SNWD-AVGNDS-GE003WI","years_MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE004WI","meas_flag_MLY-SNWD-AVGNDS-GE004WI","comp_flag_MLY-SNWD-AVGNDS-GE004WI","years_MLY-SNWD-AVGNDS-GE004WI","MLY-SNWD-AVGNDS-GE005WI","meas_flag_MLY-SNWD-AVGNDS-GE005WI","comp_flag_MLY-SNWD-AVGNDS-GE005WI","years_MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","meas_flag_MLY-SNWD-AVGNDS-GE010WI","comp_flag_MLY-SNWD-AVGNDS-GE010WI","years_MLY-SNWD-AVGNDS-GE010WI","MLY-SNWD-AVGNDS-GE020WI","meas_flag_MLY-SNWD-AVGNDS-GE020WI","comp_flag_MLY-SNWD-AVGNDS-GE020WI","years_MLY-SNWD-AVGNDS-GE020WI"
"US1COBO0008","01"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","01","99","99","    0.55"," ","R","17","     4.4"," ","P","19","     1.8"," ","P","19","     0.6"," ","P","19","     0.2"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","    0.22"," ","R","17","    0.52"," ","R","17","    0.84"," ","R","17","    0.21"," ","R","17","    0.27"," ","R","17","    0.64"," ","R","17","    0.94"," ","R","17","    0.26"," ","R","17","    0.68"," ","R","17","     7.7"," ","P","17","     4.7"," ","P","19","     2.5"," ","P","19","     1.6"," ","P","19","     1.0"," ","P","19","     0.5"," ","P","19","     0.2"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     3.7"," ","P","17","     6.0"," ","P","17","    11.4"," ","P","17","     3.4"," ","P","17","     4.7"," ","P","17","     7.4"," ","P","17","    11.5"," ","P","17","     4.4"," ","P","17","    10.2"," ","P","17","    12.4"," ","P","18","     8.0"," ","P","18","     7.1"," ","P","18","     4.9"," ","P","18","     2.9"," ","P","18","     1.7"," ","P","18","     0.0"," ","P","18"
"US1COBO0008","02"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","02","99","99","    0.75"," ","R","17","     6.2"," ","P","17","     2.3"," ","P","17","     0.8"," ","P","17","     0.2"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.32"," ","R","17","    0.68"," ","R","17","    1.06"," ","R","17","    0.25"," ","R","17","    0.47"," ","R","17","    0.75"," ","R","17","    1.12"," ","R","17","    0.40"," ","R","17","    0.85"," ","R","17","    12.0"," ","P","17","     6.4"," ","P","17","     3.6"," ","P","17","     1.9"," ","P","17","     1.1"," ","P","17","     0.7"," ","P","17","     0.5"," ","P","17","     0.2"," ","P","17","     0.0"," ","P","17","     6.1"," ","P","17","    10.7"," ","P","17","    15.5"," ","P","17","     5.9"," ","P","17","     8.4"," ","P","17","    11.1"," ","P","17","    15.5"," ","P","17","     7.6"," ","P","17","    12.5"," ","P","17","    12.3"," ","P","16","     8.2"," ","P","16","     7.6"," ","P","16","     6.5"," ","P","16","     4.5"," ","P","16","     1.5"," ","P","16","     0.0"," ","P","16"
"US1COBO0008","03"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","03","99","99","    1.51"," ","R","16","     6.2"," ","P","17","     3.0"," ","P","17","     1.8"," ","P","17","     0.8"," ","P","17","     0.3"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.70"," ","R","16","    1.33"," ","R","16","    1.84"," ","R","16","    0.57"," ","R","16","    1.17"," ","R","16","    1.50"," ","R","16","    2.02"," ","R","16","    1.11"," ","R","16","    1.63"," ","R","16","    10.2"," ","P","15","     4.2"," ","P","17","     2.6"," ","P","17","     2.0"," ","P","17","     1.5"," ","P","17","     0.9"," ","P","17","     0.6"," ","P","17","     0.2"," ","P","17","     0.0"," ","P","17","     4.7"," ","P","15","    10.7"," ","P","15","    14.8"," ","P","15","     3.8"," ","P","15","     6.6"," ","P","15","    12.4"," ","P","15","    15.4"," ","P","15","     5.9"," ","P","15","    13.6"," ","P","15","     5.9"," ","P","16","     4.0"," ","P","16","     3.7"," ","P","16","     2.9"," ","P","16","     1.8"," ","P","16","     0.4"," ","P","16","     0.1"," ","P","16"
"US1COBO0008","04"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","04","99","99","    2.30"," ","R","18","     8.8"," ","P","18","     4.9"," ","P","18","     2.9"," ","P","18","     1.3"," ","P","18","     0.4"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    1.26"," ","R","18","    2.27"," ","R","18","    2.86"," ","R","18","    1.18"," ","R","18","    2.01"," ","R","18","    2.59"," ","R","18","    3.19"," ","R","18","    1.78"," ","R","18","    2.80"," ","R","18","     9.1"," ","P","18","     3.9"," ","P","18","     2.2"," ","P","18","     1.5"," ","P","18","     1.1"," ","P","18","     0.7"," ","P","18","     0.4"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     3.2"," ","P","18","     7.3"," ","P","18","    11.7"," ","P","18","     1.8"," ","P","18","     5.0"," ","P","18","     9.3"," ","P","18","    11.9"," ","P","18","     4.1"," ","P","18","    10.4"," ","P","18","     3.2"," ","P","18","     1.9"," ","P","18","     1.5"," ","P","18","     1.3"," ","P","18","     0.7"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18"
"US1COBO0008","05"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","05","99","99","    2.29"," ","R","19","    10.9"," ","P","20","     5.4"," ","P","20","     3.2"," ","P","20","     1.4"," ","P","20","     0.4"," ","P","20","     0.0","X","P","20","     0.0"," ","P","20","     0.0"," ","P","20","    1.52"," ","R","19","    1.87"," ","R","19","    2.64"," ","R","19","    1.39"," ","R","19","    1.68"," ","R","19","    2.15"," ","R","19","    2.73"," ","R","19","    1.62"," ","R","19","    2.29"," ","R","19","     2.4"," ","P","19","     1.3"," ","P","20","     0.7"," ","P","20","     0.4"," ","P","20","     0.3"," ","P","20","     0.2"," ","P","20","     0.2"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","19","     1.7"," ","P","19","     4.1"," ","P","19","     0.0"," ","P","19","     0.5"," ","P","19","     2.0"," ","P","19","     5.0"," ","P","19","     0.1"," ","P","19","     3.0"," ","P","19","     0.9"," ","P","20","     0.4"," ","P","20","     0.3"," ","P","20","     0.2"," ","P","20","     0.2"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20"
"US1COBO0008","06"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","06","99","99","    1.72"," ","R","17","     7.8"," ","P","17","     2.9"," ","P","17","     2.1"," ","P","17","     1.0"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.81"," ","R","17","    1.71"," ","R","17","    2.37"," ","R","17","    0.74"," ","R","17","    1.33"," ","R","17","    1.92"," ","R","17","    2.57"," ","R","17","    0.96"," ","R","17","    2.13"," ","R","17","     0.0"," ","P","16","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18"
"US1COBO0008","07"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","07","99","99","    1.60"," ","R","16","     8.7"," ","P","18","     4.0"," ","P","18","     1.9"," ","P","18","     0.9"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.99"," ","R","16","    1.69"," ","R","16","    2.15"," ","R","16","    0.72"," ","R","16","    1.44"," ","R","16","    1.98"," ","R","16","    2.22"," ","R","16","    1.15"," ","R","16","    2.04"," ","R","16","     0.0"," ","P","16","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18"
"US1COBO0008","08"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","08","99","99","    1.12"," ","R","18","     8.7"," ","P","18","     2.7"," ","P","18","     1.2"," ","P","18","     0.6"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.41"," ","R","18","    0.95"," ","R","18","    1.59"," ","R","18","    0.39"," ","R","18","    0.54"," ","R","18","    1.23"," ","R","18","    1.88"," ","R","18","    0.52"," ","R","18","    1.42"," ","R","18","     0.0"," ","P","17","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18"
"US1COBO0008","09"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","09","99","99","    1.51"," ","R","19","     6.8"," ","P","20","     2.9"," ","P","20","     1.8"," ","P","20","     0.9"," ","P","20","     0.2"," ","P","20","     0.0","X","P","20","     0.0"," ","P","20","     0.0"," ","P","20","    0.58"," ","R","19","    1.47"," ","R","19","    1.83"," ","R","19","    0.53"," ","R","19","    0.93"," ","R","19","    1.56"," ","R","19","    2.02"," ","R","19","    0.75"," ","R","19","    1.65"," ","R","19","     0.0"," ","P","18","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20"
"US1COBO0008","10"," 39.9925","-105.1057","1610.9","LAFAYETTE 0.4 WSW, CO US","10","99","99","    1.28"," ","R","20","     6.6"," ","P","20","     3.4"," ","P","20","     2.0"," ","P","20","     0.8"," ","P","20","     0.0","X","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","    0.75"," ","R","20","    1.26"," ","R","20","    1.62"," ","R","20","    0.61"," ","R","20","    1.09"," ","R","20","    1.39"," ","R","20","    1.82"," ","R","20","    0.87"," ","R","20","    1.48"," ","R","20","     5.2"," ","P","20","     1.9"," ","P","20","     1.4"," ","P","20","     1.0"," ","P","20","     0.6"," ","P","20","     0.4"," ","P","20","     0.3"," ","P","20","     0.0","X","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     2.4"," ","P","20","     9.0"," ","P","20","     0.0"," ","P","20","     0.1"," ","P","20","     4.8"," ","P","20","     9.4"," ","P","20","     0.0"," ","P","20","     6.6"," ","P","20","     2.1"," ","P","20","     1.4"," ","P","20","     1.3"," ","P","20","     1.0"," ","P","20","     0.7"," ","P","20","     0.1"," ","P","20","     0.0"," ","P","20"
