"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1COBO0072","01"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","01","99","99","    0.76"," ","R","18","     5.2"," ","P","18","     2.1"," ","P","18","     0.9"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.33"," ","R","18","    0.79"," ","R","18","    1.04"," ","R","18","    0.30"," ","R","18","    0.64"," ","R","18","    0.87"," ","R","18","    1.22"," ","R","18","    0.38"," ","R","18","    0.90"," ","R","18"
"US1COBO0072","02"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","02","99","99","    0.88"," ","R","18","     7.3"," ","P","18","     3.7"," ","P","18","     1.4"," ","P","18","     0.3"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.37"," ","R","18","    0.71"," ","R","18","    1.26"," ","R","18","    0.30"," ","R","18","    0.60"," ","R","18","    0.96"," ","R","18","    1.35"," ","R","18","    0.54"," ","R","18","    1.07"," ","R","18"
"US1COBO0072","03"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","03","99","99","    1.91"," ","R","18","     6.9"," ","P","18","     3.8"," ","P","18","     2.1"," ","P","18","     1.1"," ","P","18","     0.4"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    1.08"," ","R","18","    1.70"," ","R","18","    2.42"," ","R","18","    0.96"," ","R","18","    1.45"," ","R","18","    2.04"," ","R","18","    2.65"," ","R","18","    1.22"," ","R","18","    2.07"," ","R","18"
"US1COBO0072","04"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","04","99","99","    2.96"," ","R","18","     9.2"," ","P","18","     5.7"," ","P","18","     3.6"," ","P","18","     1.8"," ","P","18","     0.6"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    1.59"," ","R","18","    2.51"," ","R","18","    3.97"," ","R","18","    1.47"," ","R","18","    2.24"," ","R","18","    3.33"," ","R","18","    4.04"," ","R","18","    1.85"," ","R","18","    3.51"," ","R","18"
"US1COBO0072","05"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","05","99","99","    3.02"," ","R","18","    12.0"," ","P","18","     7.1"," ","P","18","     3.7"," ","P","18","     2.1"," ","P","18","     0.6"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    1.74"," ","R","18","    2.49"," ","R","18","    3.53"," ","R","18","    1.71"," ","R","18","    1.97"," ","R","18","    2.77"," ","R","18","    4.40"," ","R","18","    1.88"," ","R","18","    2.93"," ","R","18"
"US1COBO0072","06"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","06","99","99","    1.79"," ","R","18","    10.3"," ","P","18","     3.7"," ","P","18","     2.1"," ","P","18","     0.9"," ","P","18","     0.3"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.98"," ","R","18","    1.82"," ","R","18","    2.54"," ","R","18","    0.92"," ","R","18","    1.53"," ","R","18","    2.05"," ","R","18","    2.67"," ","R","18","    1.09"," ","R","18","    2.28"," ","R","18"
"US1COBO0072","07"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","07","99","99","    1.76"," ","R","18","    11.4"," ","P","18","     4.0"," ","P","18","     1.9"," ","P","18","     0.9"," ","P","18","     0.4"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.91"," ","R","18","    1.94"," ","R","18","    2.49"," ","R","18","    0.71"," ","R","18","    1.43"," ","R","18","    2.16"," ","R","18","    2.57"," ","R","18","    1.31"," ","R","18","    2.21"," ","R","18"
"US1COBO0072","08"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","08","99","99","    1.42"," ","R","18","     9.8"," ","P","18","     2.9"," ","P","18","     1.3"," ","P","18","     0.6"," ","P","18","     0.1"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.71"," ","R","18","    1.20"," ","R","18","    1.65"," ","R","18","    0.52"," ","R","18","    0.91"," ","R","18","    1.52"," ","R","18","    2.04"," ","R","18","    0.77"," ","R","18","    1.56"," ","R","18"
"US1COBO0072","09"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","09","99","99","    2.04"," ","R","18","     7.1"," ","P","18","     3.0"," ","P","18","     1.6"," ","P","18","     0.9"," ","P","18","     0.5"," ","P","18","     0.1"," ","P","18","     0.1"," ","P","18","     0.1"," ","P","18","    0.55"," ","R","18","    1.64"," ","R","18","    2.19"," ","R","18","    0.48"," ","R","18","    1.15"," ","R","18","    1.91"," ","R","18","    2.43"," ","R","18","    0.98"," ","R","18","    2.01"," ","R","18"
"US1COBO0072","10"," 40.0242","-105.2689","1638.9","BOULDER 1.3 NW, CO US","10","99","99","    1.55"," ","R","18","     7.6"," ","P","19","     4.3"," ","P","19","     2.5"," ","P","19","     1.3"," ","P","19","     0.2"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","     0.0"," ","P","19","    0.87"," ","R","18","    1.29"," ","R","18","    2.30"," ","R","18","    0.78"," ","R","18","    1.11"," ","R","18","    1.62"," ","R","18","    2.43"," ","R","18","    1.03"," ","R","18","    2.08"," ","R","18"
