"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL"
"US1COBR0013","01"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","01","99","99","    0.68"," ","R","16","     4.8"," ","P","16","     2.1"," ","P","16","     0.7"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.31"," ","R","16","    0.68"," ","R","16","    0.92"," ","R","16","    0.26"," ","R","16","    0.53"," ","R","16","    0.74"," ","R","16","    1.07"," ","R","16","    0.33"," ","R","16","    0.79"," ","R","16","     9.0"," ","P","14","     4.9"," ","P","16","     2.6"," ","P","16","     1.6"," ","P","16","     1.1"," ","P","16","     0.4"," ","P","16","     0.3"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     5.0"," ","P","14","     7.7"," ","P","14","    11.1"," ","P","14","     4.7"," ","P","14","     6.3"," ","P","14","     8.9"," ","P","14","    13.0"," ","P","14","     5.5"," ","P","14","     9.4"," ","P","14"
"US1COBR0013","02"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","02","99","99","    0.73"," ","R","13","     6.0"," ","P","14","     2.5"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.22"," ","R","13","    0.61"," ","R","13","    0.91"," ","R","13","    0.15"," ","R","13","    0.40"," ","R","13","    0.74"," ","R","13","    1.14"," ","R","13","    0.36"," ","R","13","    0.82"," ","R","13","    12.4"," ","P","13","     5.8"," ","P","14","     3.8"," ","P","14","     2.1"," ","P","14","     1.2"," ","P","14","     0.9"," ","P","14","     0.7"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     5.3"," ","P","13","     7.8"," ","P","13","    14.1"," ","P","13","     4.2"," ","P","13","     7.0"," ","P","13","    10.7"," ","P","13","    14.9"," ","P","13","     6.9"," ","P","13","    11.5"," ","P","13"
"US1COBR0013","03"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","03","99","99","    1.84"," ","R","13","     6.7"," ","P","14","     3.2"," ","P","14","     1.7"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.82"," ","R","13","    1.62"," ","R","13","    2.22"," ","R","13","    0.77"," ","R","13","    1.20"," ","R","13","    1.72"," ","R","13","    2.35"," ","R","13","    1.02"," ","R","13","    2.13"," ","R","13","    16.3"," ","P","12","     5.2"," ","P","14","     3.0"," ","P","14","     2.1"," ","P","14","     1.4"," ","P","14","     0.9"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     5.1"," ","P","12","    13.4"," ","P","12","    22.3"," ","P","12","     4.1"," ","P","12","    12.7"," ","P","12","    15.6"," ","P","12","    23.4"," ","P","12","    10.3"," ","P","12","    18.3"," ","P","12"
"US1COBR0013","04"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","04","99","99","    2.50"," ","R","14","     9.0"," ","P","15","     5.1"," ","P","15","     2.8"," ","P","15","     1.3"," ","P","15","     0.4"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    1.34"," ","R","14","    2.35"," ","R","14","    3.46"," ","R","14","    1.16"," ","R","14","    1.97"," ","R","14","    2.80"," ","R","14","    3.57"," ","R","14","    1.52"," ","R","14","    3.06"," ","R","14","     8.1"," ","P","13","     4.5"," ","P","15","     2.3"," ","P","15","     1.3"," ","P","15","     0.8"," ","P","15","     0.6"," ","P","15","     0.6"," ","P","15","     0.2"," ","P","15","     0.0"," ","P","15","     3.7"," ","P","13","     7.0"," ","P","13","    12.5"," ","P","13","     2.8"," ","P","13","     4.8"," ","P","13","     7.4"," ","P","13","    13.7"," ","P","13","     4.2"," ","P","13","     8.8"," ","P","13"
"US1COBR0013","05"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","05","99","99","    2.88"," ","R","16","    11.1"," ","P","16","     6.1"," ","P","16","     3.3"," ","P","16","     1.7"," ","P","16","     0.6"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    1.81"," ","R","16","    2.37"," ","R","16","    3.92"," ","R","16","    1.70"," ","R","16","    1.98"," ","R","16","    2.62"," ","R","16","    4.22"," ","R","16","    1.88"," ","R","16","    2.83"," ","R","16","     2.6"," ","P","15","     1.3"," ","P","16","     0.7"," ","P","16","     0.5"," ","P","16","     0.4"," ","P","16","     0.2"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","15","     1.1"," ","P","15","     5.6"," ","P","15","     0.0"," ","P","15","     0.3"," ","P","15","     2.5"," ","P","15","     5.8"," ","P","15","     0.1"," ","P","15","     4.4"," ","P","15"
"US1COBR0013","06"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","06","99","99","    1.67"," ","R","13","     7.9"," ","P","15","     3.4"," ","P","15","     2.1"," ","P","15","     0.9"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.76"," ","R","13","    1.65"," ","R","13","    2.45"," ","R","13","    0.65"," ","R","13","    1.22"," ","R","13","    2.13"," ","R","13","    2.61"," ","R","13","    0.89"," ","R","13","    2.18"," ","R","13","     0.0"," ","P","12","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12"
"US1COBR0013","07"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","07","99","99","    1.73"," ","R","12","     9.1"," ","P","14","     4.3"," ","P","14","     2.5"," ","P","14","     0.7"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.92"," ","R","12","    1.43"," ","R","12","    2.21"," ","R","12","    0.82"," ","R","12","    1.31"," ","R","12","    1.74"," ","R","12","    2.26"," ","R","12","    1.00"," ","R","12","    1.97"," ","R","12","     0.0"," ","P","12","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12"
"US1COBR0013","08"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","08","99","99","    1.56"," ","R","11","     9.0"," ","P","12","     3.5"," ","P","12","     1.8"," ","P","12","     0.9"," ","P","12","     0.4"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    0.85"," ","R","11","    1.35"," ","R","11","    2.15"," ","R","11","    0.76"," ","R","11","    0.99"," ","R","11","    1.63"," ","R","11","    2.28"," ","R","11","    0.93"," ","R","11","    1.94"," ","R","11","     0.0"," ","P","11","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"US1COBR0013","09"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","09","99","99","    1.85"," ","R","14","     7.2"," ","P","14","     3.0"," ","P","14","     1.3"," ","P","14","     0.7"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.56"," ","R","14","    1.38"," ","R","14","    2.17"," ","R","14","    0.54"," ","R","14","    1.01"," ","R","14","    1.67"," ","R","14","    2.25"," ","R","14","    0.78"," ","R","14","    1.91"," ","R","14","     0.0"," ","P","10","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10"
"US1COBR0013","10"," 39.9390","-105.0826","1653.2","BROOMFIELD 1.1 NE, CO US","10","99","99","    1.34"," ","R","14","     6.3"," ","P","14","     3.6"," ","P","14","     2.2"," ","P","14","     0.9"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.78"," ","R","14","    1.29"," ","R","14","    1.71"," ","R","14","    0.68"," ","R","14","    1.05"," ","R","14","    1.34"," ","R","14","    1.96"," ","R","14","    0.85"," ","R","14","    1.53"," ","R","14","     5.2"," ","P","14","     1.9"," ","P","14","     1.1"," ","P","14","     0.9"," ","P","14","     0.6"," ","P","14","     0.4"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.5"," ","P","14","     7.6"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     2.2"," ","P","14","     8.9"," ","P","14","     0.0"," ","P","14","     5.4"," ","P","14"
