"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1COBR0040","01"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","01","99","99","    0.69"," ","E"," 3"
"US1COBR0040","02"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","02","99","99","    0.62"," ","E"," 3"
"US1COBR0040","03"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","03","99","99","    1.63"," ","E"," 4"
"US1COBR0040","04"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","04","99","99","    2.19"," ","E"," 4"
"US1COBR0040","05"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","05","99","99","    2.53"," ","E"," 3"
"US1COBR0040","06"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","06","99","99","    2.08"," ","E"," 2"
"US1COBR0040","07"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","07","99","99","    2.00"," ","E"," 4"
"US1COBR0040","08"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","08","99","99","    1.55"," ","E"," 5"
"US1COBR0040","09"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","09","99","99","    1.82"," ","E"," 3"
"US1COBR0040","10"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","10","99","99","    1.24"," ","E"," 4"
"US1COBR0040","11"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","11","99","99","    0.83"," ","E"," 5"
"US1COBR0040","12"," 39.9322","-105.0682","1640.1","BROOMFIELD 0.9 SSW, CO US","12","99","99","    0.62"," ","E"," 4"
