"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL"
"US1COEP0037","01"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","01","99","99","    0.46"," ","R","15","     5.5"," ","P","15","     1.8"," ","P","15","     0.3"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.19"," ","R","15","    0.47"," ","R","15","    0.69"," ","R","15","    0.15"," ","R","15","    0.26"," ","R","15","    0.60"," ","R","15","    0.78"," ","R","15","    0.22"," ","R","15","    0.64"," ","R","15","     6.6"," ","P","15","     5.3"," ","P","15","     2.5"," ","P","15","     1.1"," ","P","15","     0.5"," ","P","15","     0.2"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     2.1"," ","P","15","     5.2"," ","P","15","    11.2"," ","P","15","     1.8"," ","P","15","     3.7"," ","P","15","     8.7"," ","P","15","    12.3"," ","P","15","     2.3"," ","P","15","     9.6"," ","P","15"
"US1COEP0037","02"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","02","99","99","    0.70"," ","R","14","     6.9"," ","P","15","     2.4"," ","P","15","     0.9"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.40"," ","R","14","    0.58"," ","R","14","    0.92"," ","R","14","    0.37"," ","R","14","    0.49"," ","R","14","    0.64"," ","R","14","    0.98"," ","R","14","    0.45"," ","R","14","    0.73"," ","R","14","    11.7"," ","P","14","     6.8"," ","P","15","     3.5"," ","P","15","     2.2"," ","P","15","     1.6"," ","P","15","     0.9"," ","P","15","     0.6"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     5.0"," ","P","14","    10.5"," ","P","14","    15.5"," ","P","14","     4.6"," ","P","14","     9.1"," ","P","14","    10.8"," ","P","14","    18.2"," ","P","14","     6.7"," ","P","14","    12.4"," ","P","14"
"US1COEP0037","03"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","03","99","99","    0.78"," ","R","15","     6.5"," ","P","15","     2.4"," ","P","15","     1.1"," ","P","15","     0.5"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.49"," ","R","15","    0.68"," ","R","15","    1.04"," ","R","15","    0.47"," ","R","15","    0.61"," ","R","15","    0.72"," ","R","15","    1.20"," ","R","15","    0.57"," ","R","15","    0.90"," ","R","15","     7.5"," ","P","13","     5.0"," ","P","15","     2.4"," ","P","15","     1.6"," ","P","15","     0.8"," ","P","15","     0.5"," ","P","15","     0.3"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     3.0"," ","P","13","     5.7"," ","P","13","    10.0"," ","P","13","     3.0"," ","P","13","     4.5"," ","P","13","     6.6"," ","P","13","    14.0"," ","P","13","     4.1"," ","P","13","     7.7"," ","P","13"
"US1COEP0037","04"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","04","99","99","    1.90"," ","R","15","     8.2"," ","P","15","     4.1"," ","P","15","     2.3"," ","P","15","     0.9"," ","P","15","     0.1"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.85"," ","R","15","    1.70"," ","R","15","    2.52"," ","R","15","    0.79"," ","R","15","    1.48"," ","R","15","    1.81"," ","R","15","    2.92"," ","R","15","    1.15"," ","R","15","    2.03"," ","R","15","     8.7"," ","P","13","     4.4"," ","P","15","     2.7"," ","P","15","     1.7"," ","P","15","     1.2"," ","P","15","     0.5"," ","P","15","     0.3"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     4.3"," ","P","13","     6.4"," ","P","13","    11.8"," ","P","13","     3.6"," ","P","13","     5.5"," ","P","13","     8.3"," ","P","13","    14.8"," ","P","13","     4.6"," ","P","13","    11.8"," ","P","13"
"US1COEP0037","05"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","05","99","99","    2.40"," ","R","14","    11.5"," ","P","14","     5.1"," ","P","14","     2.6"," ","P","14","     1.4"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.25"," ","R","14","    1.80"," ","R","14","    2.63"," ","R","14","    1.18"," ","R","14","    1.70"," ","R","14","    2.01"," ","R","14","    3.30"," ","R","14","    1.49"," ","R","14","    2.28"," ","R","14","     1.9"," ","P","12","     1.0"," ","P","14","     0.5"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.1"," ","P","12","     0.6"," ","P","12","     2.5"," ","P","12","     0.0"," ","P","12","     0.4"," ","P","12","     1.4"," ","P","12","     3.1"," ","P","12","     0.3"," ","P","12","     1.9"," ","P","12"
"US1COEP0037","06"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","06","99","99","    1.83"," ","R","15","     9.3"," ","P","16","     4.1"," ","P","16","     1.8"," ","P","16","     0.5"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.85"," ","R","15","    1.59"," ","R","15","    2.36"," ","R","15","    0.78"," ","R","15","    1.21"," ","R","15","    1.83"," ","R","15","    2.89"," ","R","15","    1.02"," ","R","15","    1.99"," ","R","15","     0.0"," ","P","13","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13"
"US1COEP0037","07"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","07","99","99","    2.97"," ","R","16","    14.2"," ","P","16","     6.9"," ","P","16","     3.6"," ","P","16","     1.8"," ","P","16","     0.4"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    2.10"," ","R","16","    2.71"," ","R","16","    3.87"," ","R","16","    2.01"," ","R","16","    2.45"," ","R","16","    3.00"," ","R","16","    4.13"," ","R","16","    2.40"," ","R","16","    3.56"," ","R","16","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14"
"US1COEP0037","08"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","08","99","99","    2.56"," ","R","16","    13.5"," ","P","16","     6.1"," ","P","16","     3.0"," ","P","16","     1.5"," ","P","16","     0.4"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    1.87"," ","R","16","    2.63"," ","R","16","    3.20"," ","R","16","    1.70"," ","R","16","    2.36"," ","R","16","    2.91"," ","R","16","    3.27"," ","R","16","    2.17"," ","R","16","    3.05"," ","R","16","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14"
"US1COEP0037","09"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","09","99","99","    1.72"," ","R","15","     7.2"," ","P","15","     2.9"," ","P","15","     1.3"," ","P","15","     0.8"," ","P","15","     0.5"," ","P","15","     0.2"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.56"," ","R","15","    1.52"," ","R","15","    2.31"," ","R","15","    0.46"," ","R","15","    1.18"," ","R","15","    1.85"," ","R","15","    2.56"," ","R","15","    0.96"," ","R","15","    1.91"," ","R","15","     0.0"," ","P","10","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10"
"US1COEP0037","10"," 38.9052","-104.8491","2012.9","COLORADO SPRINGS 5.7 WNW, CO US","10","99","99","    0.83"," ","R","15","     6.3"," ","P","16","     2.7"," ","P","16","     1.1"," ","P","16","     0.3"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.29"," ","R","15","    0.63"," ","R","15","    1.27"," ","R","15","    0.25"," ","R","15","    0.47"," ","R","15","    0.83"," ","R","15","    1.38"," ","R","15","    0.45"," ","R","15","    0.91"," ","R","15","     4.6"," ","P","13","     2.2"," ","P","16","     1.3"," ","P","16","     1.0"," ","P","16","     0.7"," ","P","16","     0.3"," ","P","16","     0.3"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.2"," ","P","13","     2.9"," ","P","13","     5.2"," ","P","13","     0.1"," ","P","13","     1.1"," ","P","13","     3.5"," ","P","13","     6.1"," ","P","13","     0.8"," ","P","13","     4.6"," ","P","13"
