"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1COEP0068","01"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","01","99","99","    0.32"," ","R","15","     5.0"," ","P","16","     1.3"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.15"," ","R","15","    0.29"," ","R","15","    0.45"," ","R","15","    0.14"," ","R","15","    0.21"," ","R","15","    0.36"," ","R","15","    0.49"," ","R","15","    0.19"," ","R","15","    0.40"," ","R","15"
"US1COEP0068","02"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","02","99","99","    0.41"," ","R","16","     6.2"," ","P","16","     1.6"," ","P","16","     0.3"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.19"," ","R","16","    0.37"," ","R","16","    0.49"," ","R","16","    0.16"," ","R","16","    0.32"," ","R","16","    0.40"," ","R","16","    0.51"," ","R","16","    0.27"," ","R","16","    0.43"," ","R","16"
"US1COEP0068","03"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","03","99","99","    0.90"," ","R","14","     6.0"," ","P","16","     1.9"," ","P","16","     1.2"," ","P","16","     0.3"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.55"," ","R","14","    0.83"," ","R","14","    1.14"," ","R","14","    0.52"," ","R","14","    0.70"," ","R","14","    0.86"," ","R","14","    1.17"," ","R","14","    0.68"," ","R","14","    0.99"," ","R","14"
"US1COEP0068","04"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","04","99","99","    1.95"," ","R","16","     8.1"," ","P","17","     3.9"," ","P","17","     1.8"," ","P","17","     1.1"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.82"," ","R","16","    1.42"," ","R","16","    2.27"," ","R","16","    0.54"," ","R","16","    1.13"," ","R","16","    1.57"," ","R","16","    2.38"," ","R","16","    0.96"," ","R","16","    1.88"," ","R","16"
"US1COEP0068","05"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","05","99","99","    2.15"," ","R","12","    10.1"," ","P","15","     4.6"," ","P","15","     2.1"," ","P","15","     1.3"," ","P","15","     0.5"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    0.76"," ","R","12","    1.49"," ","R","12","    2.98"," ","R","12","    0.64"," ","R","12","    1.14"," ","R","12","    2.20"," ","R","12","    3.79"," ","R","12","    1.00"," ","R","12","    2.46"," ","R","12"
"US1COEP0068","06"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","06","99","99","    2.36"," ","R","14","     9.0"," ","P","14","     4.1"," ","P","14","     1.9"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.49"," ","R","14","    2.05"," ","R","14","    3.18"," ","R","14","    1.36"," ","R","14","    1.82"," ","R","14","    2.30"," ","R","14","    3.47"," ","R","14","    1.68"," ","R","14","    2.48"," ","R","14"
"US1COEP0068","07"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","07","99","99","    3.37"," ","R","16","    14.2"," ","P","16","     7.3"," ","P","16","     4.5"," ","P","16","     2.5"," ","P","16","     0.8"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    2.44"," ","R","16","    3.04"," ","R","16","    4.47"," ","R","16","    1.86"," ","R","16","    2.73"," ","R","16","    3.51"," ","R","16","    4.70"," ","R","16","    2.54"," ","R","16","    4.08"," ","R","16"
"US1COEP0068","08"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","08","99","99","    3.06"," ","R","17","    13.1"," ","P","17","     6.0"," ","P","17","     3.6"," ","P","17","     2.0"," ","P","17","     0.9"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    1.92"," ","R","17","    3.14"," ","R","17","    4.16"," ","R","17","    1.84"," ","R","17","    2.52"," ","R","17","    3.39"," ","R","17","    4.41"," ","R","17","    2.21"," ","R","17","    3.73"," ","R","17"
"US1COEP0068","09"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","09","99","99","    1.54"," ","R","17","     6.2"," ","P","18","     2.8"," ","P","18","     1.6"," ","P","18","     0.7"," ","P","18","     0.3"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.58"," ","R","17","    0.96"," ","R","17","    2.14"," ","R","17","    0.50"," ","R","17","    0.82"," ","R","17","    1.61"," ","R","17","    2.21"," ","R","17","    0.75"," ","R","17","    1.92"," ","R","17"
"US1COEP0068","10"," 38.8720","-104.7262","1976.9","COLORADO SPRINGS 5.8 ENE, CO US","10","99","99","    0.74"," ","R","17","     5.3"," ","P","18","     1.8"," ","P","18","     0.8"," ","P","18","     0.1"," ","P","18","     0.1"," ","P","18","     0.1"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.21"," ","R","17","    0.72"," ","R","17","    0.95"," ","R","17","    0.19"," ","R","17","    0.42"," ","R","17","    0.88"," ","R","17","    1.00"," ","R","17","    0.27"," ","R","17","    0.90"," ","R","17"
