"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1COEP0194","01"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","01","99","99","    0.44"," ","E"," 8"
"US1COEP0194","02"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","02","99","99","    0.65"," ","E"," 4"
"US1COEP0194","03"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","03","99","99","    1.01"," ","E"," 8"
"US1COEP0194","04"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","04","99","99","    2.12"," ","E"," 9"
"US1COEP0194","05"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","05","99","99","    2.16"," ","E"," 7"
"US1COEP0194","06"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","06","99","99","    1.81"," ","E"," 8"
"US1COEP0194","07"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","07","99","99","    3.28"," ","E"," 7"
"US1COEP0194","08"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","08","99","99","    3.18"," ","E"," 8"
"US1COEP0194","09"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","09","99","99","    1.85"," ","E"," 7"
"US1COEP0194","10"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","10","99","99","    0.96"," ","E","10"
"US1COEP0194","11"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","11","99","99","    0.61"," ","E"," 5"
"US1COEP0194","12"," 38.8437","-104.8052","1848.6","COLORADO SPRINGS 1.1 NE, CO US","12","99","99","    0.47"," ","E"," 9"
