"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1COJF0399","01"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","01","99","99","    0.64"," ","E"," 7"
"US1COJF0399","02"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","02","99","99","    0.75"," ","E"," 7"
"US1COJF0399","03"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","03","99","99","    1.52"," ","E"," 6"
"US1COJF0399","04"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","04","99","99","    2.11"," ","E"," 7"
"US1COJF0399","05"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","05","99","99","    2.81"," ","E"," 7"
"US1COJF0399","06"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","06","99","99","    1.59"," ","E"," 7"
"US1COJF0399","07"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","07","99","99","    1.79"," ","E"," 8"
"US1COJF0399","08"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","08","99","99","    1.75"," ","E"," 8"
"US1COJF0399","09"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","09","99","99","    1.40"," ","E"," 8"
"US1COJF0399","10"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","10","99","99","    1.30"," ","E"," 8"
"US1COJF0399","11"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","11","99","99","    0.85"," ","E"," 8"
"US1COJF0399","12"," 39.9055","-105.0572","1613.3","WESTMINSTER 1.7 NNW, CO US","12","99","99","    0.62"," ","E"," 7"
