"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL","MLY-SNWD-AVGNDS-GE001WI","meas_flag_MLY-SNWD-AVGNDS-GE001WI","comp_flag_MLY-SNWD-AVGNDS-GE001WI","years_MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE002WI","meas_flag_MLY-SNWD-AVGNDS-GE002WI","comp_flag_MLY-SNWD-AVGNDS-GE002WI","years_MLY-SNWD-AVGNDS-GE002WI","MLY-SNWD-AVGNDS-GE003WI","meas_flag_MLY-SNWD-AVGNDS-GE003WI","comp_flag_MLY-SNWD-AVGNDS-GE003WI","years_MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE004WI","meas_flag_MLY-SNWD-AVGNDS-GE004WI","comp_flag_MLY-SNWD-AVGNDS-GE004WI","years_MLY-SNWD-AVGNDS-GE004WI","MLY-SNWD-AVGNDS-GE005WI","meas_flag_MLY-SNWD-AVGNDS-GE005WI","comp_flag_MLY-SNWD-AVGNDS-GE005WI","years_MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","meas_flag_MLY-SNWD-AVGNDS-GE010WI","comp_flag_MLY-SNWD-AVGNDS-GE010WI","years_MLY-SNWD-AVGNDS-GE010WI","MLY-SNWD-AVGNDS-GE020WI","meas_flag_MLY-SNWD-AVGNDS-GE020WI","comp_flag_MLY-SNWD-AVGNDS-GE020WI","years_MLY-SNWD-AVGNDS-GE020WI"
"US1COLR0255","01"," 40.5759","-105.0858","1527.0","FCL, CO US","01","99","99","    0.40"," ","R","19","     3.6"," ","P","21","     1.2"," ","P","21","     0.3"," ","P","21","     0.1"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","    0.12"," ","R","19","    0.32"," ","R","19","    0.59"," ","R","19","    0.10"," ","R","19","    0.25"," ","R","19","    0.48"," ","R","19","    0.63"," ","R","19","    0.18"," ","R","19","    0.53"," ","R","19","     6.0"," ","P","19","     4.1"," ","P","21","     1.7"," ","P","21","     1.0"," ","P","21","     0.4"," ","P","21","     0.2"," ","P","21","     0.1"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     1.6"," ","P","19","     5.5"," ","P","19","     9.5"," ","P","19","     1.1"," ","P","19","     3.7"," ","P","19","     6.0"," ","P","19","    10.0"," ","P","19","     2.8"," ","P","19","     6.9"," ","P","19","    13.0"," ","P","21","     8.6"," ","P","21","     6.4"," ","P","21","     4.8"," ","P","21","     3.1"," ","P","21","     1.5"," ","P","21","     0.0"," ","P","21"
"US1COLR0255","02"," 40.5759","-105.0858","1527.0","FCL, CO US","02","99","99","    0.48"," ","R","21","     5.6"," ","P","22","     1.8"," ","P","22","     0.4"," ","P","22","     0.0","X","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.23"," ","R","21","    0.49"," ","R","21","    0.68"," ","R","21","    0.20"," ","R","21","    0.36"," ","R","21","    0.58"," ","R","21","    0.70"," ","R","21","    0.27"," ","R","21","    0.64"," ","R","21","     7.8"," ","P","20","     6.0"," ","P","22","     2.4"," ","P","22","     1.3"," ","P","22","     0.8"," ","P","22","     0.3"," ","P","22","     0.2"," ","P","22","     0.0","X","P","22","     0.0"," ","P","22","     4.3"," ","P","20","     6.5"," ","P","20","    12.3"," ","P","20","     3.9"," ","P","20","     5.9"," ","P","20","     7.1"," ","P","20","    13.1"," ","P","20","     5.1"," ","P","20","     8.3"," ","P","20","    10.5"," ","P","22","     7.5"," ","P","22","     6.1"," ","P","22","     4.0"," ","P","22","     2.3"," ","P","22","     0.4"," ","P","22","     0.0"," ","P","22"
"US1COLR0255","03"," 40.5759","-105.0858","1527.0","FCL, CO US","03","99","99","    1.31"," ","R","21","     5.8"," ","P","22","     2.8"," ","P","22","     1.5"," ","P","22","     0.8"," ","P","22","     0.2"," ","P","22","     0.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.51"," ","R","21","    1.01"," ","R","21","    1.57"," ","R","21","    0.38"," ","R","21","    0.88"," ","R","21","    1.34"," ","R","21","    1.66"," ","R","21","    0.75"," ","R","21","    1.46"," ","R","21","     8.9"," ","P","21","     4.0"," ","P","22","     2.1"," ","P","22","     1.3"," ","P","22","     1.0"," ","P","22","     0.6"," ","P","22","     0.5"," ","P","22","     0.1"," ","P","22","     0.0","X","P","22","     2.6"," ","P","21","     6.7"," ","P","21","    13.3"," ","P","21","     2.3"," ","P","21","     4.4"," ","P","21","     9.2"," ","P","21","    13.3"," ","P","21","     4.1"," ","P","21","    11.6"," ","P","21","     4.8"," ","P","22","     3.1"," ","P","22","     2.8"," ","P","22","     1.8"," ","P","22","     1.3"," ","P","22","     0.2"," ","P","22","     0.1"," ","P","22"
"US1COLR0255","04"," 40.5759","-105.0858","1527.0","FCL, CO US","04","99","99","    2.00"," ","R","21","     8.1"," ","P","22","     3.8"," ","P","22","     2.4"," ","P","22","     1.3"," ","P","22","     0.6"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    1.01"," ","R","21","    2.03"," ","R","21","    2.63"," ","R","21","    0.83"," ","R","21","    1.70"," ","R","21","    2.22"," ","R","21","    2.71"," ","R","21","    1.16"," ","R","21","    2.51"," ","R","21","     6.3"," ","P","20","     3.1"," ","P","22","     1.6"," ","P","22","     1.0"," ","P","22","     0.7"," ","P","22","     0.5"," ","P","22","     0.5"," ","P","22","     0.0","X","P","22","     0.0"," ","P","22","     1.8"," ","P","20","     3.0"," ","P","20","     8.5"," ","P","20","     1.1"," ","P","20","     2.3"," ","P","20","     5.1"," ","P","20","    10.0"," ","P","20","     2.1"," ","P","20","     5.7"," ","P","20","     2.4"," ","P","22","     1.3"," ","P","22","     1.1"," ","P","22","     0.9"," ","P","22","     0.6"," ","P","22","     0.2"," ","P","22","     0.0"," ","P","22"
"US1COLR0255","05"," 40.5759","-105.0858","1527.0","FCL, CO US","05","99","99","    2.79"," ","R","21","    11.3"," ","P","22","     5.5"," ","P","22","     3.2"," ","P","22","     2.0"," ","P","22","     0.7"," ","P","22","     0.0","X","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    1.64"," ","R","21","    2.22"," ","R","21","    3.50"," ","R","21","    1.58"," ","R","21","    2.05"," ","R","21","    2.65"," ","R","21","    4.27"," ","R","21","    1.83"," ","R","21","    3.01"," ","R","21","     1.4"," ","P","20","     1.1"," ","P","22","     0.6"," ","P","22","     0.4"," ","P","22","     0.3"," ","P","22","     0.2"," ","P","22","     0.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","20","     0.1"," ","P","20","     1.9"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.3"," ","P","20","     3.7"," ","P","20","     0.0"," ","P","20","     0.9"," ","P","20","     0.8"," ","P","22","     0.6"," ","P","22","     0.5"," ","P","22","     0.3"," ","P","22","     0.2"," ","P","22","     0.0","X","P","22","     0.0"," ","P","22"
"US1COLR0255","06"," 40.5759","-105.0858","1527.0","FCL, CO US","06","99","99","    1.91"," ","R","21","     8.2"," ","P","23","     3.7"," ","P","23","     1.9"," ","P","23","     0.9"," ","P","23","     0.2"," ","P","23","     0.0"," ","P","23","     0.0"," ","P","23","     0.0"," ","P","23","    0.77"," ","R","21","    1.80"," ","R","21","    2.62"," ","R","21","    0.60"," ","R","21","    1.31"," ","R","21","    2.08"," ","R","21","    2.73"," ","R","21","    1.07"," ","R","21","    2.36"," ","R","21","     0.0"," ","P","18","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21"
"US1COLR0255","07"," 40.5759","-105.0858","1527.0","FCL, CO US","07","99","99","    1.62"," ","R","21","     8.5"," ","P","23","     3.4"," ","P","23","     1.9"," ","P","23","     0.7"," ","P","23","     0.2"," ","P","23","     0.0","X","P","23","     0.0"," ","P","23","     0.0"," ","P","23","    0.80"," ","R","21","    1.31"," ","R","21","    2.08"," ","R","21","    0.73"," ","R","21","    0.97"," ","R","21","    1.57"," ","R","21","    2.40"," ","R","21","    0.89"," ","R","21","    1.84"," ","R","21","     0.0"," ","P","20","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22"
"US1COLR0255","08"," 40.5759","-105.0858","1527.0","FCL, CO US","08","99","99","    1.48"," ","R","22","     7.8"," ","P","23","     2.7"," ","P","23","     1.4"," ","P","23","     0.6"," ","P","23","     0.3"," ","P","23","     0.0","X","P","23","     0.0"," ","P","23","     0.0"," ","P","23","    0.50"," ","R","22","    0.98"," ","R","22","    2.33"," ","R","22","    0.47"," ","R","22","    0.63"," ","R","22","    1.26"," ","R","22","    2.45"," ","R","22","    0.57"," ","R","22","    1.63"," ","R","22","     0.0"," ","P","21","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","21","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22"
"US1COLR0255","09"," 40.5759","-105.0858","1527.0","FCL, CO US","09","99","99","    1.44"," ","R","21","     6.8"," ","P","23","     3.0"," ","P","23","     1.7"," ","P","23","     1.0"," ","P","23","     0.2"," ","P","23","     0.0","X","P","23","     0.0"," ","P","23","     0.0"," ","P","23","    0.53"," ","R","21","    1.18"," ","R","21","    2.12"," ","R","21","    0.42"," ","R","21","    0.86"," ","R","21","    1.37"," ","R","21","    2.53"," ","R","21","    0.75"," ","R","21","    1.63"," ","R","21","     0.2"," ","P","20","     0.1"," ","P","22","     0.0","X","P","22","     0.0","X","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     0.1"," ","P","22","     0.0","X","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22"
"US1COLR0255","10"," 40.5759","-105.0858","1527.0","FCL, CO US","10","99","99","    1.25"," ","R","22","     6.1"," ","P","22","     3.0"," ","P","22","     1.6"," ","P","22","     0.8"," ","P","22","     0.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.70"," ","R","22","    1.08"," ","R","22","    1.74"," ","R","22","    0.48"," ","R","22","    0.85"," ","R","22","    1.59"," ","R","22","    1.78"," ","R","22","    0.78"," ","R","22","    1.65"," ","R","22","     3.8"," ","P","20","     1.6"," ","P","22","     0.9"," ","P","22","     0.6"," ","P","22","     0.4"," ","P","22","     0.2"," ","P","22","     0.2"," ","P","22","     0.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","20","     0.0"," ","P","20","     3.8"," ","P","20","     0.0"," ","P","20","     0.0"," ","P","20","     2.3"," ","P","20","     5.6"," ","P","20","     0.0"," ","P","20","     3.4"," ","P","20","     1.6"," ","P","22","     1.2"," ","P","22","     1.0"," ","P","22","     0.7"," ","P","22","     0.5"," ","P","22","     0.2"," ","P","22","     0.0"," ","P","22"
