"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1COLR0372","01"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","01","99","99","    0.48"," ","R","16","     3.9"," ","P","16","     1.6"," ","P","16","     0.3"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.17"," ","R","16","    0.43"," ","R","16","    0.69"," ","R","16","    0.15"," ","R","16","    0.37"," ","R","16","    0.50"," ","R","16","    0.74"," ","R","16","    0.23"," ","R","16","    0.62"," ","R","16"
"US1COLR0372","02"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","02","99","99","    0.59"," ","R","16","     6.0"," ","P","16","     2.4"," ","P","16","     0.6"," ","P","16","     0.2"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.33"," ","R","16","    0.61"," ","R","16","    0.82"," ","R","16","    0.28"," ","R","16","    0.43"," ","R","16","    0.69"," ","R","16","    0.87"," ","R","16","    0.35"," ","R","16","    0.74"," ","R","16"
"US1COLR0372","03"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","03","99","99","    1.31"," ","R","16","     4.9"," ","P","16","     2.9"," ","P","16","     1.6"," ","P","16","     0.6"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.57"," ","R","16","    1.04"," ","R","16","    1.56"," ","R","16","    0.49"," ","R","16","    0.89"," ","R","16","    1.22"," ","R","16","    1.72"," ","R","16","    0.79"," ","R","16","    1.42"," ","R","16"
"US1COLR0372","04"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","04","99","99","    2.12"," ","R","15","     8.2"," ","P","16","     3.9"," ","P","16","     2.4"," ","P","16","     1.5"," ","P","16","     0.4"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    1.13"," ","R","15","    2.13"," ","R","15","    2.73"," ","R","15","    0.94"," ","R","15","    1.88"," ","R","15","    2.44"," ","R","15","    2.81"," ","R","15","    1.29"," ","R","15","    2.52"," ","R","15"
"US1COLR0372","05"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","05","99","99","    2.91"," ","R","15","    12.5"," ","P","16","     6.5"," ","P","16","     3.7"," ","P","16","     2.0"," ","P","16","     0.7"," ","P","16","     0.1"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    1.70"," ","R","15","    2.30"," ","R","15","    3.77"," ","R","15","    1.58"," ","R","15","    2.05"," ","R","15","    2.49"," ","R","15","    4.52"," ","R","15","    1.88"," ","R","15","    2.88"," ","R","15"
"US1COLR0372","06"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","06","99","99","    1.86"," ","R","15","     9.3"," ","P","18","     3.9"," ","P","18","     2.1"," ","P","18","     1.0"," ","P","18","     0.2"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","     0.0"," ","P","18","    0.82"," ","R","15","    2.10"," ","R","15","    2.42"," ","R","15","    0.66"," ","R","15","    1.61"," ","R","15","    2.24"," ","R","15","    2.71"," ","R","15","    1.27"," ","R","15","    2.31"," ","R","15"
"US1COLR0372","07"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","07","99","99","    1.70"," ","R","15","    11.1"," ","P","16","     4.2"," ","P","16","     2.3"," ","P","16","     0.8"," ","P","16","     0.2"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","     0.0"," ","P","16","    0.95"," ","R","15","    1.42"," ","R","15","    2.28"," ","R","15","    0.63"," ","R","15","    1.16"," ","R","15","    1.62"," ","R","15","    2.49"," ","R","15","    1.02"," ","R","15","    1.85"," ","R","15"
"US1COLR0372","08"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","08","99","99","    1.56"," ","R","16","    10.0"," ","P","17","     2.8"," ","P","17","     1.1"," ","P","17","     0.4"," ","P","17","     0.2"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.62"," ","R","16","    1.11"," ","R","16","    2.37"," ","R","16","    0.53"," ","R","16","    0.91"," ","R","16","    1.33"," ","R","16","    2.47"," ","R","16","    0.82"," ","R","16","    1.81"," ","R","16"
"US1COLR0372","09"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","09","99","99","    1.53"," ","R","17","     7.5"," ","P","17","     2.9"," ","P","17","     1.8"," ","P","17","     0.9"," ","P","17","     0.2"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.57"," ","R","17","    1.23"," ","R","17","    2.29"," ","R","17","    0.43"," ","R","17","    0.97"," ","R","17","    1.64"," ","R","17","    2.39"," ","R","17","    0.78"," ","R","17","    1.65"," ","R","17"
"US1COLR0372","10"," 40.5468","-105.0944","1545.9","FCL 2.1 S, CO US","10","99","99","    1.39"," ","R","17","     6.8"," ","P","17","     3.8"," ","P","17","     2.1"," ","P","17","     1.1"," ","P","17","     0.1"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","     0.0"," ","P","17","    0.85"," ","R","17","    1.23"," ","R","17","    1.88"," ","R","17","    0.69"," ","R","17","    0.98"," ","R","17","    1.66"," ","R","17","    2.08"," ","R","17","    0.95"," ","R","17","    1.78"," ","R","17"
