"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1FLBV0001","01"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","01","99","99","    2.64"," ","R","13","     9.2"," ","P","13","     5.5"," ","P","13","     3.4"," ","P","13","     1.5"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.45"," ","R","13","    2.33"," ","R","13","    3.04"," ","R","13","    1.36"," ","R","13","    2.00"," ","R","13","    2.52"," ","R","13","    3.56"," ","R","13","    1.67"," ","R","13","    2.73"," ","R","13"
"US1FLBV0001","02"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","02","99","99","    2.60"," ","R","13","     6.9"," ","P","13","     3.8"," ","P","13","     2.7"," ","P","13","     1.6"," ","P","13","     0.6"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.32"," ","R","13","    2.00"," ","R","13","    3.41"," ","R","13","    1.21"," ","R","13","    1.72"," ","R","13","    2.55"," ","R","13","    3.70"," ","R","13","    1.59"," ","R","13","    2.88"," ","R","13"
"US1FLBV0001","03"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","03","99","99","    2.97"," ","R","13","     6.8"," ","P","13","     3.9"," ","P","13","     2.5"," ","P","13","     1.8"," ","P","13","     0.6"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.99"," ","R","13","    2.24"," ","R","13","    4.44"," ","R","13","    0.76"," ","R","13","    1.56"," ","R","13","    3.04"," ","R","13","    4.71"," ","R","13","    1.30"," ","R","13","    3.42"," ","R","13"
"US1FLBV0001","04"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","04","99","99","    3.05"," ","R","13","     8.5"," ","P","13","     4.5"," ","P","13","     3.0"," ","P","13","     1.8"," ","P","13","     0.8"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.12"," ","R","13","    2.88"," ","R","13","    3.49"," ","R","13","    2.06"," ","R","13","    2.74"," ","R","13","    3.01"," ","R","13","    3.97"," ","R","13","    2.40"," ","R","13","    3.16"," ","R","13"
"US1FLBV0001","05"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","05","99","99","    4.21"," ","R","13","    11.1"," ","P","13","     7.2"," ","P","13","     5.8"," ","P","13","     4.2"," ","P","13","     1.8"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    1.90"," ","R","13","    3.79"," ","R","13","    5.72"," ","R","13","    1.42"," ","R","13","    2.96"," ","R","13","    3.98"," ","R","13","    6.00"," ","R","13","    2.56"," ","R","13","    4.65"," ","R","13"
"US1FLBV0001","06"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","06","99","99","    9.72"," ","R","13","    16.5"," ","P","13","    10.4"," ","P","13","     8.2"," ","P","13","     5.4"," ","P","13","     2.4"," ","P","13","     0.7"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    6.36"," ","R","13","    9.31"," ","R","13","   12.55"," ","R","13","    5.84"," ","R","13","    8.57"," ","R","13","   10.82"," ","R","13","   13.87"," ","R","13","    7.13"," ","R","13","   11.33"," ","R","13"
"US1FLBV0001","07"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","07","99","99","    7.40"," ","R","13","    18.3"," ","P","13","    12.2"," ","P","13","     8.2"," ","P","13","     5.5"," ","P","13","     2.5"," ","P","13","     0.7"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    5.82"," ","R","13","    7.72"," ","R","13","    9.13"," ","R","13","    3.79"," ","R","13","    6.98"," ","R","13","    8.21"," ","R","13","    9.49"," ","R","13","    6.76"," ","R","13","    8.66"," ","R","13"
"US1FLBV0001","08"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","08","99","99","    7.35"," ","R","13","    18.9"," ","P","13","    10.5"," ","P","13","     7.2"," ","P","13","     4.8"," ","P","13","     2.3"," ","P","13","     0.4"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","    4.98"," ","R","13","    7.36"," ","R","13","    9.59"," ","R","13","    4.64"," ","R","13","    5.85"," ","R","13","    7.89"," ","R","13","    9.68"," ","R","13","    5.35"," ","R","13","    8.35"," ","R","13"
"US1FLBV0001","09"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","09","99","99","    8.28"," ","R","13","    17.5"," ","P","13","    10.8"," ","P","13","     6.9"," ","P","13","     4.3"," ","P","13","     2.2"," ","P","13","     0.8"," ","P","13","     0.1"," ","P","13","     0.1"," ","P","13","    5.37"," ","R","13","    7.37"," ","R","13","   10.23"," ","R","13","    5.02"," ","R","13","    6.95"," ","R","13","    8.18"," ","R","13","   10.43"," ","R","13","    6.73"," ","R","13","    9.86"," ","R","13"
"US1FLBV0001","10"," 27.9512"," -80.6420","  11.9","PALM BAY 2.6 SSE, FL US","10","99","99","    6.03"," ","R","14","    12.3"," ","P","14","     7.7"," ","P","14","     4.6"," ","P","14","     2.9"," ","P","14","     1.2"," ","P","14","     0.3"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","    3.13"," ","R","14","    5.34"," ","R","14","    7.87"," ","R","14","    2.55"," ","R","14","    4.31"," ","R","14","    6.19"," ","R","14","    8.55"," ","R","14","    3.34"," ","R","14","    6.77"," ","R","14"
