"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1GAFT0024","01"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","01","99","99","    4.68"," ","E","10"
"US1GAFT0024","02"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","02","99","99","    4.25"," ","E"," 9"
"US1GAFT0024","03"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","03","99","99","    4.80"," ","E","10"
"US1GAFT0024","04"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","04","99","99","    4.02"," ","E","10"
"US1GAFT0024","05"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","05","99","99","    4.23"," ","E"," 9"
"US1GAFT0024","06"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","06","99","99","    4.55"," ","E","11"
"US1GAFT0024","07"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","07","99","99","    5.06"," ","E"," 9"
"US1GAFT0024","08"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","08","99","99","    4.48"," ","E"," 9"
"US1GAFT0024","09"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","09","99","99","    3.92"," ","E"," 9"
"US1GAFT0024","10"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","10","99","99","    3.51"," ","E"," 8"
"US1GAFT0024","11"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","11","99","99","    4.09"," ","E","10"
"US1GAFT0024","12"," 33.7881"," -84.3966"," 278.3","ATLANTA 2.3 NE, GA US","12","99","99","    4.21"," ","E"," 9"
