"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1GALW0008","01"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","01","99","99","    4.93"," ","E"," 6"
"US1GALW0008","02"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","02","99","99","    4.53"," ","E"," 6"
"US1GALW0008","03"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","03","99","99","    5.06"," ","E"," 6"
"US1GALW0008","04"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","04","99","99","    3.64"," ","E"," 8"
"US1GALW0008","05"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","05","99","99","    2.82"," ","E"," 6"
"US1GALW0008","06"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","06","99","99","    6.96"," ","E"," 4"
"US1GALW0008","07"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","07","99","99","    6.44"," ","E"," 2"
"US1GALW0008","08"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","08","99","99","    5.09"," ","E"," 4"
"US1GALW0008","09"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","09","99","99","    5.17"," ","E"," 5"
"US1GALW0008","10"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","10","99","99","    3.29"," ","E"," 7"
"US1GALW0008","11"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","11","99","99","    2.96"," ","E"," 9"
"US1GALW0008","12"," 30.8859"," -83.2979","  69.8","VALDOSTA 2.8 NNW, GA US","12","99","99","    3.73"," ","E"," 8"
