"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ILPR0008","01"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","01","99","99","    2.11"," ","E"," 9"
"US1ILPR0008","02"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","02","99","99","    2.00"," ","E"," 8"
"US1ILPR0008","03"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","03","99","99","    2.56"," ","E"," 8"
"US1ILPR0008","04"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","04","99","99","    3.89"," ","E"," 9"
"US1ILPR0008","05"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","05","99","99","    4.77"," ","E"," 9"
"US1ILPR0008","06"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","06","99","99","    4.75"," ","E"," 9"
"US1ILPR0008","07"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","07","99","99","    3.78"," ","E"," 9"
"US1ILPR0008","08"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","08","99","99","    3.48"," ","E"," 9"
"US1ILPR0008","09"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","09","99","99","    3.76"," ","E"," 9"
"US1ILPR0008","10"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","10","99","99","    3.27"," ","E","10"
"US1ILPR0008","11"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","11","99","99","    2.86"," ","E","10"
"US1ILPR0008","12"," 40.7683"," -89.6672"," 182.9","PEORIA 3.4 WNW, IL US","12","99","99","    2.12"," ","E","10"
