"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1INAL0005","01"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","01","99","99","    2.58"," ","R","12","    13.2"," ","P","14","     5.9"," ","P","14","     3.1"," ","P","14","     1.4"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.48"," ","R","12","    2.45"," ","R","12","    3.75"," ","R","12","    1.41"," ","R","12","    2.06"," ","R","12","    2.68"," ","R","12","    3.88"," ","R","12","    1.61"," ","R","12","    2.78"," ","R","12"
"US1INAL0005","02"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","02","99","99","    2.15"," ","R","13","    12.1"," ","P","13","     6.1"," ","P","13","     3.2"," ","P","13","     1.6"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.39"," ","R","13","    1.91"," ","R","13","    2.66"," ","R","13","    1.27"," ","R","13","    1.74"," ","R","13","    2.06"," ","R","13","    2.85"," ","R","13","    1.58"," ","R","13","    2.32"," ","R","13"
"US1INAL0005","03"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","03","99","99","    2.58"," ","R","12","    10.7"," ","P","14","     6.0"," ","P","14","     3.9"," ","P","14","     1.8"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.79"," ","R","12","    2.45"," ","R","12","    3.13"," ","R","12","    1.63"," ","R","12","    2.18"," ","R","12","    2.75"," ","R","12","    3.20"," ","R","12","    2.01"," ","R","12","    2.93"," ","R","12"
"US1INAL0005","04"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","04","99","99","    3.62"," ","R","10","    12.5"," ","P","13","     7.1"," ","P","13","     4.7"," ","P","13","     2.6"," ","P","13","     0.9"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.60"," ","R","10","    3.53"," ","R","10","    4.76"," ","R","10","    2.34"," ","R","10","    3.09"," ","R","10","    3.85"," ","R","10","    5.07"," ","R","10","    2.79"," ","R","10","    4.43"," ","R","10"
"US1INAL0005","05"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","05","99","99","    4.74"," ","R","12","    13.6"," ","P","12","     8.0"," ","P","12","     5.5"," ","P","12","     2.4"," ","P","12","     0.8"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.85"," ","R","12","    4.32"," ","R","12","    6.00"," ","R","12","    2.78"," ","R","12","    3.83"," ","R","12","    4.81"," ","R","12","    6.80"," ","R","12","    3.36"," ","R","12","    5.45"," ","R","12"
"US1INAL0005","06"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","06","99","99","    4.11"," ","R","12","    12.6"," ","P","13","     7.6"," ","P","13","     5.6"," ","P","13","     3.0"," ","P","13","     1.1"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.30"," ","R","12","    3.75"," ","R","12","    4.94"," ","R","12","    2.18"," ","R","12","    3.27"," ","R","12","    4.42"," ","R","12","    5.25"," ","R","12","    2.90"," ","R","12","    4.56"," ","R","12"
"US1INAL0005","07"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","07","99","99","    3.44"," ","R","13","     9.5"," ","P","14","     5.4"," ","P","14","     3.1"," ","P","14","     2.0"," ","P","14","     0.7"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    2.08"," ","R","13","    3.18"," ","R","13","    4.72"," ","R","13","    1.83"," ","R","13","    2.62"," ","R","13","    3.27"," ","R","13","    5.11"," ","R","13","    2.43"," ","R","13","    3.61"," ","R","13"
"US1INAL0005","08"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","08","99","99","    3.75"," ","R","13","    10.8"," ","P","13","     6.5"," ","P","13","     4.5"," ","P","13","     2.3"," ","P","13","     1.0"," ","P","13","     0.4"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    2.99"," ","R","13","    3.62"," ","R","13","    4.31"," ","R","13","    2.65"," ","R","13","    3.51"," ","R","13","    3.91"," ","R","13","    4.43"," ","R","13","    3.40"," ","R","13","    3.98"," ","R","13"
"US1INAL0005","09"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","09","99","99","    2.85"," ","R","13","    10.1"," ","P","13","     5.5"," ","P","13","     3.0"," ","P","13","     1.7"," ","P","13","     0.6"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.97"," ","R","13","    2.52"," ","R","13","    3.56"," ","R","13","    1.92"," ","R","13","    2.22"," ","R","13","    2.77"," ","R","13","    3.66"," ","R","13","    2.08"," ","R","13","    3.17"," ","R","13"
"US1INAL0005","10"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","10","99","99","    2.77"," ","R","11","    12.5"," ","P","14","     7.0"," ","P","14","     3.7"," ","P","14","     1.9"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.79"," ","R","11","    2.53"," ","R","11","    3.30"," ","R","11","    1.72"," ","R","11","    2.15"," ","R","11","    2.74"," ","R","11","    3.58"," ","R","11","    1.94"," ","R","11","    2.97"," ","R","11"
"US1INAL0005","11"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","11","99","99","    2.83"," ","R","11","     9.9"," ","P","14","     5.5"," ","P","14","     3.5"," ","P","14","     1.7"," ","P","14","     0.8"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.92"," ","R","11","    2.67"," ","R","11","    3.46"," ","R","11","    1.79"," ","R","11","    2.10"," ","R","11","    2.90"," ","R","11","    3.60"," ","R","11","    2.03"," ","R","11","    3.04"," ","R","11"
"US1INAL0005","12"," 41.2144"," -85.1242"," 257.9","HUNTERTOWN 2.6 ESE, IN US","12","99","99","    2.41"," ","R","15","    12.8"," ","P","15","     6.2"," ","P","15","     3.4"," ","P","15","     1.7"," ","P","15","     0.4"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","     0.0"," ","P","15","    1.43"," ","R","15","    2.46"," ","R","15","    3.34"," ","R","15","    1.33"," ","R","15","    1.94"," ","R","15","    2.62"," ","R","15","    3.49"," ","R","15","    1.71"," ","R","15","    2.90"," ","R","15"
