"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1KSJO0053","01"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","01","99","99","    1.28"," ","E"," 4"
"US1KSJO0053","02"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","02","99","99","    1.68"," ","E"," 3"
"US1KSJO0053","03"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","03","99","99","    2.51"," ","E"," 4"
"US1KSJO0053","04"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","04","99","99","    4.27"," ","E"," 4"
"US1KSJO0053","05"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","05","99","99","    5.51"," ","E"," 4"
"US1KSJO0053","06"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","06","99","99","    5.23"," ","E"," 3"
"US1KSJO0053","07"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","07","99","99","    4.78"," ","E"," 5"
"US1KSJO0053","08"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","08","99","99","    4.26"," ","E"," 4"
"US1KSJO0053","09"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","09","99","99","    3.98"," ","E"," 4"
"US1KSJO0053","10"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","10","99","99","    3.34"," ","E"," 5"
"US1KSJO0053","11"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","11","99","99","    2.12"," ","E"," 4"
"US1KSJO0053","12"," 38.8669"," -94.6923"," 299.9","OVERLAND PARK 3.3 S, KS US","12","99","99","    1.69"," ","E"," 5"
