"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MNHN0110","01"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","01","99","99","    0.81"," ","E"," 6"
"US1MNHN0110","02"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","02","99","99","    0.77"," ","E"," 4"
"US1MNHN0110","03"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","03","99","99","    1.75"," ","E"," 5"
"US1MNHN0110","04"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","04","99","99","    3.06"," ","E"," 5"
"US1MNHN0110","05"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","05","99","99","    4.46"," ","E"," 6"
"US1MNHN0110","06"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","06","99","99","    4.68"," ","E"," 5"
"US1MNHN0110","07"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","07","99","99","    4.89"," ","E"," 5"
"US1MNHN0110","08"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","08","99","99","    4.65"," ","E"," 6"
"US1MNHN0110","09"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","09","99","99","    3.44"," ","E"," 7"
"US1MNHN0110","10"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","10","99","99","    2.77"," ","E"," 6"
"US1MNHN0110","11"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","11","99","99","    1.57"," ","E"," 4"
"US1MNHN0110","12"," 44.8687"," -93.3394"," 253.9","EDINA 1.9 SSE, MN US","12","99","99","    1.17"," ","E"," 5"
