"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NMBR0148","01"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","01","99","99","    0.45"," ","R","13","     3.6"," ","P","13","     1.8"," ","P","13","     0.6"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.13"," ","R","13","    0.37"," ","R","13","    0.67"," ","R","13","    0.09"," ","R","13","    0.23"," ","R","13","    0.40"," ","R","13","    0.73"," ","R","13","    0.18"," ","R","13","    0.49"," ","R","13"
"US1NMBR0148","02"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","02","99","99","    0.48"," ","R","13","     2.8"," ","P","13","     1.3"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.17"," ","R","13","    0.30"," ","R","13","    0.60"," ","R","13","    0.13"," ","R","13","    0.24"," ","R","13","    0.40"," ","R","13","    0.70"," ","R","13","    0.22"," ","R","13","    0.55"," ","R","13"
"US1NMBR0148","03"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","03","99","99","    0.65"," ","R","13","     2.6"," ","P","13","     1.1"," ","P","13","     0.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.18"," ","R","13","    0.44"," ","R","13","    0.97"," ","R","13","    0.15"," ","R","13","    0.36"," ","R","13","    0.72"," ","R","13","    1.03"," ","R","13","    0.27"," ","R","13","    0.85"," ","R","13"
"US1NMBR0148","04"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","04","99","99","    0.67"," ","R","13","     2.8"," ","P","13","     1.8"," ","P","13","     1.0"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.06"," ","R","13","    0.47"," ","R","13","    0.90"," ","R","13","    0.03"," ","R","13","    0.24"," ","R","13","    0.66"," ","R","13","    0.98"," ","R","13","    0.11"," ","R","13","    0.76"," ","R","13"
"US1NMBR0148","05"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","05","99","99","    0.42"," ","R","14","     4.4"," ","P","14","     1.4"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.09"," ","R","14","    0.21"," ","R","14","    0.47"," ","R","14","    0.07"," ","R","14","    0.13"," ","R","14","    0.38"," ","R","14","    0.49"," ","R","14","    0.12"," ","R","14","    0.40"," ","R","14"
"US1NMBR0148","06"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","06","99","99","    0.50"," ","R","14","     3.5"," ","P","14","     1.5"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.14"," ","R","14","    0.37"," ","R","14","    0.72"," ","R","14","    0.14"," ","R","14","    0.29"," ","R","14","    0.55"," ","R","14","    0.75"," ","R","14","    0.22"," ","R","14","    0.60"," ","R","14"
"US1NMBR0148","07"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","07","99","99","    1.81"," ","R","14","    10.1"," ","P","14","     4.9"," ","P","14","     2.1"," ","P","14","     0.9"," ","P","14","     0.6"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.12"," ","R","14","    1.66"," ","R","14","    2.35"," ","R","14","    1.00"," ","R","14","    1.31"," ","R","14","    1.99"," ","R","14","    2.46"," ","R","14","    1.22"," ","R","14","    2.15"," ","R","14"
"US1NMBR0148","08"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","08","99","99","    1.57"," ","R","14","     7.9"," ","P","14","     3.9"," ","P","14","     1.8"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.04"," ","R","14","    1.58"," ","R","14","    1.99"," ","R","14","    0.95"," ","R","14","    1.39"," ","R","14","    1.65"," ","R","14","    2.29"," ","R","14","    1.28"," ","R","14","    1.74"," ","R","14"
"US1NMBR0148","09"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","09","99","99","    1.52"," ","R","13","     6.1"," ","P","13","     2.9"," ","P","13","     1.5"," ","P","13","     1.1"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.80"," ","R","13","    1.35"," ","R","13","    1.94"," ","R","13","    0.63"," ","R","13","    1.04"," ","R","13","    1.49"," ","R","13","    2.01"," ","R","13","    0.84"," ","R","13","    1.73"," ","R","13"
"US1NMBR0148","10"," 35.0944","-106.6123","1572.8","ALBUQUERQUE 1.7 SSE, NM US","10","99","99","    0.96"," ","R","13","     4.2"," ","P","13","     2.3"," ","P","13","     1.0"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.26"," ","R","13","    0.64"," ","R","13","    1.60"," ","R","13","    0.21"," ","R","13","    0.46"," ","R","13","    1.12"," ","R","13","    1.69"," ","R","13","    0.36"," ","R","13","    1.41"," ","R","13"
