"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL"
"US1NVWH0002","01"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","01","99","99","    1.39"," ","R","13","     7.1"," ","P","13","     3.5"," ","P","13","     1.8"," ","P","13","     0.9"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.23"," ","R","13","    1.06"," ","R","13","    1.87"," ","R","13","    0.19"," ","R","13","    0.65"," ","R","13","    1.33"," ","R","13","    2.54"," ","R","13","    0.39"," ","R","13","    1.49"," ","R","13","     6.6"," ","P","13","     4.4"," ","P","13","     2.2"," ","P","13","     0.8"," ","P","13","     0.7"," ","P","13","     0.5"," ","P","13","     0.4"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     1.1"," ","P","13","     2.4"," ","P","13","    12.0"," ","P","13","     0.9"," ","P","13","     2.2"," ","P","13","     4.0"," ","P","13","    14.8"," ","P","13","     1.8"," ","P","13","     5.9"," ","P","13"
"US1NVWH0002","02"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","02","99","99","    1.28"," ","R","13","     6.8"," ","P","13","     3.8"," ","P","13","     2.1"," ","P","13","     0.9"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.35"," ","R","13","    1.01"," ","R","13","    1.67"," ","R","13","    0.29"," ","R","13","    0.82"," ","R","13","    1.25"," ","R","13","    2.02"," ","R","13","    0.54"," ","R","13","    1.43"," ","R","13","     9.6"," ","P","13","     4.4"," ","P","13","     2.4"," ","P","13","     1.6"," ","P","13","     1.0"," ","P","13","     0.8"," ","P","13","     0.6"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     1.7"," ","P","13","     7.8"," ","P","13","    13.8"," ","P","13","     1.2"," ","P","13","     4.7"," ","P","13","     9.7"," ","P","13","    17.9"," ","P","13","     2.4"," ","P","13","    13.0"," ","P","13"
"US1NVWH0002","03"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","03","99","99","    1.17"," ","R","14","     7.2"," ","P","14","     3.3"," ","P","14","     1.3"," ","P","14","     0.3"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.42"," ","R","14","    0.95"," ","R","14","    1.54"," ","R","14","    0.36"," ","R","14","    0.63"," ","R","14","    1.26"," ","R","14","    1.68"," ","R","14","    0.52"," ","R","14","    1.45"," ","R","14","     6.1"," ","P","13","     3.1"," ","P","14","     1.5"," ","P","14","     0.9"," ","P","14","     0.5"," ","P","14","     0.5"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.5"," ","P","13","     2.8"," ","P","13","     7.6"," ","P","13","     0.5"," ","P","13","     1.2"," ","P","13","     5.7"," ","P","13","    10.3"," ","P","13","     1.0"," ","P","13","     6.9"," ","P","13"
"US1NVWH0002","04"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","04","99","99","    0.64"," ","R","14","     5.1"," ","P","14","     1.8"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.26"," ","R","14","    0.49"," ","R","14","    0.92"," ","R","14","    0.19"," ","R","14","    0.34"," ","R","14","    0.69"," ","R","14","    0.97"," ","R","14","    0.33"," ","R","14","    0.85"," ","R","14","     0.9"," ","P","14","     1.2"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.6"," ","P","14","     1.3"," ","P","14","     0.0"," ","P","14","     0.4"," ","P","14","     0.9"," ","P","14","     1.4"," ","P","14","     0.1"," ","P","14","     1.2"," ","P","14"
"US1NVWH0002","05"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","05","99","99","    0.67"," ","R","14","     6.1"," ","P","14","     2.4"," ","P","14","     0.6"," ","P","14","     0.4"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.25"," ","R","14","    0.55"," ","R","14","    0.89"," ","R","14","    0.21"," ","R","14","    0.42"," ","R","14","    0.63"," ","R","14","    1.24"," ","R","14","    0.35"," ","R","14","    0.69"," ","R","14","     0.1"," ","P","12","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12"
"US1NVWH0002","06"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","06","99","99","    0.49"," ","R","14","     2.7"," ","P","14","     1.2"," ","P","14","     0.7"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.08"," ","R","14","    0.30"," ","R","14","    0.69"," ","R","14","    0.06"," ","R","14","    0.15"," ","R","14","    0.38"," ","R","14","    0.79"," ","R","14","    0.12"," ","R","14","    0.55"," ","R","14","     0.0"," ","P","12","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12"
"US1NVWH0002","07"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","07","99","99","    0.37"," ","R","14","     2.4"," ","P","14","     1.1"," ","P","14","     0.5"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.03"," ","R","14","    0.18"," ","R","14","    0.50"," ","R","14","    0.00"," ","R","14","    0.11"," ","R","14","    0.28"," ","R","14","    0.55"," ","R","14","    0.07"," ","R","14","    0.40"," ","R","14","     0.0"," ","P","11","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"US1NVWH0002","08"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","08","99","99","    0.28"," ","R","14","     1.6"," ","P","14","     0.7"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.00"," ","R","14","    0.04"," ","R","14","    0.31"," ","R","14","    0.00"," ","R","14","    0.01"," ","R","14","    0.20"," ","R","14","    0.45"," ","R","14","    0.00"," ","R","14","    0.23"," ","R","14","     0.0"," ","P","10","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10"
"US1NVWH0002","09"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","09","99","99","    0.22"," ","R","14","     2.0"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.00"," ","R","14","    0.04"," ","R","14","    0.37"," ","R","14","    0.00"," ","R","14","    0.02"," ","R","14","    0.18"," ","R","14","    0.44"," ","R","14","    0.00"," ","R","14","    0.27"," ","R","14","     0.0"," ","P","11","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"US1NVWH0002","10"," 39.5573","-119.8144","1494.1","RENO 1.4 NNE, NV US","10","99","99","    0.59"," ","R","14","     3.3"," ","P","14","     1.5"," ","P","14","     1.1"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.03"," ","R","14","    0.22"," ","R","14","    0.54"," ","R","14","    0.01"," ","R","14","    0.18"," ","R","14","    0.34"," ","R","14","    0.65"," ","R","14","    0.10"," ","R","14","    0.38"," ","R","14","     0.2"," ","P","11","     0.1"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
