"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1NVWH0011","01"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","01","99","99","    1.61"," ","R","13","     7.2"," ","P","13","     3.4"," ","P","13","     1.8"," ","P","13","     1.1"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.22"," ","R","13","    1.09"," ","R","13","    2.24"," ","R","13","    0.12"," ","R","13","    0.74"," ","R","13","    1.60"," ","R","13","    3.12"," ","R","13","    0.39"," ","R","13","    1.87"," ","R","13"
"US1NVWH0011","02"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","02","99","99","    1.18"," ","R","13","     7.1"," ","P","13","     3.3"," ","P","13","     1.9"," ","P","13","     0.9"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.25"," ","R","13","    0.81"," ","R","13","    1.61"," ","R","13","    0.21"," ","R","13","    0.69"," ","R","13","    1.09"," ","R","13","    1.74"," ","R","13","    0.56"," ","R","13","    1.23"," ","R","13"
"US1NVWH0011","03"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","03","99","99","    1.25"," ","R","12","     7.1"," ","P","14","     3.0"," ","P","14","     1.3"," ","P","14","     0.4"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.42"," ","R","12","    1.10"," ","R","12","    1.46"," ","R","12","    0.35"," ","R","12","    0.89"," ","R","12","    1.24"," ","R","12","    1.86"," ","R","12","    0.70"," ","R","12","    1.34"," ","R","12"
"US1NVWH0011","04"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","04","99","99","    0.60"," ","R","14","     4.7"," ","P","14","     1.6"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.23"," ","R","14","    0.47"," ","R","14","    0.85"," ","R","14","    0.19"," ","R","14","    0.33"," ","R","14","    0.60"," ","R","14","    0.89"," ","R","14","    0.28"," ","R","14","    0.67"," ","R","14"
"US1NVWH0011","05"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","05","99","99","    0.71"," ","R","13","     6.1"," ","P","14","     2.2"," ","P","14","     0.6"," ","P","14","     0.4"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.23"," ","R","13","    0.52"," ","R","13","    1.05"," ","R","13","    0.18"," ","R","13","    0.35"," ","R","13","    0.74"," ","R","13","    1.19"," ","R","13","    0.33"," ","R","13","    0.85"," ","R","13"
"US1NVWH0011","06"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","06","99","99","    0.42"," ","R","13","     2.4"," ","P","14","     1.2"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.04"," ","R","13","    0.19"," ","R","13","    0.81"," ","R","13","    0.00"," ","R","13","    0.13"," ","R","13","    0.36"," ","R","13","    0.85"," ","R","13","    0.10"," ","R","13","    0.57"," ","R","13"
"US1NVWH0011","07"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","07","99","99","    0.35"," ","R","14","     2.1"," ","P","14","     0.9"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.07"," ","R","14","    0.29"," ","R","14","    0.56"," ","R","14","    0.04"," ","R","14","    0.16"," ","R","14","    0.39"," ","R","14","    0.57"," ","R","14","    0.10"," ","R","14","    0.49"," ","R","14"
"US1NVWH0011","08"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","08","99","99","    0.39"," ","R","14","     1.8"," ","P","14","     0.8"," ","P","14","     0.4"," ","P","14","     0.3"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.00"," ","R","14","    0.11"," ","R","14","    0.59"," ","R","14","    0.00"," ","R","14","    0.06"," ","R","14","    0.17"," ","R","14","    0.64"," ","R","14","    0.00"," ","R","14","    0.23"," ","R","14"
"US1NVWH0011","09"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","09","99","99","    0.16"," ","R","13","     2.1"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.00"," ","R","13","    0.05"," ","R","13","    0.19"," ","R","13","    0.00"," ","R","13","    0.04"," ","R","13","    0.08"," ","R","13","    0.26"," ","R","13","    0.02"," ","R","13","    0.11"," ","R","13"
"US1NVWH0011","10"," 39.5084","-119.8442","1393.9","RENO 2.4 SSW, NV US","10","99","99","    0.64"," ","R","14","     3.6"," ","P","14","     1.7"," ","P","14","     0.9"," ","P","14","     0.6"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.06"," ","R","14","    0.22"," ","R","14","    0.60"," ","R","14","    0.04"," ","R","14","    0.17"," ","R","14","    0.36"," ","R","14","    0.70"," ","R","14","    0.13"," ","R","14","    0.42"," ","R","14"
