"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NYAB0021","01"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","01","99","99","    2.64"," ","E"," 8"
"US1NYAB0021","02"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","02","99","99","    2.27"," ","E"," 9"
"US1NYAB0021","03"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","03","99","99","    3.20"," ","E"," 9"
"US1NYAB0021","04"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","04","99","99","    3.13"," ","E"," 8"
"US1NYAB0021","05"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","05","99","99","    3.79"," ","E"," 9"
"US1NYAB0021","06"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","06","99","99","    4.35"," ","E"," 9"
"US1NYAB0021","07"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","07","99","99","    4.63"," ","E"," 4"
"US1NYAB0021","08"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","08","99","99","    4.06"," ","E"," 9"
"US1NYAB0021","09"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","09","99","99","    3.79"," ","E"," 6"
"US1NYAB0021","10"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","10","99","99","    4.10"," ","E"," 9"
"US1NYAB0021","11"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","11","99","99","    2.90"," ","E"," 8"
"US1NYAB0021","12"," 42.6918"," -73.8311","  79.2","NWS ALBANY, NY US","12","99","99","    3.19"," ","E"," 7"
