"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NYBM0004","01"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","01","99","99","    2.75"," ","E","10"
"US1NYBM0004","02"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","02","99","99","    2.35"," ","E"," 5"
"US1NYBM0004","03"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","03","99","99","    3.11"," ","E"," 9"
"US1NYBM0004","04"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","04","99","99","    3.65"," ","E","12"
"US1NYBM0004","05"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","05","99","99","    3.60"," ","E","13"
"US1NYBM0004","06"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","06","99","99","    4.41"," ","E","14"
"US1NYBM0004","07"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","07","99","99","    4.59"," ","E","16"
"US1NYBM0004","08"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","08","99","99","    4.10"," ","E","17"
"US1NYBM0004","09"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","09","99","99","    4.25"," ","E","15"
"US1NYBM0004","10"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","10","99","99","    4.00"," ","E","15"
"US1NYBM0004","11"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","11","99","99","    3.25"," ","E","13"
"US1NYBM0004","12"," 42.0296"," -76.0213"," 317.0","ENDICOTT 5.2 SSE, NY US","12","99","99","    3.03"," ","E"," 7"
