"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1OHFR0003","01"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","01","99","99","    2.95"," ","R","11","    13.0"," ","P","11","     6.1"," ","P","11","     3.2"," ","P","11","     1.5"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.00"," ","R","11","    2.61"," ","R","11","    3.73"," ","R","11","    1.92"," ","R","11","    2.35"," ","R","11","    3.08"," ","R","11","    3.88"," ","R","11","    2.08"," ","R","11","    3.26"," ","R","11"
"US1OHFR0003","02"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","02","99","99","    2.33"," ","R","12","    12.4"," ","P","12","     6.8"," ","P","12","     3.4"," ","P","12","     2.0"," ","P","12","     0.4"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.52"," ","R","12","    2.04"," ","R","12","    2.64"," ","R","12","    1.49"," ","R","12","    1.77"," ","R","12","    2.35"," ","R","12","    2.85"," ","R","12","    1.68"," ","R","12","    2.49"," ","R","12"
"US1OHFR0003","03"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","03","99","99","    3.37"," ","R","12","    12.1"," ","P","12","     7.4"," ","P","12","     5.0"," ","P","12","     3.2"," ","P","12","     1.0"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.43"," ","R","12","    2.80"," ","R","12","    4.38"," ","R","12","    2.32"," ","R","12","    2.60"," ","R","12","    3.48"," ","R","12","    4.61"," ","R","12","    2.47"," ","R","12","    3.65"," ","R","12"
"US1OHFR0003","04"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","04","99","99","    3.95"," ","R","12","    13.4"," ","P","12","     8.6"," ","P","12","     5.6"," ","P","12","     2.8"," ","P","12","     0.7"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.14"," ","R","12","    3.75"," ","R","12","    4.80"," ","R","12","    2.77"," ","R","12","    3.56"," ","R","12","    4.22"," ","R","12","    4.93"," ","R","12","    3.43"," ","R","12","    4.47"," ","R","12"
"US1OHFR0003","05"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","05","99","99","    4.59"," ","R","12","    15.0"," ","P","12","     8.9"," ","P","12","     5.1"," ","P","12","     2.6"," ","P","12","     1.0"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.01"," ","R","12","    4.27"," ","R","12","    6.23"," ","R","12","    2.83"," ","R","12","    3.79"," ","R","12","    5.26"," ","R","12","    6.33"," ","R","12","    3.22"," ","R","12","    5.74"," ","R","12"
"US1OHFR0003","06"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","06","99","99","    4.56"," ","R","12","    13.7"," ","P","12","     8.4"," ","P","12","     6.4"," ","P","12","     3.4"," ","P","12","     1.0"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.24"," ","R","12","    4.46"," ","R","12","    5.72"," ","R","12","    2.92"," ","R","12","    3.93"," ","R","12","    4.90"," ","R","12","    6.16"," ","R","12","    3.62"," ","R","12","    5.06"," ","R","12"
"US1OHFR0003","07"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","07","99","99","    4.73"," ","R","12","    11.4"," ","P","12","     6.9"," ","P","12","     4.6"," ","P","12","     3.1"," ","P","12","     1.2"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.76"," ","R","12","    4.46"," ","R","12","    5.89"," ","R","12","    2.66"," ","R","12","    3.54"," ","R","12","    4.89"," ","R","12","    6.41"," ","R","12","    3.32"," ","R","12","    5.41"," ","R","12"
"US1OHFR0003","08"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","08","99","99","    3.67"," ","R","11","     9.7"," ","P","12","     6.4"," ","P","12","     4.7"," ","P","12","     2.3"," ","P","12","     0.8"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.43"," ","R","11","    3.24"," ","R","11","    5.16"," ","R","11","    2.33"," ","R","11","    2.74"," ","R","11","    3.53"," ","R","11","    5.49"," ","R","11","    2.58"," ","R","11","    3.81"," ","R","11"
"US1OHFR0003","09"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","09","99","99","    3.11"," ","R","12","     9.5"," ","P","12","     6.0"," ","P","12","     4.0"," ","P","12","     2.1"," ","P","12","     0.8"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.21"," ","R","12","    2.86"," ","R","12","    3.63"," ","R","12","    2.16"," ","R","12","    2.67"," ","R","12","    3.02"," ","R","12","    4.18"," ","R","12","    2.38"," ","R","12","    3.35"," ","R","12"
"US1OHFR0003","10"," 39.9810"," -83.0401"," 234.1","GRANDVIEW HEIGHTS 0.1 N, OH US","10","99","99","    2.84"," ","R","12","    13.0"," ","P","12","     6.8"," ","P","12","     3.7"," ","P","12","     2.3"," ","P","12","     0.9"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.66"," ","R","12","    2.79"," ","R","12","    3.71"," ","R","12","    1.50"," ","R","12","    2.53"," ","R","12","    3.16"," ","R","12","    3.81"," ","R","12","    1.78"," ","R","12","    3.35"," ","R","12"
