"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1OKTL0053","01"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","01","99","99","    2.08"," ","E"," 5"
"US1OKTL0053","02"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","02","99","99","    1.81"," ","E"," 5"
"US1OKTL0053","03"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","03","99","99","    3.58"," ","E"," 4"
"US1OKTL0053","04"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","04","99","99","    4.41"," ","E"," 4"
"US1OKTL0053","05"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","05","99","99","    5.68"," ","E"," 5"
"US1OKTL0053","06"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","06","99","99","    4.79"," ","E"," 5"
"US1OKTL0053","07"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","07","99","99","    4.23"," ","E"," 5"
"US1OKTL0053","08"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","08","99","99","    4.28"," ","E"," 5"
"US1OKTL0053","09"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","09","99","99","    3.97"," ","E"," 5"
"US1OKTL0053","10"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","10","99","99","    3.78"," ","E"," 5"
"US1OKTL0053","11"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","11","99","99","    2.96"," ","E"," 5"
"US1OKTL0053","12"," 36.1074"," -95.9143"," 230.4","TULSA 1.4 S, OK US","12","99","99","    2.67"," ","E"," 5"
