"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1ORMT0006","01"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","01","99","99","    6.52"," ","R","12","    18.6"," ","P","12","    13.2"," ","P","12","     7.7"," ","P","12","     3.6"," ","P","12","     0.9"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    4.06"," ","R","12","    6.13"," ","R","12","    8.48"," ","R","12","    3.89"," ","R","12","    5.81"," ","R","12","    7.62"," ","R","12","    8.60"," ","R","12","    5.29"," ","R","12","    8.10"," ","R","12"
"US1ORMT0006","02"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","02","99","99","    4.29"," ","R","12","    17.7"," ","P","12","    10.4"," ","P","12","     5.4"," ","P","12","     2.4"," ","P","12","     0.5"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.43"," ","R","12","    4.08"," ","R","12","    4.99"," ","R","12","    2.06"," ","R","12","    3.52"," ","R","12","    4.39"," ","R","12","    5.22"," ","R","12","    2.88"," ","R","12","    4.74"," ","R","12"
"US1ORMT0006","03"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","03","99","99","    4.56"," ","R","12","    18.8"," ","P","12","    11.6"," ","P","12","     7.2"," ","P","12","     2.7"," ","P","12","     0.8"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.27"," ","R","12","    4.63"," ","R","12","    5.31"," ","R","12","    3.13"," ","R","12","    3.97"," ","R","12","    4.77"," ","R","12","    5.52"," ","R","12","    3.53"," ","R","12","    4.88"," ","R","12"
"US1ORMT0006","04"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","04","99","99","    3.68"," ","R","11","    17.6"," ","P","12","    10.8"," ","P","12","     5.0"," ","P","12","     1.6"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.31"," ","R","11","    3.49"," ","R","11","    4.79"," ","R","11","    2.21"," ","R","11","    2.75"," ","R","11","    4.08"," ","R","11","    5.09"," ","R","11","    2.57"," ","R","11","    4.38"," ","R","11"
"US1ORMT0006","05"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","05","99","99","    3.25"," ","R","12","    12.8"," ","P","12","     7.8"," ","P","12","     3.6"," ","P","12","     1.1"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.78"," ","R","12","    3.14"," ","R","12","    4.10"," ","R","12","    1.73"," ","R","12","    2.70"," ","R","12","    3.49"," ","R","12","    4.30"," ","R","12","    2.04"," ","R","12","    3.86"," ","R","12"
"US1ORMT0006","06"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","06","99","99","    1.63"," ","R","12","    10.2"," ","P","13","     5.1"," ","P","13","     2.4"," ","P","13","     1.0"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.14"," ","R","12","    1.48"," ","R","12","    1.92"," ","R","12","    1.06"," ","R","12","    1.25"," ","R","12","    1.64"," ","R","12","    1.93"," ","R","12","    1.18"," ","R","12","    1.84"," ","R","12"
"US1ORMT0006","07"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","07","99","99","    0.63"," ","R","13","     3.2"," ","P","13","     1.6"," ","P","13","     0.6"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.18"," ","R","13","    0.49"," ","R","13","    0.92"," ","R","13","    0.14"," ","R","13","    0.36"," ","R","13","    0.59"," ","R","13","    1.08"," ","R","13","    0.29"," ","R","13","    0.70"," ","R","13"
"US1ORMT0006","08"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","08","99","99","    0.57"," ","R","13","     3.2"," ","P","13","     1.4"," ","P","13","     0.8"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.15"," ","R","13","    0.41"," ","R","13","    0.79"," ","R","13","    0.14"," ","R","13","    0.29"," ","R","13","    0.56"," ","R","13","    0.86"," ","R","13","    0.23"," ","R","13","    0.72"," ","R","13"
"US1ORMT0006","09"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","09","99","99","    1.50"," ","R","12","     8.2"," ","P","12","     4.2"," ","P","12","     2.8"," ","P","12","     0.9"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    0.76"," ","R","12","    1.18"," ","R","12","    1.93"," ","R","12","    0.70"," ","R","12","    0.96"," ","R","12","    1.40"," ","R","12","    2.14"," ","R","12","    0.94"," ","R","12","    1.56"," ","R","12"
"US1ORMT0006","10"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","10","99","99","    3.77"," ","R","12","    15.5"," ","P","12","     9.3"," ","P","12","     5.4"," ","P","12","     2.3"," ","P","12","     0.7"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.16"," ","R","12","    3.46"," ","R","12","    4.60"," ","R","12","    1.97"," ","R","12","    3.17"," ","R","12","    3.89"," ","R","12","    4.95"," ","R","12","    2.70"," ","R","12","    4.25"," ","R","12"
"US1ORMT0006","11"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","11","99","99","    6.19"," ","R","12","    19.8"," ","P","12","    11.9"," ","P","12","     6.9"," ","P","12","     3.7"," ","P","12","     1.0"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.86"," ","R","12","    6.12"," ","R","12","    7.92"," ","R","12","    3.47"," ","R","12","    5.81"," ","R","12","    6.72"," ","R","12","    8.12"," ","R","12","    4.98"," ","R","12","    7.50"," ","R","12"
"US1ORMT0006","12"," 45.5116","-122.6201","  49.7","PORTLAND 2.5 SE, OR US","12","99","99","    7.83"," ","R","12","    19.0"," ","P","12","    12.2"," ","P","12","     8.6"," ","P","12","     4.7"," ","P","12","     1.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    4.41"," ","R","12","    6.96"," ","R","12","    9.93"," ","R","12","    4.11"," ","R","12","    5.88"," ","R","12","    8.32"," ","R","12","   10.89"," ","R","12","    5.43"," ","R","12","    9.17"," ","R","12"
