"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ORMT0033","01"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","01","99","99","    6.50"," ","E"," 9"
"US1ORMT0033","02"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","02","99","99","    4.39"," ","E","10"
"US1ORMT0033","03"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","03","99","99","    4.90"," ","E","10"
"US1ORMT0033","04"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","04","99","99","    3.71"," ","E","10"
"US1ORMT0033","05"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","05","99","99","    3.01"," ","E"," 9"
"US1ORMT0033","06"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","06","99","99","    1.72"," ","E"," 9"
"US1ORMT0033","07"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","07","99","99","    0.55"," ","E","10"
"US1ORMT0033","08"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","08","99","99","    0.57"," ","E"," 9"
"US1ORMT0033","09"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","09","99","99","    1.62"," ","E","10"
"US1ORMT0033","10"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","10","99","99","    3.87"," ","E","10"
"US1ORMT0033","11"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","11","99","99","    6.74"," ","E"," 9"
"US1ORMT0033","12"," 45.5416","-122.6401","  48.2","PORTLAND 0.8 ENE, OR US","12","99","99","    7.28"," ","E"," 9"
