"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1SCLX0005","01"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","01","99","99","    3.92"," ","E"," 4"
"US1SCLX0005","02"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","02","99","99","    3.72"," ","E"," 6"
"US1SCLX0005","03"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","03","99","99","    4.21"," ","E"," 6"
"US1SCLX0005","04"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","04","99","99","    3.17"," ","E"," 6"
"US1SCLX0005","05"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","05","99","99","    3.48"," ","E"," 9"
"US1SCLX0005","06"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","06","99","99","    5.14"," ","E"," 6"
"US1SCLX0005","07"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","07","99","99","    6.14"," ","E"," 6"
"US1SCLX0005","08"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","08","99","99","    4.99"," ","E"," 5"
"US1SCLX0005","09"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","09","99","99","    4.23"," ","E"," 8"
"US1SCLX0005","10"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","10","99","99","    3.59"," ","E"," 6"
"US1SCLX0005","11"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","11","99","99","    3.28"," ","E"," 5"
"US1SCLX0005","12"," 33.9894"," -81.2654"," 114.0","LEXINGTON 1.6 WNW, SC US","12","99","99","    4.37"," ","E"," 7"
