"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1SCLX0035","01"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","01","99","99","    4.18"," ","R","12","    10.7"," ","P","12","     5.6"," ","P","12","     4.0"," ","P","12","     2.4"," ","P","12","     1.2"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.98"," ","R","12","    3.84"," ","R","12","    5.12"," ","R","12","    2.65"," ","R","12","    3.36"," ","R","12","    4.10"," ","R","12","    5.31"," ","R","12","    3.16"," ","R","12","    4.54"," ","R","12"
"US1SCLX0035","02"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","02","99","99","    3.79"," ","R","12","    10.0"," ","P","12","     6.2"," ","P","12","     3.9"," ","P","12","     2.5"," ","P","12","     1.3"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.31"," ","R","12","    3.58"," ","R","12","    4.95"," ","R","12","    2.18"," ","R","12","    3.34"," ","R","12","    3.91"," ","R","12","    5.08"," ","R","12","    2.72"," ","R","12","    4.45"," ","R","12"
"US1SCLX0035","03"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","03","99","99","    4.52"," ","R","12","    11.2"," ","P","12","     7.2"," ","P","12","     4.9"," ","P","12","     2.7"," ","P","12","     1.2"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.53"," ","R","12","    4.20"," ","R","12","    5.51"," ","R","12","    3.43"," ","R","12","    3.92"," ","R","12","    4.68"," ","R","12","    6.09"," ","R","12","    3.86"," ","R","12","    4.88"," ","R","12"
"US1SCLX0035","04"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","04","99","99","    3.22"," ","R","12","     9.8"," ","P","12","     5.7"," ","P","12","     4.2"," ","P","12","     2.5"," ","P","12","     0.8"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.59"," ","R","12","    3.33"," ","R","12","    4.38"," ","R","12","    1.30"," ","R","12","    2.35"," ","R","12","    3.99"," ","R","12","    4.46"," ","R","12","    2.15"," ","R","12","    4.14"," ","R","12"
"US1SCLX0035","05"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","05","99","99","    3.48"," ","R","11","     9.9"," ","P","12","     6.4"," ","P","12","     4.6"," ","P","12","     2.8"," ","P","12","     1.1"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.24"," ","R","11","    3.06"," ","R","11","    4.24"," ","R","11","    1.98"," ","R","11","    2.87"," ","R","11","    3.25"," ","R","11","    4.46"," ","R","11","    2.77"," ","R","11","    3.79"," ","R","11"
"US1SCLX0035","06"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","06","99","99","    5.04"," ","R","12","    10.3"," ","P","12","     6.9"," ","P","12","     5.3"," ","P","12","     3.2"," ","P","12","     0.8"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    3.49"," ","R","12","    4.98"," ","R","12","    6.27"," ","R","12","    3.16"," ","R","12","    4.08"," ","R","12","    5.16"," ","R","12","    6.91"," ","R","12","    3.76"," ","R","12","    5.76"," ","R","12"
"US1SCLX0035","07"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","07","99","99","    4.62"," ","R","11","    11.5"," ","P","12","     7.0"," ","P","12","     4.9"," ","P","12","     2.4"," ","P","12","     1.3"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    2.93"," ","R","11","    3.86"," ","R","11","    5.32"," ","R","11","    2.38"," ","R","11","    3.60"," ","R","11","    4.60"," ","R","11","    5.87"," ","R","11","    3.46"," ","R","11","    4.76"," ","R","11"
"US1SCLX0035","08"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","08","99","99","    4.66"," ","R","12","    11.3"," ","P","13","     7.3"," ","P","13","     5.6"," ","P","13","     3.6"," ","P","13","     1.6"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    3.26"," ","R","12","    4.34"," ","R","12","    5.69"," ","R","12","    2.80"," ","R","12","    3.58"," ","R","12","    5.11"," ","R","12","    6.10"," ","R","12","    3.47"," ","R","12","    5.40"," ","R","12"
"US1SCLX0035","09"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","09","99","99","    4.63"," ","R","13","     8.9"," ","P","13","     5.2"," ","P","13","     3.8"," ","P","13","     2.5"," ","P","13","     1.3"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","    2.85"," ","R","13","    4.40"," ","R","13","    6.32"," ","R","13","    2.37"," ","R","13","    4.07"," ","R","13","    5.19"," ","R","13","    6.86"," ","R","13","    3.38"," ","R","13","    5.50"," ","R","13"
"US1SCLX0035","10"," 34.0151"," -81.1920","  78.9","LEXINGTON 2.9 NE, SC US","10","99","99","    3.97"," ","R","13","     7.8"," ","P","13","     4.8"," ","P","13","     3.5"," ","P","13","     2.2"," ","P","13","     1.6"," ","P","13","     0.5"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","    1.70"," ","R","13","    3.87"," ","R","13","    5.01"," ","R","13","    1.36"," ","R","13","    3.08"," ","R","13","    4.01"," ","R","13","    6.18"," ","R","13","    2.21"," ","R","13","    4.25"," ","R","13"
