"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1SDHG0010","01"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","01","99","99","    0.44"," ","E"," 6"
"US1SDHG0010","02"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","02","99","99","    0.73"," ","E"," 6"
"US1SDHG0010","03"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","03","99","99","    1.28"," ","E"," 6"
"US1SDHG0010","04"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","04","99","99","    2.05"," ","E"," 7"
"US1SDHG0010","05"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","05","99","99","    3.13"," ","E"," 6"
"US1SDHG0010","06"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","06","99","99","    3.42"," ","E"," 7"
"US1SDHG0010","07"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","07","99","99","    2.49"," ","E"," 7"
"US1SDHG0010","08"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","08","99","99","    2.21"," ","E"," 5"
"US1SDHG0010","09"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","09","99","99","    1.83"," ","E"," 8"
"US1SDHG0010","10"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","10","99","99","    1.81"," ","E"," 7"
"US1SDHG0010","11"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","11","99","99","    0.66"," ","E"," 8"
"US1SDHG0010","12"," 44.3546","-100.3237"," 436.5","PIERRE 1.3 S, SD US","12","99","99","    0.47"," ","E"," 7"
