"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1TXEP0017","01"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","01","99","99","    0.70"," ","R","12","     3.8"," ","P","13","     1.9"," ","P","13","     1.1"," ","P","13","     0.4"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.22"," ","R","12","    0.56"," ","R","12","    0.99"," ","R","12","    0.20"," ","R","12","    0.35"," ","R","12","    0.80"," ","R","12","    1.12"," ","R","12","    0.24"," ","R","12","    0.88"," ","R","12"
"US1TXEP0017","02"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","02","99","99","    0.75"," ","R","11","     2.5"," ","P","13","     1.3"," ","P","13","     0.8"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.20"," ","R","11","    0.42"," ","R","11","    1.02"," ","R","11","    0.15"," ","R","11","    0.37"," ","R","11","    0.50"," ","R","11","    1.28"," ","R","11","    0.37"," ","R","11","    0.70"," ","R","11"
"US1TXEP0017","03"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","03","99","99","    0.59"," ","R","13","     2.8"," ","P","13","     1.2"," ","P","13","     0.7"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.10"," ","R","13","    0.32"," ","R","13","    0.78"," ","R","13","    0.06"," ","R","13","    0.26"," ","R","13","    0.40"," ","R","13","    0.84"," ","R","13","    0.20"," ","R","13","    0.57"," ","R","13"
"US1TXEP0017","04"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","04","99","99","    0.42"," ","R","13","     1.5"," ","P","13","     0.7"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.01"," ","R","13","    0.17"," ","R","13","    0.62"," ","R","13","    0.00"," ","R","13","    0.09"," ","R","13","    0.28"," ","R","13","    0.71"," ","R","13","    0.04"," ","R","13","    0.37"," ","R","13"
"US1TXEP0017","05"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","05","99","99","    0.47"," ","R","12","     2.2"," ","P","13","     1.2"," ","P","13","     0.4"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.07"," ","R","12","    0.18"," ","R","12","    0.63"," ","R","12","    0.07"," ","R","12","    0.13"," ","R","12","    0.32"," ","R","12","    0.77"," ","R","12","    0.12"," ","R","12","    0.44"," ","R","12"
"US1TXEP0017","06"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","06","99","99","    1.01"," ","R","13","     3.2"," ","P","13","     1.8"," ","P","13","     0.8"," ","P","13","     0.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.44"," ","R","13","    0.73"," ","R","13","    1.50"," ","R","13","    0.27"," ","R","13","    0.65"," ","R","13","    0.85"," ","R","13","    1.59"," ","R","13","    0.53"," ","R","13","    1.09"," ","R","13"
"US1TXEP0017","07"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","07","99","99","    1.84"," ","R","13","     9.4"," ","P","13","     5.3"," ","P","13","     2.7"," ","P","13","     1.2"," ","P","13","     0.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.90"," ","R","13","    1.51"," ","R","13","    2.23"," ","R","13","    0.79"," ","R","13","    1.26"," ","R","13","    1.80"," ","R","13","    2.37"," ","R","13","    1.18"," ","R","13","    1.97"," ","R","13"
"US1TXEP0017","08"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","08","99","99","    1.66"," ","R","14","     7.7"," ","P","14","     4.4"," ","P","14","     1.9"," ","P","14","     0.9"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.72"," ","R","14","    1.29"," ","R","14","    2.29"," ","R","14","    0.67"," ","R","14","    0.97"," ","R","14","    1.55"," ","R","14","    2.43"," ","R","14","    0.80"," ","R","14","    1.97"," ","R","14"
"US1TXEP0017","09"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","09","99","99","    2.26"," ","R","13","     6.2"," ","P","14","     3.7"," ","P","14","     2.7"," ","P","14","     1.7"," ","P","14","     0.7"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","    1.18"," ","R","13","    1.74"," ","R","13","    2.15"," ","R","13","    1.12"," ","R","13","    1.63"," ","R","13","    1.81"," ","R","13","    2.86"," ","R","13","    1.48"," ","R","13","    1.94"," ","R","13"
"US1TXEP0017","10"," 31.8959","-106.4222","1195.1","EL PASO 3.3 NNE, TX US","10","99","99","    0.83"," ","R","14","     4.0"," ","P","14","     2.1"," ","P","14","     1.1"," ","P","14","     0.6"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.08"," ","R","14","    0.43"," ","R","14","    1.36"," ","R","14","    0.06"," ","R","14","    0.32"," ","R","14","    0.60"," ","R","14","    1.55"," ","R","14","    0.14"," ","R","14","    0.86"," ","R","14"
