"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXHRR232","01"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","01","99","99","    5.50"," ","E"," 3"
"US1TXHRR232","02"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","02","99","99","    3.05"," ","E"," 4"
"US1TXHRR232","03"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","03","99","99","    3.51"," ","E"," 3"
"US1TXHRR232","04"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","04","99","99","    3.95"," ","E"," 4"
"US1TXHRR232","05"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","05","99","99","    4.88"," ","E"," 4"
"US1TXHRR232","06"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","06","99","99","    5.21"," ","E"," 4"
"US1TXHRR232","07"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","07","99","99","    4.31"," ","E"," 3"
"US1TXHRR232","08"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","08","99","99","    5.47"," ","E"," 4"
"US1TXHRR232","09"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","09","99","99","    5.76"," ","E"," 5"
"US1TXHRR232","10"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","10","99","99","    5.11"," ","E"," 5"
"US1TXHRR232","11"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","11","99","99","    4.38"," ","E"," 5"
"US1TXHRR232","12"," 29.7398"," -95.3977","  15.5","HOUSTON 2.1 SSW, TX US","12","99","99","    4.11"," ","E"," 5"
