"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WAKG0005","01"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","01","99","99","    5.57"," ","E","12"
"US1WAKG0005","02"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","02","99","99","    3.67"," ","E","12"
"US1WAKG0005","03"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","03","99","99","    3.79"," ","E","12"
"US1WAKG0005","04"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","04","99","99","    3.04"," ","E","12"
"US1WAKG0005","05"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","05","99","99","    2.17"," ","E","10"
"US1WAKG0005","06"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","06","99","99","    1.65"," ","E","12"
"US1WAKG0005","07"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","07","99","99","    0.76"," ","E","13"
"US1WAKG0005","08"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","08","99","99","    1.05"," ","E","13"
"US1WAKG0005","09"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","09","99","99","    1.76"," ","E","12"
"US1WAKG0005","10"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","10","99","99","    3.60"," ","E","11"
"US1WAKG0005","11"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","11","99","99","    5.92"," ","E","12"
"US1WAKG0005","12"," 47.5859","-122.2509","  26.5","MERCER ISLAND 1.5 NW, WA US","12","99","99","    5.47"," ","E","12"
